字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	通往格式化通道的大门已经固定完成！	通往格式化通道的大門已經固定完成！	初期化パスの入り口、固定できたよ！	포맷 채널로 통하는 문을 고정했어!	The gate to the Formatting Channel has been secured!						0	3.3主线剧情
2	做得很好，米娅！	做得很好，米婭！	よくやった、ミア！	잘했어, 미아!	Nice work, Mia!						0	3.3主线剧情
3	大家的精神力……正在源源不断涌入！大门很快就能开启了。	大家的精神力……正在源源不斷地湧入！大門很快就能開啟了。	みんなの気持ちが……どんどん流れていく！あとちょっとで開く！	모두의 정신력이… 계속해서 흘러 들어오고 있어! 곧 문이 열릴 거야.	Everyone's neural energy... it's pouring in! The gate could open any second!						0	3.3主线剧情
4	米娅一面飞速地操作着面前的仪器，一面不停汇报着操作屏上的进度。	米婭一面飛快地操作著面前的儀器，一面不停彙報著螢幕上的進度。	ミアは素早く目の前の設備を操作し、進捗を報告してくれていた。	미아는 눈앞의 기계를 빠르게 조작하면서, 작동 화면의 진행 상황을 계속해서 보고했다.	Mia's fingers flew across the console as she called out live readouts without pause.						0	3.3主线剧情
5	而伴随着阵阵电流声，我们面前的空地上，一道裂隙正缓缓展开。	而伴隨著陣陣電流聲，我們面前的空地上，一道裂隙正緩緩展開。	断続的に流れる電流の音とともに、私たちの目の前の空き地に裂け目ができた。	그리고 전류 소리와 함께, 우리 앞의 빈 공간에 서서히 균열이 펼쳐졌다.	Electric static crackled in the air as a rift slowly widened before us.						0	3.3主线剧情
6	——	——	――	……	...						0	3.3主线剧情
7	然而，敌人的攻势也愈加凶猛。	然而，敵人的攻勢也越加兇猛。	それと同時に、敵の攻撃も激しくなった。	그러나 적의 공격도 더 거세졌다.	However, the enemy's assault also grew more intense.						0	3.3主线剧情
8	别想靠近这里！	別想靠近這裡！	近づかせるものか！	다가오지 마!	Not one step closer!						0	3.3主线剧情
9	另一边的汉诺塔内，升格体，刚体，与普通市民聚集在一起。恰如她们当时支援恒沙所做的那样。	另一邊的漢諾塔內，升格體、剛體和普通市民聚集在一起。如同她們當時支援恆沙所做的那樣。	一方、ハノイの塔では、昇格者や剛体、それと一般市民たちが集まっていた。かつてゴウシャを支援した時のように。	하노이 타워 다른 한편에서는 승격체, 강체, 그리고 일반 시민들이 함께 모여 있었다. 이전에 그녀들이 항사를 지원했던 것처럼.	Elsewhere in the Tower of Hanoi, transcendents, bionics, and other civilians had gathered — just as they once stood behind GANGES.						0	3.3主线剧情
10	正用自己的精神力，为我们提供源源不断的能量。	正用自己的精神力，為我們提供源源不絕的能量。	自らの精神力で、私たちにエネルギーを供給し続けている。	그들의 정신력으로 우리에게 끊임없는 에너지를 공급하고 있었다.	Together, they channeled neural energy into us — a ceaseless stream of power.						0	3.3主线剧情
