字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
b-1											0	
1	然后呢？	然後呢？	それから？	그 후에는 어떻게 됐어?	And then?						0	
b-2											0	
2	那是你第一次独自出任务，印象应该很深刻吧？	那是你第一次獨自出任務，印象應該很深刻吧？	あれは君の初の単独任務、覚えてるよね？	처음으로 진행했던 단독 미션이라 굉장히 인상 깊었을 것 같은데?	That was your first time on a mission alone. You must remember it vividly, huh?						0	
3	尽管潜意识里我觉得不该向琴诺深究，却依旧因为好奇忍不住开口追问了下去。	儘管潛意識裡我覺得不該向琴諾深究，卻依舊因為好奇忍不住開口追問了下去。	これ以上チェルノのことを詮索しない方がいいと思っているが、好奇心で聞いてしまった。	이런 식으로 집요하게 캐물으면 안 된다고 생각했지만, 난 호기심에 참지 못하고 계속해서 질문을 이어갔다.	I had a feeling that maybe I shouldn't dig too deeply, but I was too curious to hold back from asking Cherno.						0	
4	我不记得了……莫尔索捂着我的眼睛把我哄睡着。我醒来的时候，就已经躺在房间里了。	我不記得了……莫爾索捂著我的眼睛把我哄睡著。我醒來的時候，就已經躺在房間裡了。	覚えてないです……ムルソーは私の目を覆って、眠らせたんです。目が覚めた時は、部屋で横になっていました。	더 이상은 기억이 안 나요… 모르소가 제 눈을 가려 재웠고, 깨어나 보니 제 방에 돌아와 있었어요.	I don't remember... Meursault covered my eyes and lulled me to sleep. By the time I awoke, I was already in bed at home again.						0	
5	那个时候我好像盖了一个很暖和的毯子，等我意识到的时候，就又睡着了。	那個時候我好像蓋了一條很暖和的毯子，等我意識到的時候，就又睡著了。	あの時、暖かい毛布をかけていたようで、気が付いたらまた眠ってしまいました。	그때 굉장히 따스한 담요를 덮고 있었던 거 같은데, 무슨 일인지 깨달았을 때는 이미 잠이 들어버렸어요.	It was like I'd been wrapped in a lovely, warm blanket. And as soon as I became aware of this, I fell right back to sleep again.						0	
b-3											0	
6	听起来她很可靠，有机会一定要拜访一下她。	聽起來她很可靠，有機會一定要拜訪一下她。	頼りになりそうだ、機会があればぜひ訪ねてみたい。	모르소는 굉장히 믿음직스러운 친구인 것 같네. 나도 기회가 되면 한번 보고 싶다.	She sounds very reliable. I'll need to meet her someday if the opportunity comes.						0	
