字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
page0.1	社区举办了情侣对视挑战。	社區舉辦了情侶對視挑戰。	ここでは今からカップルでにらめっこ対決をやるらしい。	커뮤니티에서 커플 눈맞춤 챌린지를 개최했다.	The community set up a couples' staring contest.						0	
page0.2	这种能比拼出冠军的活动，芬妮说什么都不会错过。	這種能比拼出冠軍的活動，芬妮說什麼都不會錯過。	「チャンピオン」という肩書きに関わるイベントなら、ファニーは絶対に見逃さない。	우승을 겨루는 이런 행사에 페니는 무슨 말을 해도 놓치지 않는다.	Fenny said she never misses any competitions that have a winner in the end.						0	
page0.3	谁先眨眼，谁就输了对吗？	誰先眨眼，誰就輸了對嗎？	瞬きした方が負けってことね？	먼저 윙크하는 사람이 지는 거 맞지?	First one to blink loses, right?						0	
page0.4	面对分析员，本小姐也不会输的哦~	面對分析員，本小姐也不會輸的~	いくら分析員が相手でも、あたしは絶対に負けないから！	분석가를 상대하는데, 지지않을 거야~	Just so you know, Adjutant — I won't lose to you~						0	
page0.5	不过我很好奇，输了会怎么样？	不過我很好奇，輸了會怎麼樣？	でも……負けたらどうなるの？	근데 궁금한데 지면 어떻게 될까?	But I'm curious, what happens if I lose?						0	
page0.6	经典的“让对方答应一件事，什么都可以”吧。	經典的「讓對方答應一件事，什麼都可以」吧。	「一回だけ相手の言いなりになる」とか、そういうありきたりなものかな。	고전적인 '상대방의 소원을 들어주기'를 하겠지.	The classic "Winner gets one wish for whatever they want."						0	
page0.7	真没新意呢，不过本小姐喜欢这个奖品！	真沒新意呢，不過本小姐喜歡這個獎品！	古臭いわね。でも気に入ったわ！	정말 새롭지 않지만, 이 몸은 그걸 좋아해!	That's kinda cliche, but I like it!						0	
page0.8	那么分析员，来吗？	那麼分析員，來嗎？	どう？分析員。やるの？やらないの？	그래서 분석가, 올래?	So, are you ready?						0	
page0.9	来！	來！	ああ、やろう！	자!	Bring it on!						0	
page0.10	开始了对视挑战。	開始了對視挑戰。	にらめっこ勝負をはじめた。	아이컨택 챌린지가 시작되었다.	The staring contest began.						0	
page0.11	唔……还第一次近距离、长时间盯着分析员。	嗯……還第一次近距離、長時間盯著分析員。	んん……この距離でずっと分析員を見つめるなんて、考えてみるとこれが初めてだわ……	음… 분석가를 가까이서, 이렇게 오래 쳐다본 것도 처음이네.	Um... This is the first time I'm staring at you this close for so long.						0	
page0.12	被分析员盯着看，总觉得有点奇怪。	被分析員盯著看，總覺得有點奇怪。	分析員に見られてるとなんだかムズムズする。	분석가에게 뚫어져라 쳐다보니 뭔가 이상하네.	And it feels a little weird being stared at by you.						0	
page0.13	我一直都这么看着你啊，怎么今天突然就害羞了？	我一直都這麼看著你啊，怎麼今天突然就害羞了？	ずっとこうやって君を見ていたのに。なんで今日に限って急に恥ずかしがるんだよ？	나는 줄곧 너를 이렇게 보고 있었는데, 왜 오늘 갑자기 부끄러울까?	I've always looked at you like this. Why the sudden shyness?						0	
