字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		6	芙提雅驰掣		Play_Vo_dlc28ep7_girl004_01	分析员，我们已经到达研究室，和凯茜娅还有莉琪会合了。	0	2.8主线剧情
2		6	芙提雅驰掣		Play_Vo_dlc28ep7_girl004_02	这里的操纵终端，我和莉琪已经接手。不过在终端通讯恢复之前，我们没法进一步操控。	0	2.8主线剧情
3		6	芙提雅驰掣		Play_Vo_dlc28ep7_girl004_03	接下来需要分析员和薇蒂雅赶到噬孽机所在的位置，然后借用薇蒂雅的装甲作为信号中继器，我才能发出指令完全瘫痪机器。	0	2.8主线剧情
4		6	芙提雅驰掣		Play_Vo_dlc28ep7_girl004_04	高能反应发生的大体位置，我已经上传给你了，但是更精确的地点还需要更进一步地解密，这个我也上传给自动破案机了，很快会有结果。	0	2.8主线剧情
5		0	分析员战斗			嗯，我看到了。	0	2.8主线剧情
6		0				在海上大桥的入口，我和薇蒂雅临时借调了一辆车。此刻我是在急速行驶的车辆上接收到芙提雅传输来的地图。	0	2.8主线剧情
7		0				为了防止我们在终端机器阻止噬孽机启动，执行威慑计划的那些人在注入了替代系统后，就直接截断了终端通讯。	0	2.8主线剧情
8		0				我和薇蒂雅必须尽快赶到噬孽机的所在地，才能重新建立终端的联系，辅助芙提雅操纵噬孽机。	0	2.8主线剧情
9		0				高能反应发生的大概位置，被标记在前端小镇连接卫城学院的跨海大桥底下，就在我们正前方大概数公里的地方。	0	2.8主线剧情
10		0				我揉着眉心，冷静梳理着事情的发展。不过一切发展到现在，其实都算是在我的计划之中。	0	2.8主线剧情
11		0				看似是那些人使用替代系统启动了噬孽机，可实际上……	0	2.8主线剧情
12		0	分析员战斗			薇蒂雅，我们还要多长时间到目的地？	0	2.8主线剧情
13		6	薇蒂雅天鹅座		Play_Vo_dlc28ep7_girl018_01	再给我十分钟。	0	2.8主线剧情
14		0				薇蒂雅正凭借惊人的车技在车流之间穿梭。	0	2.8主线剧情
15		0				——整座大桥已经响彻刺耳的警报声，提示人们远离跨海大桥的方向，我们几乎是逆着车流前行。	0	2.8主线剧情
16		0				虽然已经行驶在大桥上，但我们距离目的地还有着一段距离，何况还是这样复杂的路况。	0	2.8主线剧情
17		0	分析员战斗			十分钟……应该能赶上。	0	2.8主线剧情
18		0				如果能够依靠程序直接瘫痪噬孽机，自然再好不过，但如果有什么万一，我和薇蒂雅就是保障。	0	2.8主线剧情
19		0				把凯茜娅留在研究室，和伊切尔一起保证芙提雅老师和莉琪的安全，则是为了预防一些人狗急跳墙。	0	2.8主线剧情
20		0				想着这些，我又通过后视镜看向车后座的自动破案机。	0	2.8主线剧情
