字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page0.1	H琴诺		量出18克豆子研磨成粉末，把水烧到80度……	0	
page0.2	H主角		琴诺你在煮咖啡吗？	0	
page0.3	H琴诺		呜哇呜啊？！	0	
page0.4	H琴诺		对不起！对不起！琴诺不该大吼大叫。	0	
page0.5	H主角		抱歉是我突然出现吓到你了。	0	
page0.6	H主角		你从哪里搞到的磨具，怎么不用咖啡机？	0	
page0.7	H琴诺		听说手工煮出来的咖啡好喝。	0	
page0.8	H琴诺		莫尔索让我照顾一下最近很累的分析员。大家又不让我做饭，就只能煮杯咖啡给分析员了。	0	
page0.10	H主角		真的吗？	0	
page0.11	H主角		谢谢小琴诺的好心。	0	
page0.12	H琴诺		嗯嗯，分析员会喜欢就好！	0	
page0.13	H琴诺		请你坐在吧台稍等一下，我马上就做好了。	0	
page0.14	H琴诺		根据我查到的说法，现煮咖啡要有鲜、香、甜……	0	
page0.15	H琴诺		鲜的话，可以加一勺酱油。香？香油够不够呢，还是加芝麻？	0	
page0.16	H琴诺		唔，再加奶油和蜂蜜，肯定很甜！	0	
page0.17	H主角		琴诺……	0	
page0.18	H主角		我突然想起来，我一会儿还要测一下身体状况。	0	
page0.19	H主角		好像喝不了咖啡，不过心意我领了！真的！	0	
