字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
page0.1	你在喝什么？	你在喝什麼？	何を飲んでるの？	지금 뭘 마시고 있는 거야?	What's that you're drinking?						0	
page0.2	可乐、冰块、柠檬……	可樂、冰塊、檸檬……	コーラ、氷、レモン……	콜라, 얼음, 레몬…	Coke, ice, lemon...						0	
page0.3	你这是自己兑的饮料？	你這是自己調的飲料？	自分で作ったドリンク？	직접 제조한 음료수야?	Some concoction you invented yourself?						0	
page0.4	要试试吗？	要試試嗎？	試してみる？	한번 마셔볼래?	Try it.						0	
page0.5	这是以前很有人气的饮料，都叫它“柠檬乐”。	這是以前很有人氣的飲料，都叫它“凍檸樂”。	これは「コールレモン」っていう昔結構人気だったドリンクだよ。	다들 이걸 '아이셔 코크'라고 불러. 예전에 굉장히 핫했었던 음료수지.	It's just coke with lemon, everyone used to drink this,						0	
page0.6	总觉得……听上去像什么违禁品。	總覺得……聽上去像什麼違禁品。	何だか......禁忌品気味だな。	뭔가… 이름이 좀 이상한데.	...Sounds like something that ended up getting banned.						0	
page0.7	加上薯条薯片，就是“安卡希雅快乐套餐”。	加上薯條洋芋片，就是“安卡希雅快樂套餐”。	フライドポテトやポテトチップスがあれば、「アカシア幸せセット」になる。	여기에 포테이토칩만 추가하면 '아카시아 해피 세트'가 완성돼.	Throw in some fries, maybe a big bag of chips, and you've got everything you need to have my perfect night in.						0	
page0.8	全是些垃圾食品啊。	全都是垃圾食物啊。	全部ジャンクフードじゃないか。	전부 정크 푸드잖아…	A big old pile of junk food.						0	
page0.9	身体会渴求不健康的东西，精神也会追求叛逆。	身體會渴求不健康的東西，精神也會追求叛逆。	人の心が時々普段あまりやらないことにチャレンジしたがるように、体もたまに不健康なものを求めるの。	우리는 항상 건강하지 않은 것을 추구하기 마련이지.	Your body hungers for junk food sometimes... doesn't your spirit ache to rebel against good sense?						0	
page0.10	你现编的理由吧？	這是你現場編的理由吧？	はぁ？なんだその理由…今作っただろう！	지금 그냥 이유를 막 갖다 붙이는 거지?	You're making this up as you go along?						0	
page0.11	嗯。	嗯。	うん。	맞아.	Yep.						0	
page0.12	吃垃圾食品还需要正经理由的世界，是不存在的。	吃垃圾食物還需要正當理由的世界，是不存在的。	ジャンクフードを食べるのに理由なんか必要ないでしょ。	사실 이 세상 어디에도 정크 푸드를 먹는 데 필요한 이유 따위는 없으니까.	What kind of man wants to live in a world where you need a reason to eat junk food?						0	
page0.13	有道理！	有道理！	確かに。	듣고 보니 그렇긴 하네…	For ridiculous nonsense, what you're saying makes a lot of sense.						0	
