字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	那个时候吗？	那個時候嗎？	あのときか。	그때 말이야?	That night?						0	苔丝绮幻个人故事
2	那个时候我就在想——你到底想要告诉我什么呢？	那個時候我就在想——你到底想要告訴我什麼呢？	君は何かを話そうとしていたな。	그때 계속 생각했어. 너는 도대체 내게 무슨 말을 하고 싶었던 걸까?	That night, I wondered what it was you wanted to tell me.						0	苔丝绮幻个人故事
3	到底是不是那句话呢？	到底是不是那句話呢？	もしかして、あれが言いたかったじゃないのか？	정말 그 말이었을까?	Was it what I was hoping to hear?						0	苔丝绮幻个人故事
4	哪句话？	哪句話？	あれって？	무슨 말이요?	What were you hoping for?						0	苔丝绮幻个人故事
5	我喜欢你。	我喜歡你。	「好き」	좋아한다고.	I love you.						0	苔丝绮幻个人故事
6	呜……说得我不好意思了！	嗚……說得我不好意思了！	うっ……恥ずかしいよ！	흑… 그렇게 말하니까 부끄럽잖아요!	Uhh... You're making me blush!						0	苔丝绮幻个人故事
7	她紧紧抱住我的手臂，眯着眼睛。手指扬起，指尖掠过两抹橘红。	她緊緊抱住我的手臂，瞇著眼睛。手指揚起，指尖掠過兩抹橘紅。	テスは私の腕をぎゅっと抱きしめて、目を細めた。指が持ち上がると、彼女の指先にオレンジかかった赤い光が現れた。	그녀는 내 팔을 꼭 붙잡은 채 눈을 가늘게 떴다. 그리고 손가락을 들자, 주황빛 두 줄기가 스쳐 지나갔다.	She squeezed my arm, eyes closed in a squint. Then she lifted her hand, and I caught an orangish-red glint between her fingers.						0	苔丝绮幻个人故事
8	袖扣的宝石折射出橘红色的光。少女把这枚袖扣放在手心，头枕着手臂，细细看着。	袖扣的寶石折射出橘紅色的光。少女把這枚袖扣放在手心，頭枕著手臂，細細看著。	それは赤い宝石のカフスの光だった。彼女はカフスを手のひらに置いて、私の腕に頭を預けたままじっくり眺めている。	커프스단추의 보석이 주황빛을 반사했다. 소녀는 이 커프스단추를 손바닥에 올려두고 머리를 팔에 괸 채 자세히 들여다보았다.	The gem on the cufflink shimmered with a warm orange-red glow. She let it rest in her palm, head tilted against my arm as she studied it.						0	苔丝绮幻个人故事
9	手指像扇子一样开合了一次，掌心的袖扣便消失不见了。她翻过手掌，藏在手指背面的袖扣又在眨眼间转移到了正面。	手指像扇子一樣開合了一次，掌心的袖扣就又消失不見了。她翻過手掌，藏在手指背面的袖扣又在眨眼間轉移到了正面。	一度手を握り締め、また開くと、カフスは一瞬にして消える。手のひらをくるりと翻すと、指の間に挟まったカフスはまた一瞬で場所を移った。	손가락이 부채처럼 한 번 펼쳐졌다가 접히자, 손안의 커프스단추가 사라졌다. 손바닥을 뒤집자, 손가락 뒷면에 숨겨둔 커프스단추가 순식간에 앞면으로 이동했다.	Her fingers fanned open and closed, and somehow, the cufflink vanished. With a flick, it reappeared in her palm like nothing had happened.						0	苔丝绮幻个人故事
10	如果有观众，大概会以为袖扣就这么消失不见了——手心手背都没有，桌子上也看不到。	如果有觀眾，大概會以為袖扣就這樣消失不見了——手心手背都沒有，桌子上也看不到。	この場に観客がいたら、カフスがテスの手や机の上にないから、忽然と消えたと思うかもしれない。	관중이 있었다면 아마도 커프스단추가 그대로 사라져 버린 줄 알았을 것이다. 손바닥에도, 손등에도, 테이블 위에도 보이지 않았으니 말이다.	If there'd been an audience, they'd think she'd really made it disappear. It was gone from both sides of her hand, and nowhere to be found on the table.						0	苔丝绮幻个人故事
11	那枚袖扣不知什么时候已经别在了少女的袖子上。她抬起手腕，看着袖子上的那枚袖扣，出了神——	那枚袖扣不知道什麼時候已經別在了少女的袖子上。她抬起手腕，看著袖子上的那枚袖扣，走了神——	実は、カフスはすでに彼女の袖口についていた。テスは腕をあげて、カフスを見つめてなにかに思いを馳せているようだった。	그 커프스단추는 어느새 소녀의 소매에 달려 있었다. 그녀는 손목을 들어 올려 소매의 커프스단추를 보며 넋을 잃었다.	But at some point, the cufflink was already fastened at her sleeve. She brought her wrist up, staring at it, lost in thought—						0	苔丝绮幻个人故事
12	那是好久之前的事了。	那是好久之前的事了。	あれは結構昔の出来事だった。	그건 아주 오래전 일이었다.	It was a long time ago.						0	苔丝绮幻个人故事
13	也是唯一一次，作为观众，体会playername的魔术。	也是唯一一次，作為觀眾，體會playername的魔術。	そのときに、テスは初めてplayernameのマジックを見ることができた。	그리고 그때가 유일하게 관중으로서 playername의 마술을 경험했던 순간이었다.	And the only time she'd ever seen playername's magic.						0	苔丝绮幻个人故事
14	好了，答应我——	好了，答應我——	ほら、私との約束だよ。	자, 약속해 줘.	Alright, promise me this—						0	苔丝绮幻个人故事
15	如果我变个魔术给你，你就不哭了。	如果我變個魔術給你，你就不哭了。	マジックを見せるから、泣き止んでほしいな。	내가 마술을 하나 보여주면, 넌 울지 않을 거야.	If I show you a magic trick, you won't cry anymore.						0	苔丝绮幻个人故事
16	魔术？老师也会魔术吗？	魔術？老師也會魔術嗎？	マジック？先生もできるの？	마술이요? 선생님도 마술을 할 줄 아세요?	A magic trick? You know magic?						0	苔丝绮幻个人故事
17	来，把手给我。	來，把手給我。	さあ、手を出して。	자, 손을 이리 줘.	Come on, give me your hand.						0	苔丝绮幻个人故事
18	啊？哦……这、这样对吗？	啊？哦……這、這樣對嗎？	え？あ……うん。	어? 아… 이, 이렇게요?	Huh? Oh... L—Like this?						0	苔丝绮幻个人故事
19	我的手上没东西吧？	我的手上沒東西吧？	私はなにも持っていないだろう？	내 손에 아무것도 없지?	There's nothing in my hand, is there?						0	苔丝绮幻个人故事
20	没、没有……	沒、沒有……	う、うん……	없, 없어요…	N—No...						0	苔丝绮幻个人故事
21	背面也没有？	背面也沒有？	裏側も？	손등에도 없고?	And on the back?						0	苔丝绮幻个人故事
