字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
skin_parts20111	腿部·素黑	腿部·素黑	脚・ブラック	[다리·무지]	Legs: Silky Black						0	
skin_parts20111_des	凯茜娅时装【贴身特助】专属部件，工作场合的王牌穿搭，凯茜娅又赋予了它别样风情。	凱茜婭時裝【貼身助理】專屬部件，工作場合的王牌穿搭，凱茜婭又賦予了它別樣風情。	カーシアの衣装【優秀な助手】専用パーツ。仕事場に最適。カーシアが着ると一味違う。	캐시아의 스킨 [밀착 서비스]의 전용 부품으로 캐시아가 독특한 스타일을 부여한 오피스룩이다.	An exclusive part for Katya's outfit Private Secretary. While it is suitable for any workplace scenario, it also possesses a certain degree of individual flair.						0	
skin_parts20111_use	默认	預設	デフォルト	기본 스킨	Default						0	
skin_parts20112	腿部·魅网	腿部·魅網	脚・網	[다리·망사]	Legs: Alluring Fishnet						0	
skin_parts20112_des	凯茜娅时装【贴身特助】专属部件，风靡一时的性感单品，兼顾了轻便透气和复古美感。	凱茜婭時裝【貼身助理】專屬部件，風靡一時的性感單品，兼顧了輕盈透氣和復古美。	カーシアの衣装【優秀な助手】専用パーツ。一世を風靡したセクシーなアイテム。動きやすい上に通気性もよく、レトロな雰囲気がある。	캐시아의 스킨 [밀착 서비스]의 전용 부품으로 가벼움과 통기성, 레트로한 아름다움을 겸비한 인기 아이템이다.	An exclusive part for Katya's outfit Private Secretary. The vintage style of these fashionable stockings doesn't just make people stare — it also provides breathability.						0	
skin_parts20112_use	默认	預設	デフォルト	기본 스킨	Default						0	
skin_parts20211	头部·金缕	頭部·金縷	頭部・金糸	머리·금실	Head: Golden Thread						0	
skin_parts20211_des	薇蒂雅时装【翠翎倩姿】专属部件，简约而不简单的经典发饰，搭配任何华服都不突兀。	薇蒂雅時裝【翠翎倩姿】專屬部件，簡約而不簡單的經典髮飾，搭配任何華服都不突兀。	ヴィディア衣装【紫羽の風情】専用パーツ。シンプルだが品のあるクラシックな髪飾り。どんな華やかな服にも似合う。	비디야의 스킨 [깃털의 자태]의 전용 부품으로 간결하면서도 특별한 클래식 헤어 장식이다. 어떠한 화려한 의상과도 잘 매치된다.	An exclusive part for Vidya's outfit Plumed Beauty. This hair accessory is simple yet elegantly classic, and can complement any fancy outfit perfectly.						0	
skin_parts20211_use	供应站购买	供應站購買	配給所で購入して獲得	공급 센터 구매 스킨	Purchase in Quartermaster						0	
skin_parts20212	头部·翠翎	頭部·翠翎	頭部・紫羽	머리·깃털	Head: Emerald Plume						0	
skin_parts20212_des	薇蒂雅时装【翠翎倩姿】专属部件，极具地域特色的饰品，突显别样风情。	薇蒂雅時裝【翠翎倩姿】專屬部件，極具地域特色的飾品，突顯別樣風情。	ヴィディア衣装【紫羽の風情】専用パーツ。地域の特徴のあるアクセサリー、一味違う雰囲気を出す。	비디야의 스킨 [깃털의 자태]의 전용 부품으로 지역적 특성이 비교적 강한 액세서리다. 독특한 스타일을 돋보일 때 제격이다.	An exclusive part for Vidya's outfit Plumed Beauty. Regional characteristics make the accessory stand out with a unique style.						0	
skin_parts20212_use	供应站购买	供應站購買	配給所で購入して獲得	공급 센터 구매 스킨	Purchase in Quartermaster						0	
skin_parts20221	腿部·光链	腿部·光鏈	脚・光鎖	다리·체인	Legs: Lustrous Chain						0	
skin_parts20221_des	薇蒂雅时装【翠翎倩姿】专属部件，金属质感的腿链，衬得肌肤越发白皙。	薇蒂雅時裝【翠翎倩姿】專屬部件，金屬質感的腿鏈，襯得肌膚越發白皙。	ヴィディア衣装【紫羽の風情】専用パーツ。金属製のレッグチェーン、これを身に着けると白い肌を引き立てる。	비디야의 스킨 [깃털의 자태]의 전용 부품으로 메탈릭 다리 체인이 피부를 더욱 하얗고 뽀얗게 만들어준다.	An exclusive part for Vidya's outfit Plumed Beauty. The metallic color of the leg chain juxtaposes beautifully with the skin.						0	
skin_parts20221_use	供应站购买	供應站購買	配給所で購入して獲得	공급 센터 구매 스킨	Purchase in Quartermaster						0	
skin_parts20222	腿部·暖幕	腿部·暖幕	脚・暖幕	다리·온막	Legs: Mellow Shade						0	
skin_parts20222_des	薇蒂雅时装【翠翎倩姿】专属部件，采用特殊织法制作的丝袜，厚度大大削减，非常透气。	薇蒂雅時裝【翠翎倩姿】專屬部件，採用特殊織法製作的絲襪，厚度大大削減，非常透氣。	ヴィディア衣装【紫羽の風情】専用パーツ。特別な織り方で作られたストッキング。極めて薄く作られており、通気性が非常に良い。	비디야의 스킨 [깃털의 자태]의 전용 부품으로 특수 직조 방식으로 제작되어 두께가 크게 줄어들고 통기성이 뛰어나다.	An exclusive part for Vidya's outfit Plumed Beauty. The special weaving technique makes these stockings much thinner and more breathable.						0	
skin_parts20222_use	供应站购买	供應站購買	配給所で購入して獲得	공급 센터 구매 스킨	Purchase in Quartermaster						0	
skin_parts20311	头部·赤金	頭部·赤金	頭部・赤金	머리·순금	Head: Scarlet Gold						0	
skin_parts20311_des	辰星-云篆时装【点墨化龙】专属部件，非常有朔州特色的配色，给人以喜庆、华贵的印象。	辰星-雲篆時裝【點墨化龍】專屬部件，非常有朔州特色的配色，給人以喜慶、華貴的印象。	「辰星-雲篆」衣装【龍の墨跡】専用パーツ。朔州の特色のある配色。めでたく、華やかなイメージを持っている。	수성-미스트의 스킨 [점묘화룡]의 전용 부품으로 삭주 특색의 색상 조합으로 사람들에게 축제 분위기의 고급스러운 인상을 가져다 준다.	An exclusive part for Chenxing - Ethereal Cloud's outfit Inkstroke Dragoness. The Shuozhou-style colors provide a sense of happiness and luxury.						0	
skin_parts20311_use	供应站购买	供應站購買	配給所で購入して獲得	공급 센터 구매 스킨	Purchase in Quartermaster						0	
skin_parts20312	头部·玄青	頭部·玄青	頭部・濃い黒	머리·흑색	Head: Gradient Black						0	
skin_parts20312_des	辰星-云篆时装【点墨化龙】专属部件，以稀有宝石为原料制作的头饰，足以彰显其佩戴者身份的尊贵。	辰星-雲篆時裝【點墨化龍】專屬部件，以稀有寶石為原料製作的頭飾，足以彰顯其佩戴者身分的尊貴。	「辰星-雲篆」衣装【龍の墨跡】専用パーツ。貴重な宝石で作られた髪飾り。装着者の高貴な身分が示される。	수성-미스트의 스킨 [점묘화룡]의 전용 부품으로 희귀 보석을 원료로 제작한 머리 장식이다. 착용자의 신분이 귀족이라는 것을 단번에 알 수 있다.	An exclusive part for Chenxing - Ethereal Cloud's outfit Inkstroke Dragoness. The rare gemstones of this head accessory indicate the wearer's noble status.						0	
