字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	突破了层层重围，我们总算是到达了道路尽头。	突破了層層重圍，我們總算是到達了道路盡頭。	幾重もの敵の包囲を突破して、私たちはようやく道の突き当たりにたどり着いた。	우리는 겹겹이 쌓인 포위망을 뚫고 드디어 길의 끝에 도착했다.	We fought our way through wave after wave of enemies, finally reaching the end of the path.						0	2.7版本主线故事
2	————！	————！	…………！	…!	...!						0	2.7版本主线故事
3	电梯井前的广场上，我们并未见到任何人类的身影。	電梯井前的廣場上，我們並未見過任何人類的身影。	リフト手前の広場に、人間の姿はなかった。	엘리베이터 통로 앞 스퀘어에서, 인간의 그림자는 전혀 보이지 않았다.	Not a single human was in sight in the plaza before the elevator shaft.						0	2.7版本主线故事
4	反倒是一团散发着诡异光芒的能量团正在剧烈地涌动着……然后，渐渐成形。	反而是一團散發著詭異光芒的能量團正在劇烈地湧動著……然後，漸漸成形。	代わりに、不気味な光を放つエネルギーの塊が激しくうごめきながら、おもむろに形を変えている。	그 대신 괴이한 빛을 내뿜는 에너지 뭉치가 격렬히 요동치더니… 점점 형체를 이루기 시작했다.	Instead, a mass of energy pulsed erratically in the air, its eerie glow twisting and writhing as it slowly took shape.						0	2.7版本主线故事
5	吼——	吼——	ガルルル――	크아아!	Haaaa...						0	2.7版本主线故事
6	周围的敌人似乎也察觉到了危险，骤然向着光芒处聚拢。	周圍的敵人似乎也察覺到了危險，驟然地向光芒處聚攏。	あたりの敵も危険を察知したのか、一斉に光の方へ集まってきた。	주변 적들도 위험을 감지한 듯, 갑자기 빛을 향해 모여들었다.	The surrounding enemies seemed drawn to the anomaly, flocking toward it like moths to a flame.						0	2.7版本主线故事
7	目标是那个大块头，对吧？	目標就是那個大塊頭，對吧？	ターゲットは、その大きいのでいいよね？	목표는 저 덩어리 맞지?	That big guy's our target, right?						0	2.7版本主线故事
8	我没有停下脚步，只是向身旁的妮塔简单使了个眼色。	我沒有停下腳步，只是向身旁的妮塔簡單使了個眼色。	私は歩を進めながらそばのニタに目配せをする。	나는 발걸음을 멈추지 않고, 그저 옆에 있는 니타에게 슬그머니 눈짓했다.	I didn't slow down, shooting Nita a knowing look.						0	2.7版本主线故事
9	呵，我懂了。	呵，我懂了。	オッケー、わかったー。	흠, 알겠어.	Heh. Got it.						0	2.7版本主线故事
10	她紧握双拳，背后的机器臂瞬间展开。	她緊握雙拳，背後的機器臂瞬間展開。	言って拳を握ると、背中の機械腕を一気に広げて――	그녀가 두 주먹을 불끈 쥐는 순간, 등 뒤에서 로봇팔이 펼쳐졌다.	She clenched her fists, and with a sharp mechanical whir, the robotic arms on her back unfolded.						0	2.7版本主线故事
11	拦路的小喽啰就交给我好了！	攔路的小嘍囉就交給我好了！	道をふさぐ雑魚たちは私が――	길 막는 조무래기들은 나한테 맡기라고!	Leave the small fry to me!						0	2.7版本主线故事
12	聒噪。	聒噪。	やかましい。	시끄럽군.	Quiet.						0	2.7版本主线故事
13	霎时间，数条能量束带从地面之下钻出。	剎那間，數條能量束帶從地面下鑽出。	にわかに数本の帯状のエネルギーが地面から勢いよく突き出す。	그 순간, 여러 개의 에너지 벨트가 땅을 뚫고 튀어나왔다.	Without warning, several glowing energy ribbons shot up from beneath the ground.						0	2.7版本主线故事
14	分析员，小心埋伏！！	分析員，小心埋伏！	分析員、危ない！！	분석가, 매복이야, 조심해!!	Adjutant, watch out! An ambush!						0	2.7版本主线故事
15	妮塔急忙调转身位，背后的机械臂又瞬间化作一面坚实的护盾挡在了我的面前。	妮塔急忙調轉身位，背後的機械手臂又瞬間化作一面堅固的護盾擋在了我的面前。	とっさに叫んで一歩踏み込み、ニタはオビの攻撃を防ぐように機械腕を十字に組む。	니타는 급히 위치를 바꿨고, 우리 뒤의 로봇팔은 또 순식간에 견고한 방패가 되어 내 앞을 가로막았다.	Reacting instantly, Nita shifted her stance, deploying her mechanical arms into a solid shield between me and the ribbons.						0	2.7版本主线故事
16	等等！	等等！	待ってくれ！	잠깐만!	Wait!						0	2.7版本主线故事
17	情急之下，妮塔忽略了一个细节。	情急之下，妮塔忽略了一個細節。	焦ったあまり、ニタは気付かなかったようだ。	위급한 상황에서, 니타는 한 가지 디테일을 간과했다.	In her rush to protect me, she had overlooked one small detail.						0	2.7版本主线故事
18	这并非埋伏，或者说不是针对我们的埋伏。	這並非埋伏，或者說不是針對我們的埋伏。	今の帯状の攻撃、敵からのものだとは考えにくい。少なくとも、私たちを狙ったものではない。	매복이 아니었다. 아니, 우리를 노리는 매복이 아니라고 해야 할까.	This wasn't an ambush. Or rather — it wasn't aimed at us.						0	2.7版本主线故事
