字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	某个周末的早晨。	某個週末的早晨。	――ある週末の朝。	어느 주말 아침.	One weekend morning.						0	3.5安卡希雅好感度优化
2	“嗡——嗡——”	「嗡——嗡——」	「ブーー……ブーー……」	 '웅~ 웅~'	*bzzzt—bzzzt—*						0	3.5安卡希雅好感度优化
3	睁开眼，看到的却是安卡希雅房间的天花板。	睜開眼，看到的卻是安卡希雅房間的天花板。	目を開けると、視界に入ったのはアカシアの部屋の天井だった。	눈을 뜨니 아카시아 방의 천장이 보였다.	I opened my eyes and found myself staring at the ceiling of Acacia's room.						0	3.5安卡希雅好感度优化
4	缓了一会才想起来，昨晚又和安卡希雅打游戏打到了半夜。	清醒了一下才想起來，昨晚又和安卡希雅玩遊戲玩到了半夜。	少し間を置いて思い出す。昨夜もアカシアとゲームをして、気づけば深夜まで起きていたのだ。	잠시 후에야 생각났다, 어젯밤에도 아카시아와 밤늦게까지 게임을 했다는 것이.	It took me a while to remember that we'd been gaming together until past midnight.						0	3.5安卡希雅好感度优化
5	最近的几次社团活动日总是这样，从观影会开始，以两个人酣畅淋漓地打游戏为终。	最近的幾次社團活動日總是這樣，從觀影會開始，以兩個人酣暢淋漓地打遊戲為終。	ここ最近のサークル活動日は、だいたいいつもこうだ。観賞会で始まって、二人で気持ちよくゲームをぶん回して終わる。	요즘 들어 동아리 활동일은 언제나 영상 관람회로 시작해서 우리 둘이 신나게 게임을 하는 것으로 끝났다.	Lately, our club event days went like this: we'd start with a watch party and end with an intense gaming session, just the two of us.						0	3.5安卡希雅好感度优化
6	最终总是分不出胜负，但两个人又都困得不行，东倒西歪地在懒人沙发上睡过去。	最終總是分不出勝負，但兩個人又都睏得不行，東倒西歪地在懶人沙發上睡過去。	結局いつも決着はつかない。でも二人とも限界まで眠くて、ぐにゃぐにゃのままビーズソファに倒れ込み、そのまま寝落ちする。	마지막에는 항상 승패를 가리지 못했는데, 두 사람 모두 너무 졸린 나머지 빈백 소파에서 비틀거리다 잠들어버렸다.	We never had a winner, and we both ended up dead tired, passing out on the bean bag sofa.						0	3.5安卡希雅好感度优化
7	通讯终端还在震个不停。	通訊終端還在震動個不停。	通信端末だけが、まだ震え続けていた。	통신 단말기가 진동하고 있었다.	My comms terminal was still buzzing.						0	3.5安卡希雅好感度优化
8	枕在手臂旁的脑袋动了动，眼睛也不睁地翻个身背对呼叫声，将手和脚顺势搭了过来。	枕在手臂旁的腦袋動了動，眼睛睜也不睜地翻個身背對呼叫聲，將手和腳順勢搭了過來。	腕枕の頭がもぞっと動き、目も開けないまま寝返りを打って、呼び出し音から逃げるように背を向ける。手も足も、そのまま私に絡むみたいに乗ってきた。	내 팔을 베고 있던 머리가 움직이더니, 눈도 뜨지 않은 채 몸을 돌려 호출음을 등지고는 손과 발을 자연스럽게 이쪽으로 뻗었다.	The head resting by my arm shifted slightly. Without opening her eyes, she rolled over and turned her back to the sound, draping her arm and leg over me in the process.						0	3.5安卡希雅好感度优化
9	……	……	……	……	...						0	3.5安卡希雅好感度优化
