字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	在第一百五十七次满月的夜晚	在第一百五十七次滿月的夜晚	157回目の満月の夜に	157번째 만월의 밤	The night of the one-hundred-and-fifty-seventh full moon,						0	
2	凶鸟带着厄难降临在高山之上	凶鳥帶著厄難降臨在高山之上	災厄を運ぶ凶鳥は高山に降臨す	흉조가 재앙을 안고 높은 산에 내려온다	A sinister bird sweeps down, bringing darkness and doom.						0	
3	稚童的身旁既无毒物也无外伤	稚童的身旁既無毒物也無外傷	童の傍に毒も外傷もなく	아이의 옆에는 독물도 외상도 없고	Our innocent children are touched by neither trauma nor poison,						0	
4	水晶般的枝桠让他们成为土壤	水晶般的枝椏讓他們成為土壤	水晶のような枝の下で土になる	수정 같은 나뭇가지가 그들을 흙으로 만든다	Yet the crystal branches consume them, back to earth as one.						0	
5	我们向图拉*祈祷，祂闭目默然	我們向圖拉*祈禱，祂閉目默然	トゥーラ*に祈るも、返事はなかった	우리가 투라*에게 기도하니, 그는 눈을 감고 아무 말이 없다	We pray to Thuya — Their eyes shut, not a sound.						0	
6	我们向卡斯*祈祷，祂垂手哀叹	我們向卡斯*祈禱，祂垂手哀歎	カス*に祈るも、ため息しかなかった	우리가 카스*에게 기도하니, 그는 손을 떨구고 탄식한다	We pray to Khash — Their hands low, grief profound.						0	
7	当纯洁的新生儿也难逃这灾难	當純潔的新生兒也難逃這災難	穢れなき稚児も難を逃れず	순결한 신생아도 재앙을 피하지 못하니	Even pure newborns can't evade this terrible blight,						0	
8	我们不再对伪神抱有任何幻想	我們不再對偽神抱有任何幻想	偽りの神を見限るのも自然の理	우리는 더 이상 거짓 신에게 어떠한 환상도 품지 않는다	Our faith in false gods fades, losing its light.						0	
9	水之影，将告诉我们答案	水之影，將告訴我們答案	水の影、答えを教えてくれ	수중 그림자가 해답을 줄 것이고	But fear not! The shadow lotus holds wisdom's key,						0	
10	水之影，载我们前往彼岸	水之影，載我們前往彼岸	水の影、彼方に乗せてくれ	수중 그림자가 우리를 건너편으로 데려가리라	Guiding us to the other shore, setting us free.						0	
11	“凶鸟带着厄难降临在高山之上”……听起来香蒲族人遭遇了很恐怖的事情，是火山爆发吗？	「凶鳥帶著厄難降臨在高山之上」……看起來像是香蒲族人遭遇了很恐怖的事情，是火山爆發嗎?	「災厄を運ぶ凶鳥は高山に降臨す」……アヤメ族たちが怖い目に遭ったようね。噴火かしら……	'흉조가 재앙을 안고 높은 산에 내려온다'… 부들족이 끔찍한 일을 당한 것 같은데, 화산 폭발 같은 건가?	"A sinister bird sweeps down, bringing darkness and doom..." That makes it sound like something horrible happened to the Typha. Did a volcano erupt?						0	
12	雅卢岛上以及附近海域并没有火山。	雅盧島上以及附近海域並沒有火山。	ガルーアイランドや付近の海域には火山なんてない。	야루섬과 인근 해역에는 화산이 없다.	There are no volcanos on or around Yallu Island.						0	
13	这样吗？	是這樣嗎?	そうなの？	그래?	Really?						0	
14	“稚童的身旁既无毒物也无外伤，水晶般的枝桠让他们成为土壤”……	「稚童的身旁既無毒物也無外傷，水晶般的枝椏讓他們成為土壤」……	「童の傍に毒も外傷もなく、水晶のような枝の下で土になる」……	'아이의 옆에는 독물도 외상도 없고, 수정 같은 나뭇가지가 그들을 흙으로 만든다'…	"Our innocent children are touched by neither trauma nor poison, yet the crystal branches consume them, back to earth as one..."						0	
15	这段描述未免也太像成年病了……	這段描述也未免太像成年病了……	いかにもティーン症候群らしいですね……	성인병과 너무 비슷한 묘사네요…	That sounds just like Juvosis...						0	
16	啊！难道说这个灾难其实说得是成年病？！或者说某种类似的疾病？	啊!難道說這個災難就是指成年病?!或者說是某種類似的疾病?	まさかその災難って……ティーン症候群！？あるいは似たような病気とか……	아! 설마 그 재앙이 사실은 성인병이라는 말인가?! 아니면 그와 비슷한 질병?	Oh! Was Juvosis the disaster they encountered? Or maybe a disease like it?						0	
17	目前没有可靠证据能证明成年病曾经爆发过喵。	目前沒有確切證據能夠證明曾爆發過成年病喵。	今のところティーン症候群が爆発したという確固たる証拠はないニャ。	과거에 성인병이 발발했었다는 신빙성 있는 증거는 없다냥.	There is currently no credible evidence to suggest the people here ever experienced Juvosis, nya.						0	
18	但如果是真的，那可是重大发现啊！	但如果是真的，那可是重大發現啊!	でももし本当だったら、大発見よね！	하지만 만약 이게 사실이라면, 정말 중대한 발견이잖아!	But if it really happened, that would be a major discovery!						0	
19	先不说这块石板上的文字能否作为证据喵。	姑且不論這塊石版上的文字是否能作為證據喵。	この石板に書かれた文字が証拠になるかどうかはともかく。	이 석판의 문자가 증거가 될 수 있는지는 일단 생각하지 말자냥.	Let's not consider what's written on the tablet as evidence for now.						0	
20	首先，这个岛屿已经被开发过了。	首先，這座島嶼已經受到了開發。	そもそも、この島は開発されているニャ。	우선, 여긴 이미 개발된 섬이다.	The main point is, this island has already been developed.						0	
21	如果真有什么重大发现的话，早就刊登论文了。	如果真有什麼重大發現的話，早就刊登在論文上了。	もし本当に何か重大な発見があれば、とっくに論文が出てるはず。	만일 정말 중대한 발견이 있었다면 진작에 논문에 게재되었을 거다.	If there were any major discoveries to be had, they would have been made public a long time ago.						0	
22	哎，这样吗？	欸，是這樣嗎?	えー、そうなの？	아, 그런가?	Ugh, really?						0	
b-1											0	
23	但如果是被刻意隐藏起来的那就说得通了。	但如果真相是被刻意隱瞞的話那就說得通了。	意図的に隠されているのであれば、つじつまが合うよな。	의도적으로 숨긴 거라면 말이 되지.	Maybe it was purposely concealed. It's plausible.						0	
24	说得通吗？确实，但也缺乏实质性证据，比如染病身亡的遗骸或者晶体什么的。	說得通嗎?確實，但也缺乏實際證據，比如染病身亡的遺骸或者晶體什麼的。	つじつまが合うか……でもやっぱり証拠が足りない。病死した遺体とか、結晶とか。	말이 된다고? 맞아, 하지만 실질적인 증거가 부족하다, 전염병으로 사망한 유해나 결정체 같은 것 말이다.	Is it plausible? I suppose so. But there's still not enough hard evidence — like crystals, or the remains of those who died from Juvosis.						0	
25	那就将它找出来吧！不知道为什么，本小姐突然有干劲了~	那就把它找出來吧!本小姐突然變得有幹勁了~	じゃあ、それを探してみましょ！なんかあたし、やる気出てきちゃった！	그럼 그걸 찾아보자! 왠지 모르지만, 갑자기 의욕이 넘쳐~	Then let's find some! I don't know why, but I feel super motivated now~						0	
