字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	夜色深沉，燃灯仪式结束后，人群逐渐散去。泰古通达分部安静下来，只有无人机械运作的噪音依旧在楼间回响。	暮色深沉，燃燈儀式結束後，人群逐漸散去。泰古通達分部恢復了寧靜，只有無人機械運作的噪音依舊在樓層間迴響。	夜も更け、点灯儀式の終了後、人々は次第に帰っていった。タグ支社も静かさに包まれ、無人機械の作動音だけがビルの間に響いている。	깊은 밤, 연등 의식이 끝난 후, 사람들은 하나둘씩 흩어졌다. 타이구 지부에는 고요함이 찾아왔고, 기계 작동음이 들릴 뿐이었다.	As night fell and the lighting ceremony concluded, the crowds gradually dispersed. The Taigu-Connect branch quieted down, only the sounds of unmanned machinery echoing throughout the building.						0	
2	然而在交错的回廊间，在无人的角落里，依然可以感觉到有什么在蠢蠢欲动……	然而在交錯的迴廊間，在無人的角落裡，依然可以感覺到有什麼在蠢蠢欲動……	しかし、交差する回廊の間、誰もいない片隅に、まだ何かが蠢いているのを感じる……	교차된 회랑의 구석에서 무언가가 그림자 속에 도사리고 있었다…	However, the feeling that something was lurking among the staggered corridors and empty corners was ever-present...						0	
3	看来，分析员阁下也有所察觉。	看來，分析員閣下也有所察覺。	……どうやら、分析員様もお気づきのようですね。	분석가님도 눈치채셨군요.	Looks like you're aware of it too, Adjutant.						0	
b-1											0	
4	天亮之前，我们可以针对泰古通达分部进行一次彻底巡察。	天亮之前，我們可以針對泰古通達分部進行一次徹底巡察。	夜が明けるまで、御社内を徹底的に見回ることができます。	날이 밝기 전에 타이구 지부를 전체적으로 한번 순찰하는 것도 괜찮을 거 같아요.	Before the sun rises, we can conduct a thorough inspection of the Taigu-Connect branch.						0	
b-2											0	
5	如果仓尧主管不放心的话。	如果倉堯主管不放心的話。	もし倉尭さんが心配なら。	창요 관리자님이 걱정된다면 그렇게 하시죠.	If you're worried, manager.						0	
6	那就再好不过了，不愧是分析员阁下，真令人安心。	那就再好不過了，不愧是分析員閣下，真令人放心。	それは助かります。さすが分析員様、実に頼もしい限りです。	네. 그렇게 하는 게 좋을 것 같네요. 역시 분석가님은 사람 마음을 안심시키는 재주가 있으신 것 같아요.	That would be excellent. Unsurprisingly, you really know how to make others feel at ease, Mr. Adjutant.						0	
7	喂，听得见吗？	喂，聽得見嗎？	もしもし、聞こえますか？	여보세요? 들리세요?	Hey, can you hear me?						0	
8	哦？仓尧也在。	哦？倉堯也在。	お？倉尭もいる。	아? 창요 님도 계셨네요.	Huh? Cangyao is there too?						0	
9	许久不见，卡罗琳，你看起来真是一点也没变。	許久不見，卡羅琳，你看起來真是一點也沒變。	お久しぶりです、カロリン。本当に全然変わってませんね。	정말 오랜만이네요, 캐롤린. 하나도 안 변하셨네요.	Long time no see, Caroline. You haven't changed a bit.						0	
10	……我就当这是是对我的奉承，说正事。	……我就當這是對我的奉承，說正事。	……褒め言葉として受け取っておくよ、本題に入る。	… 이 말은 아부라고 생각하고, 그럼 바로 본론부터 들어갈게요.	...I'll take that as a compliment. Let's focus on the matter at hand.						0	
11	那鄙人还是先回避吧。	那鄙人還是先回避吧。	それなら、私は外した方がいいのでは？	그럼 전 잠시 자리를 피해 있겠습니다.	Then I'll take my leave.						0	
12	没必要，我们也没什么劲爆的料是你不能听的。	沒必要，我們也沒什麼勁爆的料是你不能聽的。	いえ、別に。聞かれて困る話でもないし。	그럴 필요 없어요. 관리자님이 들으면 안 되는 그런 파격적인 내용은 없거든요.	There's no need. We won't be discussing anything you can't hear.						0	
13	再说堂堂泰古通达分部主管，不至于因为管不好自己的嘴，毁掉我们良好的合作关系。	再說堂堂泰古通達分部主管，不至於因為管不好自己的嘴，毀掉我們良好的合作關係。	それに、タグ支社のCOOともあろうお方が自分の口を管理できないからといって、私たちの良好な協力関係を壊したりなんかしないでしょう？	그렇다고 한 타이구 물류회사 지부에 있는 관리자가 입이 가벼워서 저희와의 관계를 파괴시킬 정도로 멍청하지는 않을 거고요.	Besides — such a dignified Taigu-Connect branch manager would never ruin our good working relationship just because he couldn't keep a secret.						0	
14	呵……	呵……	ふっ……	…	Hah...						0	
