字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
page1.1	几分钟之前，我就看到安卡希雅在反复地戳着多诺对决的界面，还是去看看她怎么了。	幾分鐘之前，我就看到安卡希雅在反覆地戳著多諾對決的介面，還是去看看她怎麼了。	数分前から、アカシアがDORO対決の画面を何度もつついているのが見えていたので、様子を見に行くことにした。	몇 분 전부터 아카시아가 도노 대결 화면을 계속 눌러댔다. 왜 그러는 건지 가봐야겠다.	Acacia's been tapping at the Dono Duel interface for a few minutes now. Better go check if anything's wrong.						0	3.5版本多诺巅峰对决剧情
page1.2	认真琢磨什么呢？	認真研究什麼呢？	そんな真剣な顔で、何を考え込んでいるんだ？	뭐 때문에 그렇게 끙끙대?	What are you working so hard on?						0	3.5版本多诺巅峰对决剧情
page1.3	啊，吓了一跳。	啊，嚇了一跳。	わっ、びっくりした。	아, 깜짝이야.	Whoa! Hey, no scaring me like that.						0	3.5版本多诺巅峰对决剧情
page1.4	那我也要还一招——看我的超级无敌痒痒手。	那我也要還一招——看我的超級無敵癢癢手。	じゃあお返しに――必殺・スーパーくすぐり！	그럼 나도 필살기를 써야지… 무적의 간지럼 공격이다.	Take my counterattack, Acacia's invincible tickle attack!						0	3.5版本多诺巅峰对决剧情
page1.5	她随即举起双手，佯装打算搔痒的姿势。见我完全不为所动，她顺势直接扑进了我的怀抱。	她隨即舉起雙手，佯裝打算搔癢的姿勢。見我完全不為所動，她順勢直接撲進了我的懷抱。	そう言って両手を振り上げ、くすぐりに来るふりをしたかと思うと、私が動じないのをいいことに、そのまま勢いよく胸元へ飛び込んでくる。	그녀는 곧바로 두 손을 들어 올려 간지럽히려는 척했다. 하지만 전혀 동요하지 않는 내 모습에, 그대로 내 품으로 파고들었다.	She raised both hands, getting ready to tickle me. When I didn't react at all, she simply threw herself into my arms.						0	3.5版本多诺巅峰对决剧情
page1.6	一通胡闹之后，安卡希雅终于恋恋不舍地松开了我。	一通胡鬧之後，安卡希雅終於依依不捨地鬆開了我。	ひとしきりじゃれついたあと、アカシアは名残惜しそうに私から離れた。	한바탕 소란 끝에, 아카시아는 결국 아쉬운 듯 나를 놓아주었다.	After fooling around for a while, Acacia reluctantly let go of me.						0	3.5版本多诺巅峰对决剧情
page1.7	看什么呢？	看什麼呢？	何を見ていたんだ？	뭐 보고 있어?	What have you got there?						0	3.5版本多诺巅峰对决剧情
page1.8	喏，这些……都是我以前玩多诺卡时的牌组。	喏，這些……都是我以前玩多諾卡時的牌組。	ほら、これ……全部、前に私がDOROカードで使ってたデッキたち。	여기, 이건… 내가 전에 도노 카드 할 때 썼던 덱이야.	Well... It's all the decks I used to play with in Dono Duel.						0	3.5版本多诺巅峰对决剧情
page1.9	怀念吗？	懷念嗎？	懐かしくなったのか。	그리워?	Feeling nostalgic?						0	3.5版本多诺巅峰对决剧情
page1.10	唔，也不是特别值得怀念的东西啦……	唔，也不是特別值得懷念的東西啦……	んー、そこまで「美談」ってほどでもないけどね……	음, 특별히 그리워할 것까진 아니지만…	Mmm, they're not exactly anything special to get nostalgic over...						0	3.5版本多诺巅峰对决剧情
page1.11	那时候都是自己和自己对战，最终才做出了这一套卡牌。	那時候都是自己和自己對戰，最終才做出了這一套卡牌。	当時はずっと自分とだけ対戦してて、その果てに出来上がったのがこのデッキなんだ。	당시에 상대도 없이 혼자 계속 시험해 보면서 완성한 덱이거든.	Back then, I was always just playing against myself, and that's how I ended up building all these decks.						0	3.5版本多诺巅峰对决剧情
page1.12	她看向牌组，又抬起眼眸可怜巴巴地看着我。	她看向牌組，又抬起眼眸可憐巴巴地看著我。	デッキを見下ろしたあと、ちらりと上目づかいでこちらを伺う。	덱을 쳐다보던 그녀는 다시 고개를 들어 애처롭게 나를 쳐다봤다.	She looked down at the decks, then lifted her eyes to look at me with a pitiful expression.						0	3.5版本多诺巅峰对决剧情
page1.13	我想我大概知道她在想什么了。	我想我大概知道她在想什麼了。	何を言いたいのか、大体察しはついた。	그녀가 무슨 생각을 하고 있는지 알 것 같았다.	I had a pretty good idea of what she was hoping for.						0	3.5版本多诺巅峰对决剧情
page1.14	谨以安卡希雅一生的游戏搭子的身份，发出对决邀请！	謹以安卡希雅一生的遊戲搭檔的身分，發出對決邀請！	ここはアカシア一生分のゲーム相棒として、正式に勝負を申し込むとしよう！	아카시아의 영원한 게임 파트너로서, 대결을 신청한다!	As your gaming partner for a lifetime, I hereby challenge you to a duel, Acacia!						0	3.5版本多诺巅峰对决剧情
page1.15	安卡希雅听到我的话，低头欣慰地微笑。随即，她摆出了招牌的中二微笑	安卡希雅聽到我的話，低頭欣慰地微笑。隨即，她擺出了招牌的中二微笑。	私の言葉にアカシアはうつむいて、どこか満足げに微笑む。そしてすぐ、いつもの厨二笑いを浮かべた。	내 말에 아카시아는 고개를 숙인 채 위안이 된다는 듯 웃었다. 그리고는 특유의 중2병 같은 미소를 지었다.	Acacia lowered her head with a relieved smile, then struck her signature chuni grin.						0	3.5版本多诺巅峰对决剧情
page1.16	虽然已经有一段时间没玩多诺卡，但我的牌组还是很厉害的哦。	雖然已經有一段時間沒玩多諾卡，但我的牌組還是很厲害的喔。	DOROカードからは少し離れてたけど、私のデッキはまだまだ現役だ。	한동안 도노 카드를 안 하긴 했지만, 내 덱은 여전히 강력하거든.	It's been a while since I last played Dono cards, but my decks are still really strong, you know.						0	3.5版本多诺巅峰对决剧情
page1.17	接下来，就让我成为亲爱的必须攻克的大BOSS吧~	接下來，就讓我成為親愛的必須攻克的大Boss吧~	このあと待ち構えるは、あなたが越えるべき最強ラストボス・アカシアだよ〜	이제부터, 자기가 반드시 공략해야 할 최종 보스가 되어줄게~	I'll be the final boss you absolutely have to conquer, darling~						0	3.5版本多诺巅峰对决剧情
page1.18	放马过来，没在怕的。	放馬過來，沒在怕的。	望むところだ、いくらでもかかってこい。	덤벼 봐, 전혀 안 무서우니까.	Bring it on. I'm not scared.						0	3.5版本多诺巅峰对决剧情
