字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
Chara.01	安卡希雅	安卡希雅	アカシア	아카시아	Acacia						0	
Chara.02	里芙	里芙	リフ	리브	Lyfe						0	
Chara.03	妮塔	妮塔	ニタ	니타	Nita						0	
Chara.04	芙提雅	芙提雅	フリティア	프티야	Fritia						0	
Chara.05	茉莉安	茉莉安	マリアン	마리안	Marian						0	
Chara.06	晴	晴	晴	하루	Haru						0	
Chara.07	琴诺	琴諾	チェルノ	체르노	Cherno						0	
Chara.08	芬妮	芬妮	ファニー	페니	Fenny						0	
Chara.09	电热水壶	電熱水壺	電気ケトル	전기포트	Electric Kettle						0	
Chara.10	肴	肴	肴（ヤオ）	야오	Yao						0	
Chara.11	恩雅	恩雅	エンヤ	엔야	Enya						0	
Chara.12	猫汐尔	貓汐爾	マーシル	캣 시에라	Mauxir						0	
Chara.13	瑟瑞斯	瑟瑞斯	シーリス	세리스	Siris						0	
Chara.14	辰星	辰星	辰星（チェンシン）	수성	Chenxing						0	
Chara.15	卡罗琳	卡羅琳	カロリン	캐롤린	Caroline						0	
Chara.16	陶	τ	τ（タウ）	τ	τ						0	
Chara.17	莫尔索	莫爾索	ムルソー	모르소	Meursault						0	
Chara.18	李秋雪	李秋雪	李秋雪（リー・チュウシエ）	이초설	Li Qiuxue						0	
Chara.19	加文	加文	ガビン	게빈	Gavin						0	
Chara.20	叶	葉	葉	블레이드	Ye						0	
Chara.21	苏菲	蘇菲	ソフィー	소피	Sophie						0	
Chara.22	迪特里希	迪特里希	ディートリッヒ	디트릭	Dietrich						0	
Chara.23	爱思特	愛思特	エステル	에스터	Esther						0	
Chara.24	萨特	薩特	サルトル	사르트르	Sartre						0	
Chara.25	凯郭尔	凱郭爾	ケゴール	케고르	Kegaard						0	
Chara.26	贝翠斯	貝翠斯	ベアトリス	베아트리체	Beatrice						0	
Chara.27	芭洛玛	芭洛瑪	パロマ	발로마	Paloma						0	
Chara.28	德尔塔	δ	δ（デルタ）	δ	δ						0	
Chara.29	伊普西龙	ε	ε（イプシロン）	ε	ε						0	
Chara.30	派	π	π（パイ）	π	π						0	
Chara.31	舍塔	θ	θ（シータ）	θ	θ						0	
Chara.32	奥米茄	ω	ω（オメガ）	ω	ω						0	
Chara.33	奥丁	奧丁	オーディン	오딘	Odin						0	
Chara.34	郊狼士兵	郊狼士兵	コヨーテ兵士	코요테 병사	Coyotes Soldier						0	
Chara.35	郊狼头目	郊狼頭目	コヨーテリーダー	코요테 두목	Coyotes Leader						0	
Chara.36	会员	會員	メンバー	신자	Member						0	
Chara.37	降临团会员	降臨團會員	降臨団メンバー	강림단 신자	Adventist						0	
Chara.38	武装会员	武裝會員	武装メンバー	신자(무장)	Armed Adventist						0	
Chara.39	？？？	？？？	？？？	???	???						0	
Chara.40	男性市民	男性市民	男性市民	시민 남성	Male Citizen						0	
Chara.41	成年病患者	成年病患者	ティーン症候群患者	성인병 환자	Juvosis Patient						0	
Chara.42	歌唱者	歌唱者	シンガー	코러스 시스템	Chorus System						0	
Chara.43	拾荒者	拾荒者	スカベンジャー	피난민	Scavenger						0	
Chara.44	异化人	異化人	変異者	변이자	The Changed						0	
Chara.45	平民	平民	一般人	시민	Civilian						0	
Chara.46	净化官	淨化官	浄化官	정화관	Purificant						0	
Chara.47	约瑟夫	約瑟夫	ロシフ	조셉	Joseph						0	
Chara.48	郊狼队长	郊狼隊長	コヨーテ隊長	코요테 대장	Coyote Captain						0	
Chara.49	店员	店員	店員	점원	Shop Assistant						0	
Chara.50	陌生少女	陌生少女	見知らぬ少女	낯선 소녀	Strange Girl						0	
Chara.51	医师	醫師	医師	의사	Physician						0	
Chara.52	保卫员	警衛	保安員	보안원	Security Officer						0	
Chara.53	通讯	通訊	通信	통신	Communication						0	
Chara.54	提示音	提示音	効果音	알림음	Prompt						0	
Chara.55	？？	？？	？？	??	??						0	
Chara.56	？	？	？	?	?						0	
Chara.57	流浪者头目	流浪者頭目	レンジャーのリーダー	방랑자 두목	Scavenger Leader						0	
Chara.58	年轻流浪者	年輕流浪者	若いレンジャー	젊은 방랑자	Young Scavenger						0	
Chara.59	少女	少女	少女	소녀	Girl						0	
Chara.60	天楼居民	天樓居民	スカイタワーの住民	스카이 타워 주민	Resident of The Towers						0	
Chara.61	研究员	研究員	研究員	연구원	Researcher						0	
