字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
page1.1	亲爱的，你已经对多诺有了深厚的羁绊！	親愛的，你已經對多諾有了深厚的羈絆！	あなたとDOROカードの間には、もう十分すぎるくらい絆ができてるよ！	자기야, 벌써 도노와 깊은 인연을 맺었네!	Darling, you've already forged a deep bond with Dono Card!						0	3.5版本多诺巅峰对决剧情
page1.2	让我们开始进入正式的对决吧！	讓我們開始進入正式的對決吧！	それじゃあ、いよいよ本番の対決に入ろっか！	이제 정식 대결을 시작하자!	Let's move on to the real duels!						0	3.5版本多诺巅峰对决剧情
page1.3	安卡希雅双手平举，郑重地捧着一把“空气大剑”，等着我的配合。	安卡希雅雙手平舉，鄭重地捧著一把「空氣大劍」，等著我的配合。	アカシアは両手を高く掲げ、見えない大剣を抱えるふりをして、こちらの出方をじっと待っている。	아카시아는 두 손을 올려 진지한 모습으로 '에어 대검'을 받쳐 든 채 내가 응해주기를 기다렸다.	Acacia raised both hands, solemnly holding out an invisible "sword," waiting for me to play along.						0	3.5版本多诺巅峰对决剧情
page1.4	我们早已深刻了解彼此，我自然明白她的意思。	我們早已深刻了解彼此，我自然明白她的意思。	ここまで来れば、アカシアの狙いは言われなくても分かる。	우리는 이미 서로를 잘 알고 있었기에, 그녀의 뜻을 바로 이해할 수 있었다.	We already knew each other so well that I naturally understood what she meant.						0	3.5版本多诺巅峰对决剧情
page1.5	我将手放在胸前，半跪在地，郑重地回应了她的“仪式”。	我將手放在胸前，半跪在地，鄭重地回應了她的「儀式」。	胸に手を当てて片膝をつき、その「儀式」にできるかぎり厳かに応える。	나는 손을 가슴에 얹고 바닥에 무릎을 꿇은 채, 진지하게 그녀의 '의식'에 응했다.	I placed a hand over my chest, dropped to one knee, and formally accepted her "ritual."						0	3.5版本多诺巅峰对决剧情
page1.6	为了命定的恒约之人，我早就做好了战斗的觉悟。	為了命定的恆約之人，我早就做好了戰鬥的覺悟。	運命で結ばれた誓約相手のためなら、とっくに戦う覚悟はできている。	운명의 언약을 맺은 이를 위해, 나는 이미 싸울 각오가 되어 있어.	For my destined Covenant partner, I've long been prepared to fight.						0	3.5版本多诺巅峰对决剧情
page1.7	安卡希雅满足地笑着，随后就又扑在了我的身上，蹭来蹭去。	安卡希雅滿足地笑著，隨後就又撲在了我的身上，蹭來蹭去。	アカシアは満足そうに笑うと、また勢いよく私に飛びつき、すりすりと頬を寄せてきた。	만족스러운 듯 미소 지은 아카시아는 내게 폭 안겨 부비적거렸다.	Acacia smiled in satisfaction, then pounced on me again, nuzzling her head against me.						0	3.5版本多诺巅峰对决剧情
page1.8	再次抬起头时，她头顶软软的发丝布满静电而全部飞起来，活像是炸毛的小动物。	再次抬起頭時，她頭頂軟軟的髮絲因布滿靜電而全部飛起來，像是炸毛的小動物。	顔を上げたときには、柔らかな前髪に静電気が走って逆立ち、小さな動物がふくらんだみたいになっていた。	그녀가 다시 고개를 들자, 정전기로 인해 그녀의 머리카락이 위로 솟았는데, 그 모습이 마치 털을 곤두세운 작은 동물처럼 보였다.	When she lifted her head again, her soft hair was sticking up in all directions, like a little animal with its fur all fluffed out.						0	3.5版本多诺巅峰对决剧情
page1.9	闹闹腾腾但是温馨的瞬间，也让我再次想起那些事。	鬧鬧騰騰但又溫馨的瞬間，也讓我再次想起那些事。	賑やかで、でもどこかあたたかいこの一瞬が、あの日々をまた思い出させる。	시끌벅적하면서도 따뜻한 이 순간은 다시 한번 지난 일들을 떠올리게 했다.	The playful yet intimate moment made me think of those cherished memories in her inner mind again.						0	3.5版本多诺巅峰对决剧情
page1.10	她和我一起喝老式奶茶时，弯弯眼角露出的甜蜜。	她和我一起喝老式奶茶時，彎彎眼角露出的甜蜜。	あの懐かしいミルクティーを飲みに連れ出してくれたときの、目尻をきゅっと下げた甘い笑顔。	그녀가 나를 데리고 옛날식 밀크티를 마셨을 때, 눈가에 번지던 그 달콤함.	The sweetness in her curved eyes when she drank old-fashioned milk tea with me...						0	3.5版本多诺巅峰对决剧情
page1.11	我们并排而坐，在街机店奋力地拍着按键时，她瞥向我的瞬间。	我們並排而坐，在電子遊樂場奮力地拍著按鍵時，她瞥向我的瞬間。	ゲームセンターで並んでボタンを叩きながら、ふいにこちらをのぞき込んできた横顔。	나란히 앉아 오락실에서 힘껏 버튼을 두드리던 때, 그녀가 나를 힐끗 바라보던 그 순간.	That instant when she stole a glance at me when we sat shoulder to shoulder, frantically smashing buttons at the arcade...						0	3.5版本多诺巅峰对决剧情
page1.12	在柔软的暖光照射的漫画屋里，我们一起嗦泡面时，她的神情……	在柔軟的暖光照射的漫畫屋裡，我們一起吸泡麵時，她的神情……	柔らかな灯りのマンガ喫茶で、一緒にカップ麺をすすっていたときの、あの何気ない表情……	따뜻한 빛이 감돌던 만화방에서 함께 컵라면을 먹던 그녀의 표정…	And the expression on her face when we slurped instant noodles together in the sun-bathed manga shop.						0	3.5版本多诺巅峰对决剧情
page1.13	原来和她在一起的每一刻，都在不断地给我的世界带来新的东西。	原來跟她在一起的每一刻，都在不斷地給我的世界帶來新的東西。	思えば、彼女と過ごす一瞬一瞬が、少しずつ私の世界を塗り替えてきたのだ。	그녀와 함께한 모든 순간이 계속해서 나의 세상을 조금씩 새롭게 바꿔 놓고 있다는 걸 깨달았다.	It turned out that every moment with Acacia had been bringing new wonders into my world.						0	3.5版本多诺巅峰对决剧情
page1.14	而她也一直在期待我会满意、喜欢这一切……	而她也一直在期待我會滿意、喜歡這一切……	そして彼女は、私がそれを好きになってくれるかどうかを、ずっと気にしてくれていた……	그리고 그녀 역시, 내가 이 모든 것에 만족하고 좋아해 주기를 줄곧 기대하고 있었다…	And she'd always been hoping I'd be happy with, and come to love, all of it...						0	3.5版本多诺巅峰对决剧情
page1.15	亲爱的……亲爱的？想什么呢？	親愛的……親愛的？想什麼呢？	あなた……？さっきから何考えてるの？	자기야… 자기야? 무슨 생각해?	Darling... darling? Is there something on your mind?						0	3.5版本多诺巅峰对决剧情
page1.16	在想，我喜欢多诺卡，但更喜欢和你一起玩多诺卡。	在想，我喜歡多諾卡，但更喜歡和你一起玩多諾卡。	DOROカードも気に入っているけどな、それ以上に、アカシアと一緒に遊ぶのが好きだ。	도노 카드가 좋은 것도 맞지만, 그걸 너랑 해서 더 좋다는 생각.	I was thinking... I do like Dono cards, but what I like even more is playing Dono cards with you.						0	3.5版本多诺巅峰对决剧情
