字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	T夏克威弗		都市怪谈逐个击破，顺利地让对手沉默！	0	dlc30蓝图岛对话
page1.2	T夏克威弗		恭喜揭开都市传说之谜的计划畅通无阻。	0	dlc30蓝图岛对话
page1.3	T安卡希雅		……请不要在进程才到一半，而且确实进展很顺利的时候插这种旗。	0	dlc30蓝图岛对话
page1.4	T安卡希雅		说不定在你发出这种感叹之后，这一次的调查就会陡然增加难度。	0	dlc30蓝图岛对话
page1.5	H主角		增加难度也很正常啦，这回的调查对象可是“神明”啊。只在雨夜出没，还能改变气候的神明。	0	dlc30蓝图岛对话
page1.6	T安卡希雅		说是“神明”，不如说更像是个幽灵。	0	dlc30蓝图岛对话
page1.7	H主角		呵呵，安卡希雅是害怕了吗？	0	dlc30蓝图岛对话
page1.8	T安卡希雅		我和分析员都做过专业的训练，不管多可怕，我们都不会怕。	0	dlc30蓝图岛对话
page1.9	T安卡希雅		不过，雨天才能调查啊……尖尖耳，查一下还要过多久才会下雨？	0	dlc30蓝图岛对话
page1.10	T尖尖耳		根据我搜集到的数据，24小时内降水概率99%。正在将有关天气的情报移交给分析员。	0	dlc30蓝图岛对话
page1.11	H主角		下面还有一行小字……“注：本次预报由AI‘量子算命2.0’生成，实际天气可能以管理员心情为准”？	0	dlc30蓝图岛对话
page1.12	T尖尖耳		是的。蓝图岛天气控制和天气预报的业务，都是找外包AI处理的，只不过它们的管理员还没有被我们雇佣。	0	dlc30蓝图岛对话
page1.13	H主角		那就很有问题了……照理说只要找它们的管理员问一下就能知道真相。	0	dlc30蓝图岛对话
page1.14	H主角		而现在，我们却需要干等它来下雨。	0	dlc30蓝图岛对话
page1.15	T夏克威弗		我觉得没有那个必要，尖尖耳什么都能做到。	0	dlc30蓝图岛对话
page1.16	T夏克威弗		如果不是工作太多，它还能展示气象的奥妙。	0	dlc30蓝图岛对话
page1.17	T尖尖耳		其实我也忍那个一点都不准的天气预报很久了。区区呼风唤雨的小技巧，我也能做到的。	0	dlc30蓝图岛对话
choice01			你究竟还会多少我不知道的技能。	0	dlc30蓝图岛对话
page2.1	T尖尖耳		您自谦了，尖尖耳还需要多和您学习，分析员。	0	dlc30蓝图岛对话
page2.2	T尖尖耳		我来完成降雨，诸位去找那个管理员当面对质吧！	0	dlc30蓝图岛对话
page2.3			乌云密布，蓝图岛很快“哗啦啦”地下起雨来……	0	dlc30蓝图岛对话
