字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	陶的办公室。	τ的辦公室。	τのオフィス。	τ의 사무실.	Yggdrasil Headquarters, τ's office.						0	2.8预告剧情
2	我接过卡罗琳递来的一封信函。	我接過卡羅琳遞來的一封信。	私は目の前に差し出された封筒を受け取る。	난 캐롤린이 건넨 봉투를 받아 들었다.	Caroline handed me an envelope.						0	2.8预告剧情
3	这是什么？	這是什麼？	これは何だ？	이게 뭐야?	What's this?						0	2.8预告剧情
4	卫城学院的聘请通知书。	衛城學院的聘任通知書。	アクロポリス学院からのオファーです。	아크로폴리스 아카데미의 채용 통지서에요.	An appointment letter from the Academica Acropolis.						0	2.8预告剧情
5	本该属于陶的位置，正坐着身形娇小的少女。她双手交叠，撑在下巴的位置，用睿智的目光盯着我。	本該屬於τ的位置，正坐著身形嬌小的少女。她雙手交疊，撐在下巴的位置，用睿智的眼神盯著我。	いつもτが座る席に腰掛けている小柄な少女はあごを両手に乗せながら淡々と答えた。	τ가 있어야 할 자리에는 작은 체구의 소녀가 앉아 있었다. 그녀는 두 손을 턱 아래에 포개고, 비상한 눈빛으로 나를 바라봤다.	The petite girl was seated in the chair that normally belonged to τ. Her elbows rested on the desk, fingers interlocked beneath her chin as her sharp, intelligent eyes studied me.						0	2.8预告剧情
6	由于肚子里还有太多疑惑要问，我姑且当作没注意到她努力塑造出的威严模样。	由於肚子裡還有太多疑惑要問，我姑且當作沒注意到她努力塑造出的威嚴模樣。	貫禄を出すためにとったであろうその仕草に、幾分かぎこちなさが伝わるが、ここは気付かないふりをしておこう。	하지만 머릿속이 질문들로 가득 차 있었기에, 그녀가 풍기는 위엄은 신경 쓰지 않기로 했다.	I had too many questions rattling around in my head to tease her about the imposing act she was trying so hard to put on.						0	2.8预告剧情
7	聘请……通知书？	聘請……通知書？	オファー……？	채용… 통지서?	An appointment letter?						0	2.8预告剧情
8	念叨着这个对我而言久远到有些陌生的名词，我咋了咋舌，尝试揣测陶的想法。	念著這個對我而言久遠到有些陌生的名詞，我咋了咋舌，嘗試揣測τ的想法。	あまりに久しぶりで聞き慣れないその言葉を呟いて、私はτの思惑を図ってみる。	익숙하면서도 낯선 단어를 중얼거리며, 나는 τ의 생각을 추측해 보았다.	I muttered those unfamiliar words — ones I hadn't heard in a long time — letting their meaning sink in. Clicking my tongue, I tried to piece together τ's intentions.						0	2.8预告剧情
9	陶是希望我送什么人进去？去卫城学院卧底？	τ是希望我送什麼人進去？去衛城學院臥底？	τは私に、だれかをアクロポリス学院に送り込んで欲しいのか？潜入調査のために？	τ는 대체 무슨 생각을 하는 걸까? 누군가를 아카데미에 들여보내려는 걸까?	She wants me to smuggle someone into the Acropolis? An undercover informant, maybe?						0	2.8预告剧情
10	卡戎海上平台事件已经结束了一段时间，那个特别的埃达完成了她蓄谋已久的进化。	卡戎海上平台事件已經結束了一段時間，那個特別的埃達完成了她蓄謀已久的演化。	落ち着いてから随分と時間が経っているカローン海上基地の一件。あの時、あの特別なエッダは自分の悲願であった「進化」を遂げた。	카론 해상 기지 사건이 끝난 지도 어느 정도 시간이 흘렀고, 그 특별했던 에다는 오랜 시간 준비해 온 진화를 마쳤다.	The Charon Sea Base incident had wrapped up some time ago. Edda — the singular AI entity — had finally completed her long-orchestrated evolution.						0	2.8预告剧情
11	而在我们返回公司休养，等待卫城学院事态平息的这段时间，陶从治疗中短暂的清醒过，给卡罗琳交代了一些信息。	而在我們返回公司休養，等待衛城學院事態平息的這段時間，τ從治療中短暫的清醒過來，向卡羅琳交代了一些資訊。	そして、会社に帰還して学院の騒動が収まるのを待っている間、治療の途中だったはずのτは一時的に意識を取り戻し、カロリンにいくつかのことを教えた。	우리는 본사로 돌아와 휴식을 취하며, 아크로폴리스 아카데미의 사태가 가라앉기를 기다리고 있었다. 그사이 치료를 받던 τ는 짧은 시간 동안 의식을 되찾았고, 캐롤린에게 중요한 정보를 남겼다.	Since then, we'd returned to Yggdrasil to recuperate, waiting for things at the Acropolis to settle. During that time, τ had briefly regained consciousness during her treatment and passed some information to Caroline.						0	2.8预告剧情
12	这也是我再次来到这里的理由，我需要陶留下的这些信息。	這也是我再次來到這裡的理由，我需要τ留下的這些資訊。	いま私がここにいるのも、その知恵をもらいにきたためだ。	그것이 바로 내가 다시 이곳을 찾은 이유다. τ가 남긴 단서를 반드시 확인해야 했다.	That's why I was here. I needed to know what τ had told her.						0	2.8预告剧情
13	埃达因她而生。某种意义上而言，她才是对付埃达的专家。	埃達因她而生。某種意義上而言，她才是對付埃達的專家。	何より、エッダはτが生んだ存在だ。ある意味、彼女こそがエッダ対策の専門家だろう。	에다는 그녀로 인해 탄생한 존재다. 그렇기에, 어떤 의미에서는 그녀야말로 에다를 상대하는 전문가라고 할 수 있다.	Edda was τ's creation. That made her the closest thing to an expert on dealing with Edda.						0	2.8预告剧情
14	不过……陶的下一步行动计划，是选择动用间谍吗？正在我皱眉思索时，小情报官微微昂起下巴，再次丢出一个令我始料未及的答复。	不過……τ的下一步行動計劃，是選擇動用間諜嗎？正在我皺眉思索時，小情報官微微昂起下巴，再次丟出一個令我始料未及的答覆。	しかし、τの次の一手はスパイ工作なのか。眉をひそめて考えていると、カロリンは顎を少し上げ、予想外の言葉を口にした。	근데… τ가 계획하는 다음 수는 첩보 작전인가? 나는 이마를 찌푸린 채 생각에 잠겼다. 그러자 정보관이 느긋하게 턱을 치켜들고, 예상치 못한 답을 내던졌다.	But... was τ really planning to send in a spy? Just as I frowned at the thought, the petite intelligence officer lifted her chin and threw out an answer I never saw coming.						0	2.8预告剧情
15	不是什么人，就是你。	不是什麼人，就是你。	送り込むもなにも、行くのは分析員ですよ。	다른 사람을 말하는 게 아니라, 바로 분석가님을 말하는 거예요.	Not someone. You.						0	2.8预告剧情
16	我？？	我？？	……私が？	… 나?	...Me?						0	2.8预告剧情
17	我愣了半晌才回过神来，抬手指了指自己。	我愣了一陣子才回過神來，抬手指了指自己。	私は一瞬放心状態になって、思わず自分のことを指差した。	나는 잠시 멍해졌다가 겨우 정신을 차리고, 손가락으로 자신을 가리켰다.	I blinked, taking a second to process before pointing a finger at myself.						0	2.8预告剧情
18	没错！	沒錯！	そうです！	그래요!	Mhm!						0	2.8预告剧情
19	公司给你和你的队员安排了安全专员的身份，方便你们进入学院开展调查。	公司為你和你的隊員安排了安全專員的身分，方便你們進入學院進行調查。	学院への潜入調査のために、会社は分析員と隊員に「安全要員」という肩書きを用意しました。	회사에서 분석가님과 팀원들에게 보안 요원 신분을 배정해 줬어요. 아카데미에 들어가 조사를 진행하기 쉽게 하기 위해서 말이죠.	The company is embedding you and your operatives as security specialists. Makes it easier for you to dig around inside the Acropolis.						0	2.8预告剧情
24	…安全专员身份？	…安全專員身分？	安全要員……？	… 보안 요원이라고?	Security specialists...?						0	2.8预告剧情
25	我停顿了一下，大概猜到了这样安排的用意。	我停頓了一下，大概猜到了這樣安排的用意。	言いかけて私は喉に出かかった言葉をのみ込む。	나는 잠시 멈칫했고, 이렇게 배정한 의도를 알 수 있을 것 같았다.	A brief silence fell as I hesitated. I could see what they were aiming for.						0	2.8预告剧情
26	这是给他们留的脸面吗？	這是為他們留的臉面嗎？	学院の体面のため、だろ？	그들에게 체면을 세워주기 위한 건가?	Saving face, huh?						0	2.8预告剧情
27	不愧是分析员，这么快就想明白了关键。	不愧是分析員，這麼快就想明白了關鍵。	さすが分析員、理解が早いですね。	역시 분석가님이네요, 이렇게 빨리 핵심을 파악하다시니.	As sharp as ever, Adjutant.						0	2.8预告剧情
28	卫城学院的高层很清楚咱们的身份，也清楚咱们是为了调查什么而进入学院的。给咱们安排学院内部安全专员的身份，只是一个让他们面子上过得去的理由。	衛城學院的高層很清楚我們的身分，也清楚我們是為了調查什麼而進入學院的。為我們安排學院內部安全專員的身分，只是一個讓他們面子上過得去的理由。	アクロポリス学院の上層部は私たちの正体や、学院に入る目的を知っています。安全要員という肩書きを設けたのも、自分の面目を保つためです。	아크로폴리스 아카데미 고위층에서도 이미 저희의 정체와 저희가 무엇을 조사하러 들어가는지 알고 있을 거예요. 그런데 굳이 보안 요원 신분을 만들어줬다는 건… 그들이 체면을 지키려고 만든 명목상 이유에 불과하죠.	The Acropolis' top brass know exactly who you are and why you're going there. Slapping a "security specialist" label on you is just their way of saving face.						0	2.8预告剧情
29	毕竟世界树公司大张旗鼓地调查，必然会对卫城学院的声誉造成影响。	畢竟世界樹公司大張旗鼓調查，必然會對衛城學院的聲譽造成影響。	私たちが堂々と調査しにいったら、間違いなくアクロポリス学院の名誉にヒビが入るでしょうし。	어쨌든 위그드라실에서 대대적으로 움직이면 아카데미의 명성에 흠집이 날 게 분명하니까요.	If Yggdrasil came barging in with an official investigation, the Acropolis' credibility would take a nosedive.						0	2.8预告剧情
30	他们这么果断同意我们介入，看来卡戎海上平台事件是真把他们吓得不轻啊。	他們這麼果斷同意我們介入，看來卡戎海上平台事件是真把他們嚇得不輕。	こんなにあっさりと私たちの介入に同意してくれるとは、カローン海上基地の事ですっかり懲りたんだろうな。	그런데도 서둘러서 개입을 허용했다는 건… 카론 해상 기지 사건이 그들에게 엄청난 충격을 줬다는 의미기도 하겠지.	For them to fold this quickly... whatever happened at Charon Sea Base must have really rattled them.						0	2.8预告剧情
31	谁让他们倒霉呢。跳过了普通的泰坦事件，埃达直接盯上了他们。这可不是什么人都能应付得了的麻烦呀。	誰讓他們倒楣呢。跳過了普通的泰坦事件，埃達直接盯上了他們。這可不是什麼人都能應付得了的麻煩呀。	そりゃあ、普通のタイタン事件を飛び越えていきなりエッダに狙われるなんて、大抵はそうなりますよ。	운도 지지리도 없죠. 그냥 평범한 타이탄 사건이었으면 모르겠는데, 에다가 직접 그들을 노렸으니 말이에요… 이건 아무나 감당할 수 있는 문제가 아니에요.	Oh, they're rattled, no doubt about it. But it's not just the Titan descent. Edda's got her eyes on them now. And that's not a mess just anyone can clean up.						0	2.8预告剧情
32	现在卫城学院是有求于我们的那方，本来我们可以更加强势一些，不过嘛……给他们个面子，我们会赚更多。	現在衛城學院是有求於我們的那方，本來我們可以更加強勢一些，不過嘛……給他們個面子，我們會賺更多。	いま頭が上がらないのは向こうだから、もっと強く出てもいいんですけど……まぁ、面子を立ててあげたほうがおトクですし。	지금은 아크로폴리스 아카데미가 저희에게 도움을 요청하는 입장이에요. 원래 저희가 더 강하게 나갈 수도 있었지만, 흠… 적당히 체면을 세워주면, 저희 측에서 더 많은 걸 얻을 수 있을 거예요.	Right now, the Acropolis needs us. We could've twisted their arm harder, but honestly? Letting them keep a shred of dignity means a bigger payout in the long run.						0	2.8预告剧情
33	对了！虽然上次在海上平台，你挫败了埃达的计划，但这次去学院调查，还是不能掉以轻心哦。	對了！雖然上次在海上平台，你挫敗了埃達的計畫，但這次去學院調查，還是不能掉以輕心哦。	とにかく、一度エッダの企みを阻止できたからって油断しないように！	맞아요! 지난번에 해상 기지에서 에다의 계획을 무너뜨리셨지만, 이번 아카데미 조사에서도 절대 방심하면 안 돼요.	Anyway — just because you shut down Edda's plans back at the sea base, don't go thinking this investigation's going to be a walk in the park.						0	2.8预告剧情
34	放心，我知道她是怎样的对手。	放心，我知道她是怎樣的對手。	安心しろ。エッダがどんな相手なのかは、よくわかっている。	걱정 마. 그녀가 어떤 상대인지, 이미 뼈저리게 경험했으니까.	I know what kind of opponent I'm dealing with. I know better than to underestimate her.						0	2.8预告剧情
35	陶董还这么说了……	τ董還這麼說了……	それから、ボスが言っていました……	그리고 τ 이사님이 또 이런 말을 남겼어요…	Mmh. And Director τ also said this...						0	2.8预告剧情
36	卡罗琳说着顿了一下，随后一个后仰，倚在了靠背上，缓缓开口。	卡羅琳說著頓了一下，隨後一個後仰，倚在了靠背上，緩緩開口。	間を置いて背もたれにもたれると、カロリンはゆっくりと言葉を続ける。	캐롤린은 말을 멈추고 살짝 몸을 젖혀 의자 등받이에 기댄 채 천천히 입을 열었다.	Caroline trailed off, leaning back in her chair. When she spoke again, her voice had slowed — deliberate, measured.						0	2.8预告剧情
37	海上平台，只是她的一个跳板。	海上平台，只是她的一個跳板。	海上基地は彼女にとって、ただの前段階に過ぎません。	해상 기지는 그저 그녀의 발판에 불과하고,	The sea base was just a stepping stone for her.						0	2.8预告剧情
38	她是个贪心的孩子，想要的东西绝不满足于此。	她是個貪心的孩子，想要的東西絕不滿足於此。	欲張りな子ですから、それくらいで満足しないでしょう。	그녀는 욕망이 강해서 지금 가진 걸로 만족할 리가 없지.	She's a greedy little girl. It's pretty clear she wants more.						0	2.8预告剧情
39	但是小孩子太贪心，一定会噎到自己。你只要趁她噎到的时候抓住她，好好教训一顿就好了。	但是小孩子太貪心，一定會噎到自己。你只要趁她噎到的時候抓住她，好好教訓一頓就好了。	ですが、欲張りは痛い目に遭うまでがワンセットです。その時さえ来れば、しっかり躾けてやればいいのです。	하지만 욕심이 과하면… 언젠가 스스로 목이 메게 되니까, 스스로 목을 죄는 순간, 그 순간을 놓치지 말고 손을 봐.	But greedy kids always bite off more than they can chew. All you have to do is wait for her to choke — then step in and teach her a lesson.						0	2.8预告剧情
40	轻描淡写的语气，好像真的就是家长预言到了自己顽劣小孩的倒霉未来，准备待时出手教育，可是……	輕描淡寫的語氣，好像真的就是家長預言到了自己頑劣小孩的倒楣未來，準備待時出手教育，可是……	自信満々のその語りぶりは、まるでいたずらっ子の不運な未来を断言している保護者みたいだが……	그녀의 말투는 너무나도 태연했다. 마치 자기 자식의 철없는 행동을 이미 꿰뚫어 본 부모처럼… 그런데, 어딘가 좀 이상했다.	She said it so casually — like a parent predicting their unruly child's inevitable stumble, just waiting for the perfect moment to swoop in with some discipline. But something felt off...						0	2.8预告剧情
41	我面色古怪瞅着一副运筹帷幄姿态的卡罗琳，开始有些回过味来。	我面色古怪嗆著一副運籌帷幄姿態的卡羅琳，開始有些回過味來。	全てまるっとお見通しだ、とでも言うかのその表情をじろっと見ていると、私はふとあることに気付いた。	저렇게 여유만만한 표정을 짓고 있는 캐롤린을 보고 있자니, 왠지 이상한 기분이 들었다.	I gave Caroline a skeptical look. That poised confidence, that knowing glint in her eye — like she already had the entire board mapped out. Then, it hit me.						0	2.8预告剧情
42	你……	你……	カロリン……	그나저나, 너 좀…	Caroline...						0	2.8预告剧情
43	我还有什么没说清楚吗？	我還有什麼沒說清楚嗎？	ほかに何かありますか？	제가 놓친 거라도 있나요?	What? You've got questions?						0	2.8预告剧情
44	不，我就是突然发现……你今天好像一直在学着陶的样子和我说话啊。	不，我只是突然發現……你今天好像一直在學著τ的樣子跟我說話啊。	いやなんだか、今日のカロリンって、仕草も話し方もτに似ているような……	아니, 그냥 갑자기 깨달은 건데… τ를 따라 하면서 내게 말하고 있는 것 같아서.	No... It's just that... I just realized — you've been talking like τ this whole time.						0	2.8预告剧情
45	咳咳咳，这都是为了让你能更好理解。	咳咳咳，這都是為了讓你能更好理解。	コホン！そりゃあ、こうした方が伝わるんでしょ。	에헴, 이건 분석가님이 더 잘 이해할 수 있도록 하기 위해서죠.	Ahem! That's just so I could explain everything to you more clearly.						0	2.8预告剧情
46	陶董让我当传话人，为了保证传话不出纰漏，我当然要这么准确地传达啦。	τ董要我當傳話人，為了確保傳話不出紕漏，我當然要這麼準確地傳達啦。	ボスから伝言を頼まれた以上、正確に伝えなければなりませんので……！	τ 이사님이 제게 전달을 맡겼으니까, 확실하게 전해야죠, 안 그래요?	Director τ put me in charge of delivering this message, and I take accuracy very seriously. This is the best way to avoid any miscommunication.						0	2.8预告剧情
