字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	
1		2	芙提雅			原来如此，莫尔索的意识在记忆中留下了痕迹，而这些痕迹的数量不断增加，掩盖了她真正的行踪……	0
2		0				芙提雅手上抓着平板终端，不停地写写画画，脸上难得露出了如临大敌的表情。	0
b-1	b-1	0					0
3	b-1-1	0				有改进锚定装置的方法吗？	0
4		3	猫汐尔			就现阶段而言，很困难喵。	0
b-2	b-2	0					0
5	b-2-1	0				我有一个想法。	0
6		0				我伸出右手食指，轻轻敲了敲自己的太阳穴。	0
7		0	分析员			锚定装置不变，对我的大脑动一点手脚。	0
8		2	芙提雅			分析员，你……想做什么？	0
9		0	分析员			把我检查过的记忆隔开，或者说暂时剥离出去。	0
10		2	芙提雅			！！	0
11		0	分析员			如果说我们是在大海捞针，那就把水放干，让那根“针”无处可逃。	0
12		6	瑟瑞斯			不，不行。	0
13		0				果然，瑟瑞斯的拒绝十分坚决。她是脑科学学者，我已经预料到她不会同意这个计划。	0
14		6	瑟瑞斯			分析员，记忆并不像黄油那样，可以随意切开又组合回去。	0
15		6	瑟瑞斯			更何况，目前使用锚定装置已经给你带来足够多的负担了，而对记忆本身施加影响还会成倍地放大这种负担。	0
16		6	瑟瑞斯			哪怕是理论研究中，我们也不会假定有人能承受住这种压力。	0
17		0	分析员			即使是我吗？	0
18		6	瑟瑞斯			分析员……	0
19		0	分析员			我没有在责备你，瑟瑞斯。	0
20		0	分析员			我被植入过神格神经，由此被埃达缠身；我在耶洛沙吸收过泰坦物质，那种感觉像是在喝汽油；最后我吸收了莫尔索，一个活生生的人——	0
21		0	分析员			我的大脑已经千疮百孔，却也比之前任何时候都要强大。	0
22		0	分析员			所以，我想试试。	0
23		0	分析员			如果能成功的话，在未来，我们也能多一个最终手段。	0
24		6	瑟瑞斯			……	0
25		0				许久的沉默过后，瑟瑞斯抬起头看向我，同时缓缓竖起一根手指。	0
b-3	b-3	0					0
26	b-3-1	0				要我答应一件事吗？	0
