字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	你……准备好了吗？	你……準備好了嗎？	……準備はいいか？	너… 준비됐어?	Are you... ready?						0	
2	说实话，我自己对这一切也没什么把握。所以如果你……	說實話，我自己對這一切也沒什麼把握。所以如果你……	正直、私にもあまり自信がないんだ。だからもし……	솔직히 말해서 나도 확신이 없어. 그래서 만약에 네가…	To be honest, I'm not even really confident about all of this. So if you...						0	
3	分析员。	分析員。	分析員さん。	분석가님.	Adjutant.						0	
4	嗯？	嗯？	うん？	응?	Yeah?						0	
5	优柔寡断不适合您，更不适合眼下的局势。	優柔寡斷不適合您，更不適合眼下的情況。	優柔不断はあなたに似合いません。特に今はそうです。	우유부단한 건 당신과 안 맞아요, 지금 상황이랑은 더 안 맞고요.	Being indecisive doesn't suit you. That's even more true right now.						0	
6	请不用担心我，按照您的计划来做吧。	請不用擔心我，按照您的計劃來做吧。	心配しないでください。どうか、あなたの計画通りに進めてください。	제 걱정은 하지 마시고 계획한 대로 해줘요.	Please don't worry about me. Just keep following your plan.						0	
7	哈呃——呜！	哈呃——嗚！	ああ……っ！	하앗… 으윽!	Ah... Ugh—!						0	
8	我的手扼住了她的左腕，从拇指之间上渗出的泰坦物质透过她白皙细嫩的皮肤，像一把又薄又锋利的刀片一样，刻印在了她的身体里。	我的手扼住了她的左腕，從拇指之間上滲出的泰坦物質透過她白皙細嫩的皮膚，像一把又薄又鋒利的刀片一樣，刻印在了她的身體裡。	私は彼女の左腕を掴んだ。親指から滲み出たタイタン物質は、彼女の白い肌に切り込む鋭い刃のように、彼女の体に流れ込んだ。	내 손이 그녀의 왼쪽 손목을 조이자, 엄지손가락 사이로 새어 나온 타이탄 물질이 그녀의 하얗고 보드라운 피부를 뚫고 들어가, 얇고 날카로운 칼날처럼 그녀의 몸에 파고들었다.	I grabbed her left wrist. The Titagen flowing from my thumb penetrated her soft, fair skin like a sharp blade, engraving it into her veins.						0	
9	这还真是……比想象中……要更痛一些呢！	這還真是……比想像中……要更痛一點呢！	思っていたよりも……少々……痛いですね。	이거… 생각보다… 많이 아픈데요?	This is... more painful than... I thought it would be!						0	
10	……你感觉怎么样？如果受不了的话我们就立刻停下来！	……你感覺怎麼樣？如果受不了的話我們立刻停下來！	……どうだ？つらかったら、今すぐ止めてもいいんだぞ。	… 느낌은 어때? 만약 견딜 수 없을 것 같으면, 바로 멈추자!	...How do you feel? If you can't take it, we should stop right away!						0	
11	不。	不。	大丈夫です。	괜찮아요.	No.						0	
12	她翻过手腕，用自己的手掌抓着我，把我向她的方向拉近了半分。	她翻過手腕，用自己的手掌抓著我，把我往她的方向拉近了半分。	彼女は私の腕を掴むと、私を彼女のほうへ引き寄せた。	그녀는 손목을 뒤집어 나를 꼭 붙잡고, 나를 조금 더 가까이 끌어당겼다.	She flipped her wrist, opened her palm, and grabbed me, pulling me even closer to her.						0	
