字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
girl011	安卡希雅	安卡希雅	アカシア	아카시아	Acacia						0	
girl011_full	安卡希雅	安卡希雅	アカシア	아카시아	Acacia						0	
girl011_title	[不予显示]	[不予顯示]	[非表示]	[리댁티드]	[Redacted]						0	
girl011_des	来历不明的冬眠苏醒者，除了冬眠了30年以外，一切资料信息均未得到本人承认。\n从极强的单兵战斗力和一些行为习惯看，前特种兵身份应该也是真的。\n曾经的她留恋着“旧时代”，如今分析员的爱意引领她走出往昔，携手迈向属于两人的未来。	來歷不明的冬眠甦醒者，除了冬眠了30年以外，一切關於她的資料均未得到本人承認。\n從極強的單兵戰鬥力和一些行為模式來看，前特種兵身分應該也是真的。\n曾經的她留戀著“舊時代”，如今分析員的愛意引領她走出往昔，攜手邁向屬於兩人的未來。	30年間の冬眠から目覚めた神秘的な人物。冬眠期間以外、すべての個人情報は本人が認めていない。\n極めて高い作戦遂行能力と独特の習慣から、元特殊部隊員であることはほぼ確実視されている。\nかつては「旧時代」への未練を強く抱いていたが、今は分析員の想いに導かれ、二人の未来へと歩み始めている。	정체불명의 동면 소생자로 30년간 동면한 것을 제외하고는 그녀에 대한 어떠한 정보도 알 수 없다.\n막강한 전력과 일부 행동 습관으로 미루어 보면 이전 특전사 신분은 확실한 듯하다.\n한때 그녀는 '구시대'에 미련이 있었지만, 이제 분석가의 사랑이 그녀를 과거에서 끌어내 둘만의 미래로 나아가게 된다.	Awakened after a 30-year-long cryosleep, she has an unknown past. Aside from the cryosleep itself, the individual has not validated any other information.\nJudging by her exceptional individual combat capabilities and behavioral patterns, it is probable that she is ex-special forces.\nOnce, she clung to the old era. Now, the Adjutant's love guides her out of the past and, toward a future that belongs to them only, hand in hand.						0	
girl011_suits	安卡希雅	安卡希雅	アカシア	아카시아	Acacia						0	
girl012	安卡希雅	安卡希雅	アカシア	아카시아	Acacia						0	
girl012_full	安卡希雅	安卡希雅	アカシア	아카시아	Acacia						0	
girl012_title	辉夜	輝夜	輝夜	카구야	Kaguya						0	
girl012_des	来自沉睡之前世界的数据，勾起不属于这个世界的记忆，拒绝或许是不错的选择。	來自沉睡之前的世界的數據，勾起不屬於這個世界的記憶，拒絕或許是不錯的選擇。	「眠る前の世界のデータは、この世界に属さない記憶を呼び起こしてしまう。断ち切ってしまう方がいいだろう。」	잠들기 전의 데이터를 끌어와 현재 세계하고 동떨어진 기억을 상기시킨다. 착용하지 않는 게 더 나은 선택일 수도 있다.	Data from the world before I went to sleep. It will only evoke memories that don't belong to this world. I might as well just refuse it.						0	
girl012_suits	安卡希雅-辉夜	安卡希雅-輝夜	アカシア-輝夜	아카시아-카구야	Acacia - Kaguya						0	
girl013	安卡希雅	安卡希雅	アカシア	아카시아	Acacia						0	3.5安卡新换装
girl013_full	安卡希雅	安卡希雅	アカシア	아카시아	Acacia						0	3.5安卡新换装
girl013_title	时之重奏	時之重奏	時のアンサンブル	크로노 에코	Chrono Echo						0	3.5安卡新换装
