字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
page1.1	哟，你来了。	喲，你來了。	ようやく来た。	어~ 왔어?	Hey, you finally made it.						0	
page1.2	从我联系你，到你过来花了12分钟。	從我聯絡你，到你過來花了12分鐘。	12分もかかったね。	연락하고 오는 데까지 벌써 12분이나 걸렸어.	From when I contacted you to your arrival, it took 12 minutes.						0	
page1.3	已经很快了吧？	已經很快了吧？	十分早いだろ？	이 정도면 빠르지 않아?	That was pretty fast, wasn't it?						0	
page1.4	现在是测试的重要时期，12分钟也很奢侈了。	現在是測試的重要時期，12分鐘也很奢侈了。	今は大事な時期なんだよ。12分でも惜しいんだ。	지금은 특히나 중요한 테스트 시기라 12분도 이미 엄청난 사치라고.	During crucial testing phases, even 12 minutes is a serious waste of time.						0	
page1.5	所以你要扣我工资？不对，本来就没工资。	所以你要扣我薪水？不對，本來就沒工資。	だったら、私の給料を減らすか？いや、そもそも給料なんてないか。	그래서 내 월급을 깎겠다는 거야? 안그래도 없는 월급을?	So, are you going to dock my pay? Oh wait, I don't actually get paid.						0	
page1.6	我想说，你要不要搬来和我住？这样省时间。	我想說，你要不要搬來跟我住？這樣省時間。	いっそのこと、私のところに引っ越して来たら？時間を節約できるよ？	그냥 나랑 같이 살래? 그렇게 하면 시간을 절약할 수 있잖아.	I mean, why don't you move in with me? It'd save time.						0	
page1.7	嗯？	嗯？	え？	뭐?	Huh?						0	
page1.8	不行吗？	不行嗎？	ダメ？	안 돼?	You don't want that?						0	
page1.9	还是放过我吧。	還是放過我吧。	それはさすがに勘弁してくれ。	나 좀 놓아줘.	Cut me some slack, please...						0	
page1.10	怎么说？	怎麼說？	どうして？	무슨 말이야?	What do you mean?						0	
page1.11	你应该是想让我半夜都帮你测试游戏吧？	你應該是想讓我半夜都幫你測試遊戲吧？	深夜までゲームのテストに付き合わせる気だろ？	또 한밤중에 게임을 테스트할 수 있도록 도와달라는 거잖아.	You just want me to help with the testing all night, don't you?						0	
page1.12	啧，被看穿了。	嘖，被看穿了。	あちゃ～、バレたか。	쯧쯧, 들켰네.	Uh, you saw through me.						0	
page1.13	我可不像你可以不睡觉，“分析员”这个工作可是很忙的。	我可不像你可以不睡覺，「分析員」這份工作可是很忙的。	「分析員」って仕事は忙しいんだよ。寝なくともいい君とは違う。	나는 당신이 잠을 안 잘 수 있는 것처럼 '분석가'라는 일은 매우 바빠.	Unlike you, I need sleep. Being the Adjutant is a full-time gig.						0	
page1.14	行吧，又浪费了几分钟，赶紧开始测试吧。	行吧，又浪費了幾分鐘，趕快開始測試吧。	はいはい、分かったよ。時間が惜しいから、早くテストを始めよう。	그러자 몇분 더 걸린 것뿐이야, 얼른 테스트 시작하자.	Fine, a few more minutes down the drain. Let's get started now.						0	
page1.15	开始吧。	開始吧。	ああ。	그래.	Okay.						0	
