字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	开始下雪了。通讯也受到干扰——这都是泰坦物质污染的影响。	開始下雪了。通訊也受到干擾——這都是泰坦物質汙染的影響。	雪が降り始めると、通信も不安定になった――これもすべてタイタン汚染の影響だ。	눈이 내리기 시작하고, 통신도 교란을 받았다. 타이탄 물질 오염의 영향이었다.	Snow had begun to fall, and comms were glitching — both effects of Titagen contamination.						0	3.2版本新序章
2	“树”的周围总是出现这样的情形。它仍是远在天边。银装素裹，身着绮幻。像朔州传说中的蓬莱仙境，似是碧玉乐土的终点。	「樹」的周圍總是出現這樣的情形。它仍是遠在天邊。一片銀白，身著綺幻。像朔州傳說中的蓬萊仙境，又像是碧玉樂土的終點。	この状況は、「デンドロン」の周辺ではよく起きる現象だ。しかし「デンドロン」自体は空の向こうにおり、銀色をまとって佇んでいる。その光景はまるで朔州伝説に出てくる、楽園の終着点である蓬莱仙境のようだった。	 '나무' 주변은 늘 이런 모습이다. 그것은 아직도 저 멀리서, 흰 눈으로 뒤덮인 환상적인 모습이었다. 삭주 전설 속 아름다운 절경처럼, 마치 낙원의 종착지 같았다.	It was always like this near a Tree. Still distant, it stood cloaked in white, gleaming like some snowy dream. Like a vision from Shuozhou's old tales — a paradise, or the final stop on the road to a shining emerald utopia.						0	3.2版本新序章
3	跳下驾驶室，脚下是松软的泥土和嫩绿的草。	跳下駕駛室，腳下是鬆軟的泥土和嫩綠的草。	運転席から車を降りると、足元に柔らかい大地と青々とした芝生が広がっていた。	운전석에서 내려오니, 발밑은 푹신한 흙과 연둣빛 풀이었다.	I jumped down from the cockpit. The ground was soft underfoot, blanketed in fresh, green grass.						0	3.2版本新序章
4	咦……达令！你看！	咦……達令！你看！	あ……ダーリン、見て！	어라… 달링! 이것 좀 봐!	Whoa... Darling, look!						0	3.2版本新序章
5	芬妮把手伸到我面前——雪花落在她的手背上，融化成点点水痕。	芬妮把手伸到我面前——雪花落在她的手背上，融化成點點水痕。	ファニーが私に手を差し出すと、彼女の手に落ちた雪が溶けて水になった。	페니가 내 앞으로 손을 내밀었다. 눈송이가 그녀의 손등에 떨어져 물방울로 녹아내렸다.	Fenny held out her hand — snowflakes drifting onto her skin, melting into clear droplets.						0	3.2版本新序章
6	这是自然降雪，而不是泰坦物质污染催生的雪。	這是自然降雪，而不是泰坦物質汙染催生的雪。	どうやら、この雪はタイタン汚染による「キオーン」が実体化したものではなく、ごく普通の雪のようだ。	이건 자연적인 강설이지, 타이탄 물질 오염이 만든 눈이 아니었다.	This was real snow. Not the false kind born of Titagen contamination.						0	3.2版本新序章
7	……	……	……	…	...						0	3.2版本新序章
8	弯下腰，在小溪里捧起水。	彎下腰，在小溪裡捧起水。	私は腰を下ろし、小川の水に触れた。	나는 몸을 숙여 손으로 시냇물을 떠 올렸다.	I knelt beside a brook and dipped my hands into the water.						0	3.2版本新序章
9	已经凉到有些割手了。	已經冰到有些割手了。	その水は凍てつくほど冷たかった。	손이 얼얼할 정도로 차가웠다.	It was cold — sharp enough to sting.						0	3.2版本新序章
10	（反常的降温。）	（反常的降溫。）	（異常な冷たさだ。）	(비정상적인 기온 저하.)	(The temperature's dropping abnormally fast.)						0	3.2版本新序章
11	生命在凋零。用不了多久，青草会枯死，土地也会像石头一样硬，甚至连溪流都要冻起来。	生命在凋零。過不了多久，青草會枯死，土地也會像石頭一樣硬，甚至連溪流都會冰凍起來。	生物も温度が下がる影響を受けていた。もう少しすれば、草木は凍結し、地面も小川も凍ってしまうだろう。	생명이 시들어가고 있다. 머지않아 푸른 풀은 말라 죽고, 땅은 돌처럼 딱딱해지며, 시냇물마저 얼어붙을 것이다.	Life was ebbing. In no time, the grass would wither, the earth would freeze solid, and the creek might ice over.						0	3.2版本新序章
12	载具的效率也在降低。等温度降到零下之后，等积雪漫过膝盖，甚至没过腰之后，它们恐怕也走不了多远了。	載具的效率也在降低。等溫度降到零下之後，等積雪漫過膝蓋，甚至沒過腰之後，它們恐怕也走不了多遠了。	車の速度も徐々に遅くなった。温度が0度以下になれば、雪が積もり、車での移動は困難になるだろう。	차량의 효율도 떨어지고 있다. 기온이 영하로 떨어지고, 무릎을 넘어 허리까지 눈이 쌓이면, 아마 얼마 가지 못할 것이다.	Our transports were already struggling. Once the temperature dropped below zero, or the snow piled past our knees — or higher — they wouldn't get us much farther.						0	3.2版本新序章
13	抬起头，再次看向远处的“树”。树冠正簇着一团深色的云，一路蔓延向我们所在的位置。	抬起頭，再次看向遠處的「樹」。樹冠正簇著一團深色的雲，一路蔓延向我們所在的位置。	私はもう一度遠くにある「デンドロン」を眺めた。その頂きに黒い雲が広がり、徐々に私たちがいる方へと伸びてきた。	고개를 들어 저 멀리 있는 '나무'를 다시 바라봤다. 나무 꼭대기에는 짙은 먹구름이 모여들어, 우리가 있는 곳까지 뻗어 있었다.	I looked up again, eyes drawn to the Tree in the distance. A mass of dark clouds loomed over its crown, spilling outward, drifting toward us.						0	3.2版本新序章
14	（……）	（……）	（……）	(……)	(...)						0	3.2版本新序章
15	一闪而过的错觉——	一閃而過的錯覺——	脳裏にある考えがよぎった。	어떤 착각이 스쳐 지나갔다…	For a moment, I felt it.						0	3.2版本新序章
16	那棵“树”正在注视、敌视着我，恐惧、拒绝着我。	那棵「樹」正在注視、敵視著我，恐懼、拒絕著我。	「デンドロン」は私を注視し、同時に私を恐れ、拒んでいる。	그 '나무'가 나를 노려보며 적대시하고, 두려워하며 거절하고 있다고.	The Tree was watching me. Resenting me. Fearing me. And resisting me.						0	3.2版本新序章
