字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	分析员儿！我真的抓到一个鬼鬼祟祟的家伙！他在角落偷偷安装奇怪的装置，本来想问问他在干什么，结果这家伙撒腿就跑。	分析員！我真的抓到一個鬼鬼祟祟的傢伙！他在角落偷偷安裝奇怪的裝置，本來想問問他在幹什麼，結果這傢伙拔腿就跑。	分析員！怪しいやつを捕まえたよ！隅っこでなんか変な装置を弄ってるとこ見つけて、何してるのって聞こうとしたら逃げ出したんだ！	분석가! 조금 수상해 보이는 녀석을 잡아왔어! 구석에서 이상한 장치를 설치하고 있어서 뭘 하고 있냐고 물어보려 했는데 냅다 도망을 치더라고.	Adjutant! I caught a super shifty guy! He was stashing a weird device in a corner. I was gonna ask him what he was doing, but he took off.						0	
2	我看不对劲，就把人给你抓来了。	我看不對勁，就幫你把人抓來了。	こいつ絶対怪しい！と思って、捕まえてきた！	낌새가 이상해서 바로 생포해 왔어.	It seemed fishy, so I caught him for ya.						0	
b-1											0	
3	看他的穿着，是泰古通达的人？	看他的穿著，是泰古通達的人？	その格好、タグの者か？	복장을 보니 타이구 사람 같은데?	Judging by his clothes, it looks like he works for Taigu-Connect.						0	
4	我们的人？唔，让我看看……	我們的人？唔，讓我看看……	うちの人間？うーん、どれどれ……	저희 사람이라고요? 흠… 어디 보자…	One of ours? Hmm, let me see...						0	
5	不对劲。他穿的虽然是泰古通达的制服，但面具下的脸我一点印象都没有……别误会，我可不是脸盲！这家伙根本就不是我们的人。	不對勁。他穿的雖然是泰古通達的制服，但面具下的臉我一點印象都沒有……別誤會，我可不是臉盲！這傢伙根本就不是我們的人。	違うね。確かにタグの制服を着ているけど、マスクの下の顔に見覚えがないな……いや、あたし記憶障害とかじゃないからね！こいつはうちの人間じゃない。	이상하네요. 복장은 타이구 제복이 맞는데, 얼굴을 초면이에요… 확실히 저희 쪽 사람은 아니에요.	Something's off. He's wearing a Taigu-Connect uniform, but I've never seen his face before... Don't get me wrong — I don't have face blindness or anything! He just isn't one of our guys.						0	
b-2											0	
6	假冒的？	假冒的？	偽物？	그럼 가짜란 말인가요?	Is he a phony?						0	
b-3											0	
7	你们公司的服装是哪里都能搞得到的吗？	你們公司的服裝很容易搞到嗎？	タグの制服は簡単に手に入るものなのか？	타이구 제복은 구하기가 쉬운 편인가요?	Is your company uniform available anywhere?						0	
8	想搞还是有办法的，但即使混进来也很快会被发现。如果只想小偷小摸，完全没必要这么麻烦。	想搞還是有辦法的，但即使混進來也很快會被發現。如果只想順手牽羊，完全不需要如此大費周章。	その気になればなんとかね。でも偽物だってすぐバレるでしょ。ちょっとした盗みを働くだけなら、こんな手間をかける必要ないね。	구하려면 방법은 있겠죠. 그렇다고 해도 금방 들킬 거예요. 설사 물건을 훔칠 생각이라고 해도 이렇게까지 번거롭게 할 필요는 없을 거고요.	It's possible, but even if someone snuck in, they would be found out pretty quickly. Why go through all the trouble if he just wanted to steal something?						0	
