字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	分析员！小心！	分析員！小心！	分析員さん！危ない！	분석가님! 조심하세요!	Adjutant! Be careful!						0	
2	子弹呼啸着从分析员肩膀擦过——千钧一发之际，体能，精神全部调整在最佳状态的龙舌兰迅速反应过来，帮助分析员躲过一记射向他胸口的冷枪。	子彈呼嘯著從分析員肩膀擦過——千鈞一髮之際，體能，精神全部調整在最佳狀態的龍舌蘭迅速反應過來，幫助分析員躲過一記射向他胸口的冷槍。	弾丸が分析員の肩を掠めた。心身ともに万全な状態にあるアガベのおかげで、分析員は心臓を狙った凶弾から逃れることができた。	총알이 분석가의 어깨를 스치며 지나갔다… 위기의 순간, 최고의 상태로 신체와 정신을 모두 조절한 아가베는 재빨리 반응하여 분석가가 가슴을 향한 총격을 피하는 데 도움을 주었다.	A bullet flew past the Adjutant's shoulder — in peak physical and mental condition, Agave had reacted just in the nick of time to help the Adjutant avoid a shot right to his chest.						0	
3	分析员，您没事吧？	分析員，您沒事吧？	分析員さん……大丈夫ですか？	분석가님, 괜찮으세요?	Adjutant, are you okay?						0	
4	嗯。又被你救了呢，龙舌兰果然很可靠。	嗯。又被你救了呢，龍舌蘭果然很可靠。	ああ。また君に助けられたな。やはり、アガベは頼りになるな。	응. 또 구해줬네, 아가베는 역시 믿음직스러워.	Yeah. You saved me again, Agave. You're so reliable.						0	
5	要是我可以再可靠一点，根本不会让分析员陷入这种困境。	要是我可以再可靠一點，根本不會讓分析員陷入這種困境。	私がもっとしっかりしていれば、分析員さんはこんな目に遭うはずがないのに……	제가 좀 더 믿음직스러웠다면, 애초에 분석가님을 이런 위험에 빠뜨리지 않았을 텐데요.	If I really was that reliable, you wouldn't be in this mess in the first place, Adjutant.						0	
6	这可不能叫困境，是我们主动设下的陷阱。	這可不能叫困境，是我們主動設下的陷阱。	こんな目に遭った、ってわけじゃない。私達が相手を罠にハメるために、あえてリスクを冒しているだけだ。	이건 위험이라 부를 수 없지, 우리가 직접 놓은 덫이니깐.	This isn't a mess. It's a trap we set ourselves.						0	
7	如果没有你在身边，我可做不成这样的事情。	如果沒有你在身邊，我可做不成這樣的事。	君がいなければ、この作戦はそもそも成立しないよ。	네가 내 곁에 없었더라면, 나는 이런 일을 해낼 수 없었을 거야.	If you weren't here with me, there's no way I could do this.						0	
8	分析员……	分析員……	分析員さん……	분석가님……	Adjutant...						0	
9	敌人聚集的差不多，不能再等下去了。我要开始了，记得我们下午说过的话……	敵人聚集的差不多，不能再等下去了。我要開始了，記得我們下午說過的話……	敵が集まってきたな。これ以上は待てない。これから作戦を実行する。君に言ったことは覚えているよな？	타깃들이 거의 모였어, 더는 기다릴 수 없어. 시작할게, 우리가 오후에 했던 말을 기억해…	Our enemies are pretty much gathered. We can't wait any longer, I'm going to begin the final phase. Remember what we said this afternoon...						0	
10	相信我！	相信我！	私を信じるんだ！	나를 믿어줘!	Trust me!						0	
