字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	喂，分析员，这个人偶有点古怪，它的肚子里面好像有什么东西——	喂，分析員，這個人偶有點古怪，它的肚子裡面好像有什麼東西——	おい分析員！この人形、なんか怪しいぞ。中になんか入って——	저기, 분석가, 이 인형은 어딘가 좀 이상한 것 같아. 뱃속에 뭐가 있는 것 같달까…	Hey, Adjutant. There's something weird about this android. It looks like there's something in its stomac—						0	
2	之后再处理。	之後再處理。	それはまた後だ。	나중에 처리하자.	Let's handle it later.						0	
3	顾不得身后少女的呢喃，透过浓浓的夜雾，我正死盯着前方那些不停楼间穿梭身影，它们随时都有可能对我们发起袭击。	顧不得身後少女的呢喃，透過濃濃的夜霧，我正死盯著前方那些不停樓間穿梭身影，它們隨時都有可能對我們發動襲擊。	背後の少女の呟きに構っている余裕はなかった。濃密な夜霧を通して、建物の間を飛び交う影を睨んでいたからだ。そいつらは、いつこちらに襲い掛かって来ても不思議じゃなかった。	뒤에서 얘기하는 소녀의 말을 무시한 채, 짙은 밤 안개 속에서 쉴 새 없이 건물 사이를 오가는 모습을 지켜보고 있었다.	As Meursault murmured behind me, I stared up ahead through the thick nighttime fog at the shadowy figures moving between buildings. They could attack us at any time.						0	
4	莫尔索？	莫爾索？	ムルソー？	모르소?	Meursault?						0	
5	……	……	……	…	...						0	
6	浓雾中回应我的只有沉默，不祥的预感爬上心头。	濃霧中回應我的只有沉默，不祥的預感爬上心頭。	霧の中に残るのは沈黙のみ。嫌な予感がしてきた。	짙은 안개 속에서 내게 응답하는 것은 침묵뿐이었고, 순간 불길한 예감이 느껴졌다.	My question was only met with silence amidst the thick fog. An ominous feeling began to claw its way into my heart.						0	
b-1											0	
7	屏住呼吸，将枪口转向身后。	屏住呼吸，將槍口轉向身後。	私は息を吞んで、銃口を思いっきり背後に向けた。	숨을 죽이고 총구를 뒤로 돌렸다.	Hold your breath and aim your gun behind you						0	
8	哎呀，被你发现了啊。	哎呀，被你發現了啊。	おっと、バレてしまったね。	어이쿠야, 들켜버렸네요.	Aw, you caught me.						0	
9	子弹擦过萨特那骨灰般苍白的脸颊，刻入墙中。躲过一劫的男人立马退到了晕倒在地的莫尔索身旁，将那根原本刺向我的光枪，抵在了她的脖子上。	子彈擦過薩特那骨灰般蒼白的臉頰，刻入牆中。躲過一劫的男人立刻退到了暈倒在地的莫爾索身旁，將那根原本刺向我的光槍，抵在了她的脖子上。	弾丸はサルトルの青白い頬を掠り、後ろの壁に命中した。致命傷を免れた彼は素早く気絶しているムルソーの横まで後退すると、私を刺そうとした光る槍を彼女の首に突きつけた。	총알은 유골처럼 창백한 사르트르의 뺨을 스치고 벽에 박혔다. 총알을 피한 사르트르는 기절해 있는 모르소 옆으로 물러서더니 내게 겨눴던 광선총을 그녀의 목에 겨눈다.	My bullet grazed Sartre's ashen-white cheek and lodged itself in the wall. After avoiding this fatal shot, he immediately drew back to Meursault, who was lying unconscious on the ground. He then shifted the sight on his raygun from me to Meursault's neck.						0	
10	别冲动分析员，动动脑子，你的子弹总不能快过我的光枪吧。	別衝動分析員，動動腦子，你的子彈總不能快過我的光槍吧。	落ち着きなよ、分析員。君の銃と僕の槍、どっちの方が速いか、考えるまでもないだろ。	너무 그렇게 충동적으로 굴지 말고 머리를 쓰세요. 당신의 총알은 제 광선총을 능가할 수 없을텐데요.	Don't do anything rash, Adjutant. Use your head. Your bullets aren't faster than my raygun.						0	
11	你的身体也硬不过子弹吧。	你的身體也硬不過子彈吧。	君の体だって、弾丸には敵わないはずだ。	네 몸이 총알보다 강하지는 않잖아?	Your body can't win against a bullet though.						0	
12	我一面转移着他的注意力，一面观察着正处于晕厥状态的莫尔索。	我一面轉移著他的注意力，一面觀察著正處於暈厥狀態的莫爾索。	彼の注意力を言葉で逸らしつつ、気絶しているムルソーの様子に目を配った。	나는 그의 주의를 딴 데로 돌리면서 실신 중인 모르소를 살폈다.	I observed Meursault while I attempted to distract him — she was unconscious.						0	
13	万幸，没有外伤，而且看上去呼吸还算平稳。	萬幸，沒有外傷，而且看起來呼吸還算平穩。	幸い、外傷は見当たらない。呼吸も安定しているようだ。	다행히 외상은 없는 데다 호흡이 안정돼 보였다.	Thankfully, she didn't have any injuries, and her breathing seemed stable.						0	
14	那么也就可能只是……	那麼也就可能只是……	なら、たぶん……	아직은 별달리 문제는 없어 보이는데…	Then maybe she was just...						0	
15	唔……	唔…	うっ……	윽…	Ah...						0	
16	一声小小的呻吟，既验证了我的猜想，又给了我打破僵局的机会。	一聲小小的呻吟，既驗證了我的猜想，又給了我打破僵局的機會。	その小さなうめき声が私の推測の裏付けになったと同時に、状況を打開するチャンスともなってくれた。	작은 신음소리가 내 추측을 검증하는 동시에 난국을 타파할 기회를 주었다.	That soft groan not only confirmed my suspicion, but also gave me a chance to end our standoff.						0	
17	——！	——！	……！	…!	—!						0	
18	一边是女孩无意识的翻身动作，一边是射向自己胸膛子弹，在要优先处理哪个麻烦的选择题上，萨特毫不犹豫地选择了后者。	一邊是女孩無意識的翻身動作，一邊是射向自己胸膛子彈，在要優先處理哪個麻煩的選擇題上，薩特毫不猶豫地選擇了後者。	無意識に寝返りを打つ少女と、自分の胸を目掛けて飛んでくる銃弾。二者択一を迫られた瞬間、サルトルは躊躇なく後者を選択した。	여자아이가 무의식적으로 몸을 뒤척이는 동작과, 자신의 가슴을 향해 발사되는 총알 중 어떤 선택지를 우선적으로 다룰 것인가 하는 질문에 사르트르는 망설임 없이 후자를 택했다.	Faced with the unconscious girl turning over and a bullet being fired into his chest, Sartre didn't hesitate in his decision to deal with the latter first.						0	
19	于是，趁着他侧身躲避的空当——	於是，趁著他側身躲避的空檔——	そして、彼が避けた隙に、私は——	그가 몸을 옆으로 회피하는 틈을 타서…	As he dodged out of the way, I seized my opportunity.						0	
b-2											0	
20	冲向琴诺	衝向琴諾	チェルノに駆け寄る	체르노로 향해 달려간다.	Run toward Cherno						0	
21	我一把握住了她的手腕并将其拽至了自己身后，而刚刚上线的琴诺的人格也在瞬间理解了当下的状况，在摸起自己枪的瞬间，拉动了枪栓。	我一把握住了她的手腕並將其拽至了自己身後，而剛剛上線的琴諾的人格也在瞬間理解了當下的狀況，在摸起自己槍的瞬間，拉動了槍栓。	私は彼女の腕を引っ張り、自分の背後に隠した。ちょうど体の主導権を取り戻したチェルノも一瞬で状況を把握すると、銃のセーフティを外した。	나는 그녀의 손목을 잡아 뒤로 잡아당겼고 이제 정신을 차린 체르노의 인격도 순식간에 상황을 파악하고 자신의 총에 손을 대는 순간 노리쇠를 당겼다.	I grabbed her wrist and pulled her behind me. Cherno's personality, which had just come to the surface, quickly understood what was happening. The second she touched her gun, she immediately cocked it.						0	
b-3											0	
22	和她一同举枪	和她一同舉槍	彼女と一緒に銃口をあげる	그녀와 함께 총을 든다.	Raise your gun with her						0	
23	呃——！	呃——！	くっ！	윽…!	Ugh—!						0	
24	分析员！！	分析員！！	分析員！！	분석가님!!	Adjutant!!!						0	
