字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	世界树公司，办公室。	世界樹公司，辦公室。	ユグドラシル社にて。	위그드라실, 사무실.	Yggdrasil Headquarters, τ's office.						0	3.4预告剧情（3.3版本内容）
2	情况如何？	情況如何？	状況はどうだ？	상황은 어때요?	How's the situation?						0	3.4预告剧情（3.3版本内容）
3	意料之中。	意料之內。	予想通りです。	예상대로야.	Just as we expected.						0	3.4预告剧情（3.3版本内容）
4	封闭血清的影响还在持续，埃达仍然处于虚弱期。	封閉血清的影響還在持續，埃達仍然處於虛弱期。	ブロックセラムの効果で、エッダは弱ったままのようです。	폐쇄 혈청의 영향이 지속되고 있어서, 에다는 여전히 허약 상태야.	The Confinement Serum is still active — Edda hasn't recovered yet.						0	3.4预告剧情（3.3版本内容）
5	如果是以前，就算集成了世界树的算力，恒沙也连槲寄生的防火墙都够不着。	如果是以前，就算集成了世界樹的算力，恆沙也連槲寄生的防火牆都碰不到。	昔なら、ゴウシャと我が社の持つ演算処理能力を併せても、ヤドリギのファイアウォールには歯が立たないのでしょう。	예전 같았으면 위그드라실의 연산을 모두 합친다 해도, 항사는 미스틸테인 방화벽 근처에 닿지도 못했을 텐데.	Had it been before the serum was used, even with Yggdrasil's full computing power behind it, GANGES wouldn't have been able to even get past Mistilteinn's firewall.						0	3.4预告剧情（3.3版本内容）
6	登陆槲寄生空间站，从根源解决埃达——我和陶从未忘记这个目标。	登陸槲寄生太空站，從根源解決埃達——我和τ從未忘記這個目標。	ヤドリギ宇宙ステーションを侵攻し、エッダ問題を根本から解決する――この目標を私とτは、一時も忘れたことはない。	미스틸테인 우주정거장에 착륙해 에다를 뿌리째 해치우는 것, 나와 τ는 이 목표를 잊은 적이 없다.	To reach Mistilteinn Station and erase Edda at the root. That had always been our goal.						0	3.4预告剧情（3.3版本内容）
7	所以，在得到了恒沙的支持、从新恒提罗归来后，我便向她提出——那个计划可以正式启动了。	所以，在得到了恆沙的支持、從新恆提羅歸來後，我便向她提出——那個計畫可以正式啟動了。	ゴウシャを味方につけ、ニューガントラから帰還したあと、私は作戦の本格的始動をτに提案した。	그래서 항사의 지원을 받고 뉴헨틸로에서 돌아온 후, 나는 그 계획을 본격적으로 시작하자고 그녀에게 제안했다.	So when I returned from New Hentiro, with GANGES on board with the plan, I told τ it was time to put it into action.						0	3.4预告剧情（3.3版本内容）
8	北风航天中心已经修复完毕，由军方驻防。公司的其他业务临时收缩，海姆达尔队员悉数待命。	北風航太中心已經修復完畢，由軍方駐防。公司的其他業務臨時收縮，海姆達爾隊員悉數待命。	再建が終わった北風宇宙センターは、軍が厳重に警備を敷いている。同時に会社もほとんどの業務を一時中止し、ヘイムダル部隊をスタンバイさせている。	노스윈드 우주센터는 이미 복구가 완료되어 군대가 주둔 중이다. 회사의 다른 업무는 임시 축소되었고, 헤임달 대원들은 모두 대기 상태다.	The Northwind Aerospace Center had been fully restored and placed under strict military guard. Yggdrasil's other lines of business were put on hold. Every Heimdall operative stood by for deployment.						0	3.4预告剧情（3.3版本内容）
9	一系列掩人耳目的行动中，火箭也完成了运输，等待最关键的一步——	一系列掩人耳目的行動中，火箭也完成了運輸，等待最關鍵的一步——	陽動作戦が着々と進むなか、宇宙ステーション侵攻用のロケットの運搬作業も無事に終わり、残るは最後にして、最も肝心な一歩――	비밀리에 여러 작전을 수행하는 동안 로켓 운송도 완료되었고, 가장 중요한 단계만이 남아있었다…	Amid a string of diversionary operations, the rocket's transport reached completion, waiting only for final authorization.						0	3.4预告剧情（3.3版本内容）
10	在接入世界树的算力后，恒沙发起了对槲寄生服务器的攻击。由反击的程度确认了埃达的状态。	在接入世界樹的算力後，恆沙發起了對槲寄生伺服器的攻擊。由反擊的程度確認了埃達的狀態。	ユグドラシル社が保有する演算処理能力をありったけに引き受けたゴウシャによる、ヤドリギのサーバーへのサイバー攻撃――無論、エッダの状態を探るためにだ。	위그드라실의 연산에 접속한 항사는 미스틸테인 서버를 공격했고, 반격의 정도를 통해 에다의 상태를 확인할 수 있었다.	Once GANGES linked into Yggdrasil's network, it launched a direct assault on Mistilteinn's servers. We gauged Edda's condition by the strength of her counterattack.						0	3.4预告剧情（3.3版本内容）
11	那就启动吧。从现在开始，我们要和埃达抢时间了。	那就啟動吧。從現在開始，我們要和埃達搶時間了。	始めよう。これからは、時間との勝負だ。	이제 시작하자. 지금부터는 에다와의 시간 싸움이야.	Then we make our move. From here on, we're racing Edda against the clock.						0	3.4预告剧情（3.3版本内容）
12	卡罗琳，按之前的部署，让她们出发。立刻。	卡羅琳，按之前的部署，讓她們出發。立刻。	カロリン、作戦通り、ヘイムダル部隊を出撃させてくれ。	캐롤린, 전에 배치했던 대로 대원들을 출발시켜 줘. 지금 당장.	Caroline — execute the plan. Deploy the team, now.						0	3.4预告剧情（3.3版本内容）
13	是，任务已发布。	是，任務已發布。	はい。出撃命令、発令します。	네, 임무를 지시했습니다.	Copy. Mission briefings have been sent.						0	3.4预告剧情（3.3版本内容）
14	嗯，我下去跟一下进度。	嗯，我下去跟一下進度。	様子を見てくる。	응, 난 내려가서 진도 확인 좀 할게.	I'll head down and monitor the progress.						0	3.4预告剧情（3.3版本内容）
15	出门前，我看见陶出神地盯着通讯终端上跳动的信息，眼也不眨。	出門前，我看見τ出神地看著通訊終端上跳動的訊息，眼也不眨。	部屋を出る前にちらりと確かめると、τは通信端末を凝視していた。	자리를 뜨려는데, τ가 통신 단말기에 표시되는 정보를 눈도 깜빡이지 않고 뚫어져라 응시하고 있었다.	Before I left, I looked at τ. She sat motionless, eyes fixed on a single line of updates flickering across her screen, not blinking once.						0	3.4预告剧情（3.3版本内容）
16	陶？	τ？	τ。	τ 이사님?	τ?						0	3.4预告剧情（3.3版本内容）
17	嗯？	嗯？	……？	응?	Hm?						0	3.4预告剧情（3.3版本内容）
18	在担心？	在擔心？	心配なのか？	걱정돼요?	You're worried?						0	3.4预告剧情（3.3版本内容）
19	……	……	……	……	...						0	3.4预告剧情（3.3版本内容）
20	她抿了抿嘴，坐直了身子。	她抿了抿嘴，坐直了身。	言葉を返さず、τは背筋を伸ばし、座り直した。	그녀는 입술을 깨물며 자세를 고쳤다.	She pursed her lips and straightened up in her chair.						0	3.4预告剧情（3.3版本内容）
21	该来的总会来，能做的也都做了。	該來的總會來，能做的也都做了。	まあ安心してくれ。	올 것은 결국 오게 되어있고, 우린 할 수 있는 걸 다 했어요.	What's coming will come. We've done everything we can.						0	3.4预告剧情（3.3版本内容）
22	放宽心，有我在呢。	放寬心，有我在呢。	できる限りのことは全部やった。それに、私がいるだろう。	걱정 마세요, 제가 있잖아요.	Take it easy. I'm here.						0	3.4预告剧情（3.3版本内容）
23	陶摸了摸眉心，向我露出一个有点勉强的笑。	τ摸了摸眉心，向我露出一個有點勉強的笑。	眉間を指でさすり、τは少しだけ口角を上げて見せた。	τ는 미간을 문지르며 애써 미소를 지어 보였다.	τ rubbed her brow, forcing a faint smile.						0	3.4预告剧情（3.3版本内容）
24	去忙吧。再怎么担心，最后还不是都落在你身上了。	去忙吧。再怎麼擔心，最後還不是都落在你身上了。	はぁ……もう行ってかまいません。心配したところで、あなた頼みの作戦に変わりはないのですから。	가서 일해. 내가 아무리 걱정해도 결국엔 다 너에게 달렸으니.	Go on, get to it. No matter how much I worry, it still ends up on your shoulders.						0	3.4预告剧情（3.3版本内容）
25	这么想就对了，你看我都不急。	這樣想就對了，你看我都不急。	ああ、その通り。本人が平気なのに周りが焦ってどうする。	제 말이 그 말이에요. 봐요, 저도 걱정 안 하잖아요?	That's the right way to see it. Look at me — not even nervous.						0	3.4预告剧情（3.3版本内容）
26	朝她挥了挥手，一副轻松的样子，走出了办公室。	朝她揮了揮手，一副輕鬆的樣子，走出了辦公室。	後ろ手で手を大きく振りながら、オフィスを出る。	나는 그녀에게 손을 흔들어 보이며 홀가분한 표정으로 사무실을 나섰다.	I gave her an easy wave and stepped out, trying to look as if I believed it myself.						0	3.4预告剧情（3.3版本内容）
27	等门关上，才深深吸了一口气。	等門關上，才深深吸了一口氣。	ガチャンと自動扉の閉まる音がすると、深く大きく、息を入れ替えた。	문이 닫히자, 나는 그제야 깊게 숨을 들이마셨다.	The door closed behind me with a click, and only then did I let out a slow breath.						0	3.4预告剧情（3.3版本内容）
28	说不急是在撒谎，那是为了安慰陶。实际上，对于接下来这个充满风险的计划，我也没办法做到云淡风轻。	說不急是在撒謊，那是為了安慰τ。實際上，對於接下來這個充滿風險的計畫，我也沒辦法做到雲淡風輕。	平気なんてのはτをなだめるために咄嗟に出たウソで、冒険的なこの作戦には、いくら見出そうとしても平気に思える要素はこれっぽっちもない。	걱정을 안 한다는 건 τ를 안심시키기 위한 거짓말이었다. 사실 앞으로의 이 위험천만한 계획 앞에서, 나도 한가로이 있을 수 없었다.	Saying I wasn't nervous was a lie meant to reassure her. The truth was, no one could stay calm before what came next.						0	3.4预告剧情（3.3版本内容）
29	但，就像我说的——该来的总会来，能做的也都做了。	但，就像我說的——該來的總會來，能做的也都做了。	やれることはやりきったはずだ。	하지만 내가 말했듯이, 올 것은 결국 오게 되어있고, 할 수 있는 건 다 했다.	Still, it was as I'd said: what's coming will come, we've done all we can.						0	3.4预告剧情（3.3版本内容）
30	我不会心存侥幸，希望一切水到渠成。我也不会妄自菲薄，忽视一直以来的积累和努力。	我不會心存僥倖，希望一切水到渠成。我也不會妄自菲薄，忽視一直以來的積累和努力。	あとは、積み上げてきたものを信じ抜くのみ。	나는 요행을 바라며 모든 게 순조롭게 흘러가길 기대하지 않는다. 그렇다고 나 자신을 과소평가하거나 지금까지 쌓아온 노력을 무시하지도 않을 것이다.	I wasn't going to count on luck and pretend things would all just fall neatly into place. And I wasn't about to sell us short, after all the groundwork we'd laid.						0	3.4预告剧情（3.3版本内容）
31	毕竟，我也不是当初那个我了。	畢竟，我也不是當初那個我了。	何しろ、もうあの時の私じゃない。	왜냐하면, 과거의 나는 이제 없으니까.	After all, I had come a long way as well.						0	3.4预告剧情（3.3版本内容）
32	嗡——	嗡——	ヴー、ヴー……	끼익…	*bzzzt—*						0	3.4预告剧情（3.3版本内容）
33	playername——	playername——	分析員――	playername.	playername—!						0	3.4预告剧情（3.3版本内容）
