字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
page1.1	这些没人要的纸箱……不如拆开叠好，方便妮塔找到。	這些沒人要的紙箱……不如拆開疊好，方便妮塔找到。	…ここにも捨てられた段ボールが山積みだ。折り畳んでニタが見つけやすいようにしとくか。	이 버려진 상자들… 차라리 펼쳐서 잘 개어두는 게 낫겠어. 그래야 니타가 찾기 편할 테니까.	These old cardboard boxes haven't been claimed... Might as well break them down and stack them up for Nita.						0	2.7版本妮塔入队剧情
page1.2	她之前为了收集废品，可是像个永动机似的在基地里转来转去……	她之前為了收集廢品，可是像個永動機似的在基地裡轉來轉去……	箱を探しに寮中を奔走していたしな…	그녀가 폐품을 모으겠다고, 쉬지 않고 숙소 안을 돌아다니던 게 생각나는군…	She's always zipping around the base like a perpetual motion machine, chasing recyclables nonstop...						0	2.7版本妮塔入队剧情
page1.3	分析员……为了更好地了解队员们的身体状况，研究部给每个人都配备了步数记录装置。	分析員…為了更了解隊員們的身體狀況，研究部為每個人都配備了步數記錄裝置。	分析員さん…隊員たちの健康管理のために歩数計を配布したんですが…	분석가님… 팀원들의 신체 상태를 더 잘 파악하기 위해 연구부에서 모두에게 걸음 수 측정 장치를 지급했습니다.	Adjutant... To better monitor our operatives' physical condition, we've equipped everyone with step trackers.						0	2.7版本妮塔入队剧情
page1.4	然后呢？是出了什么问题吗？	然後呢？是出了什麼問題嗎？	それで？何か問題でもあったか？	그래서? 무슨 문제가 생긴 거야?	And? Something wrong?						0	2.7版本妮塔入队剧情
page1.5	嗯……有几个小问题。比如，肴一整天的步数居然只有三位数……	嗯……有幾個小問題。例如，肴一整天的步數居然只有三位數……	例えば肴さんですが、一日あたりの歩数が3桁しかなくて…	음… 몇 가지 작은 문제가 있습니다. 예를 들면, 야오의 하루 걸음 총수가 겨우 세 자리라든가…	Well... a couple of things. For example, Yao barely clocked a three-digit step count for the whole day...						0	2.7版本妮塔入队剧情
page1.6	不过更让人担心的是，妮塔的步数几乎是队员平均值的4倍！	不過更讓人擔心的是，妮塔的步數幾乎是隊員平均值的4倍！	でももっと心配なのは、ニタさんの歩数が平均の4倍なんですよ！	하지만 더 심각한 건, 니타의 걸음 수가 팀원 평균의 4배에 달한다는 겁니다!	But what's more concerning — Nita's count is nearly four times the team average!						0	2.7版本妮塔入队剧情
page1.7	4……4倍？	4……4倍？	4倍！？	4… 4배?!	F—Four times!?						0	2.7版本妮塔入队剧情
page1.8	为了不影响正常训练安排，希望分析员能和妮塔谈谈，让她收敛一下这种暴走行为。	為了不影響正常訓練安排，希望分析員能和妮塔談談，讓她收斂一下這種暴走行為。	このままだと訓練に差し支えるんで、ニタさんには暴走をやめるよう言ってもらえませんか？	훈련 일정에 지장 가지 않도록, 분석가님께서 조금 자제하도록 니타를 설득해 주셨으면 합니다.	We're a bit worried it might interfere with her regular training. Could you talk to her? Maybe ask her to dial it back a little?						0	2.7版本妮塔入队剧情
page1.9	研究员离开后，我立刻找到了正在基地里转悠的妮塔。	研究員離開後，我立刻找到了正在基地裡閒逛的妮塔。	研究員が去った後、社員寮を巡回中のニタを見つけ、経緯を問いただす。	연구원이 떠난 후 나는 곧장 숙소에서 돌아다니고 있는 니타를 찾아갔다.	As soon as the researcher left, I tracked Nita down — she was already darting through the base again.						0	2.7版本妮塔入队剧情
page1.10	所以，妮塔的步数暴增到底是怎么回事？	所以，妮塔的步數暴增到底是怎麼回事？	どうして歩数が跳ね上がったんだ？	그래서, 니타. 걸음 수가 폭증한 이유가 대체 뭐야?	So... Any particular reason your step count's gone through the roof?						0	2.7版本妮塔入队剧情
page1.11	哈哈……这个啊。	哈哈……這個啊。	えへへ、実はさ…	하하… 그게 말이야.	Ahaha... About that...						0	2.7版本妮塔入队剧情
page1.12	我发现基地里经常会有废弃的纸箱，想收集起来卖掉。	我發現基地裡常常會有廢棄的紙箱，想收集起來賣掉。	社員寮って段ボールとかよく捨てられてるでしょ？あれを集めて売ってるんだよ！	숙소 곳곳에 버려진 박스들이 많길래, 모아서 팔면 좋겠다고 생각했거든.	I noticed the base piles up a ton of cardboard boxes. I've been collecting and selling them off for recycling!						0	2.7版本妮塔入队剧情
page1.13	但是，好货可遇不可求，而且那些扫地机器人特别积极！我要是不多跑几趟，好东西就都被它们抢走啦！	但是，好貨可遇不可求，那些掃地機器人特別努力！我要是不多跑幾趟，好東西就都被它們搶走啦！	でもいい物件はいつも早い者勝ちだし…それに掃除ロボがめちゃ活躍してるから、私も走り回らないと全部取られちゃうんだろ！	하지만 쓸 만한 걸 찾는 건 쉽지 않다고, 게다가 로봇 청소기가 엄청 빠릿빠릿하단 말이지! 내가 부지런히 뛰어다니지 않으면, 좋은 박스들은 다 걔네한테 빼앗겨 버려!	But you never know when something good might show up — and those cleaning bots? Brutal! If I'm not fast enough, they grab everything before I even get there!						0	2.7版本妮塔入队剧情
page1.14	不用和扫地机器人争抢纸箱的一天，对妮塔来说，也算是一种特别的幸运吧……	不用和掃地機器人爭搶紙箱的一天，對妮塔來說，也算是一種特別的幸運吧……	やれやれ…ニタが掃除ロボと張り合わなくて済む日が来るなら、それもある意味すごい幸運だな。	로봇 청소기와 박스를 두고 경쟁하지 않아도 되는 하루가 온다면, 니타에겐 그야말로 최고의 행운이겠지…	A day when Nita doesn't have to race cleaning bots for cardboard boxes... probably counts as a rare stroke of luck for Nita.						0	2.7版本妮塔入队剧情
