字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
page1.1	已经到了休息的时候，有人敲响了住处的大门。	已經到了休息的時候，有人敲響了住處的大門。	そろそろ寝る時間だというのに、誰かが寮のドアを叩いた。	쉴 때쯤 누군가가 숙소의 문을 두드렸다.	While you were resting, someone knocked on the door of your room.						0	
page1.2	分析员，你在吗？	分析員，你在嗎？	分析員、いるの？	분석가, 있어?	Adjutant, are you in there?						0	
page1.3	在……	在……	ああ……	응…	Yeah...						0	
page1.4	喂！怎么你们都在！	喂！怎麼你們都在！	ちょっと？なんで全員揃ってんのよ！	야! 왜 너희들 다 있어!	Hey! What are you guys doing here!?						0	
page1.5	我自然有要紧的事和分析员商谈。	我自然有要緊的事和分析員商談。	分析員に相談したいことがあったんだ。	나야 당연히 중요한 일이 분석가와 상담해야지.	I have urgent matters to discuss with the Adjutant, obviously.						0	
page1.6	以及，复盘之前和分析员一同遇到的各种情况。	以及，複盤之前和分析員一同遇到的各種情況。	この前分析員と一緒だった時に遭遇した状況についても話し合いたくてな。	그리고 재심사를 앞두고 분석가가 함께 맞닥뜨린 여러 가지 상황도 있어.	And to review the various incidents we've gone through together.						0	
page1.7	那茉莉安，怎么连你也在这里？	那茉莉安，怎麼連你也在這裡？	だったら、マリアンまでいるのはどうして？	그럼 마리안은? 왜 너까지 여기 있는 거야?	Then what are you doing here, Marian?						0	
page1.8	呵呵，我是来给分析员报告行程的。	呵呵，我是來給分析員報告行程的。	ふふ。分析員さんにスケジュールの報告をしにきました。	하하하, 분석가님 스케줄 보고하러 왔어요.	I'm here to report my schedule to the Adjutant.						0	
page1.9	顺便，想和分析员谈谈心~	順便，想跟分析員談談心~	ついでに分析員さんとお話がしたくて来たんです。	그나저나 분석가님과 이야기도하고 싶네요~	And, well, to have a little heart-to-heart with him~						0	
page1.10	谈什么心，我看你们都想偷偷和分析员约会吧！	談什麼心，我看你們都想偷偷和分析員約會吧！	話ってなによ！どうせこっそり分析員とデートの約束をしに来たんでしょ！	무슨 속셈이야, 내가 보기에 너희들은 모두 몰래 분석가와 데이트하고 싶어 하는 것 같아!	Pff, a heart-to-heart? Looks more like you're all trying to sneak a date with him!						0	
page1.11	既然如此……就来比试一下吧！	既然如此……就來比試一下吧！	そっちがその気なら、あたしと勝負しなさい！	이왕이면… 그냥 한번 겨뤄보자!	In that case... let's make it interesting!						0	
page1.12	赢了的人才可以留下来陪分析员——	贏了的人才可以留下來陪分析員——	勝ったほうだけ分析員と一緒に——	이겨야만 남아서 분석가와 함께할 수 있어.	Whoever wins gets to stay and spend time with the Adjutant!						0	
page1.13	唔！	唔！	うっ！	우!	Ow!						0	
page1.14	所以为什么要扔枕头……	所以為什麼要丟枕頭……	だからなんで枕投げ……	그러니까 베개를 왜 버려…	Why are we throwing pillows all of a sudden?						0	
page1.15	所以，还是避免不了战斗吗？	所以，還是避免不了戰鬥嗎？	戦いはもう避けられないのか。	그래서 전투는 피할 수 없는 건가?	So, a fight is unavoidable, is it?						0	
page1.16	唔！	唔！	うっ！	우!	Ow!						0	
page1.17	哼，本小姐今天绝对不会输给你的！	哼，本小姐今天絕對不會輸給你的！	ハッ！今日こそあんたなんかに負けないわ！	흥, 이 몸은 오늘 네게 절대 지지 않을 거야!	Humph! I won't lose to you today — not a chance!						0	
page1.18	呵呵~分析员，放心，我会保护你的~	呵呵~分析員，放心，我會保護你的~	ふふ……分析員さん、安心してください……私が守ってあげます……	하하~ 분석가님 안심하세요, 제가 지켜드릴게요~	Hehe~ Don't worry, Adjutant, I'll protect you~						0	
page1.19	哎？谁丢的枕头打到我头了……	哎？誰丟的枕頭打到我頭了……	うわっ……誰だ！私にまで枕を投げつけてるのは……	어? 누가 던진 베개가 내 머리를 때렸지…?	Ow... Who threw that pillow at my head...?						0	
page1.20	一阵胡闹过后	一陣胡鬧過後	数分後	한바탕 소란을 피운 후에	After moments of roughhousing						0	
page1.21	可以停下了吧……	可以停下了吧……	もういいだろ……	이제 그만해도 되겠지…	Alright, that's enough...						0	
page1.22	既然枕头都已经就位了，就一起躺下谈谈心吧。	既然枕頭都已經就位了，就一起躺下談談心吧。	枕も片付ついたし、話なら横になってからにしよう。	베개가 다 마련됐으니 같이 누워서 얘기 좀 하자.	Now that the pillows are in place, why don't we all just lie down and talk?						0	
page1.23	我有分析员的胸膛就够了。	我有分析員的胸膛就夠了。	私は分析員の胸でいい。	나는 분석가의 가슴만 있으면 충분해.	I don't need a pillow — I have the Adjutant's chest.						0	
page1.24	可以，枕着分析员的手吗？	可以，枕著分析員的手嗎？	分析員さんの腕を枕にしてもいいですか？	네, 분석가의 팔을 베고 있을 수 있습니까?	Can I use your arm as a pillow, Adjutant?						0	
page1.25	哼，今天就勉强和你们分享一下分析员吧~	哼，今天就勉強跟你分享一下分析員吧~	ふん！あんた達と分析員をシェアするのは、今日だけだからね！	흠, 오늘은 분석가의 스토리를 공유하지~	Hmph, I guess I can share him with you all today — just this once though!						0	
page1.26	好了，那现在让我们来聊聊未来的故事吧。	好了，那現在就讓我們來聊聊未來的故事吧。	それじゃ、これからのことについて話そうか。	자, 그럼 이제 미래의 이야기를 해볼까?	Alright, now let's talk about our future stories.						0	
