字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
item_name_1	侦察接收机	偵查接收機	偵察受信機	정찰 수신기	Recon Receiver						0	
item_name_2	急救包	急救包	救急箱	구급 상자	First-Aid Kit						0	
item_name_3	重构芯片	重構晶片	再構築チップ	리셋 칩	Rebuild Chip						0	
item_name_4	便携屏蔽器	便攜屏蔽器	携帯用シールド	휴대용 차단기	Portable Jammer						0	
item_name_5	领队权限卡	領隊權限卡	権限カード	리더 권한 카드	Commander Card						0	
item_name_6	电磁脉冲发生器	電磁脈衝發生器	電磁パルス発生装置	펄스 발생기	EMP Generator						0	
item_des_1	用于抵抗战术干扰，当遭遇战术干扰事件时，通过探测并分析信号，该道具自动抵抗1次战术干扰。成功抵抗后，该道具将被销毁	用於抵抗戰術干擾，當遭遇戰術干擾事件時，通過偵測並分析信號，該道具自動抵抗1次戰術干擾。成功抵抗後，該道具將被銷毀	戦術妨害に抵抗するために使用される。妨害に遭遇すると、信号を検出し分析することにより、自動的に戦術妨害に1回抵抗する。 抵抗に成功すると、このアイテムは破壊される。	전술 간섭 저항에 사용되며, 전술 간섭 사건이 발생하면 신호를 감지하고 분석하여 전술 간섭에 1회 저항한다. 저항 후 해당 아이템은 폐기된다.	Used to cancel out tactical interference. It automatically cancels out 1 tactical interference by detecting and analyzing signals. The item will be destroyed after successful use.						0	
item_des_2	用于回复生命，内置多个急救瓶，使用后，所有队员生命回复30%（可通过逻辑研习强化）	用於回復生命，內置多個急救瓶，使用後，所有隊員生命回復30%（可通過邏輯研習強化）	HP回復に使用される。救急ボトルを複数内蔵しており、使用すると全隊員のHPが30％回復する（論理研修で強化可能）。	HP 회복에 사용되며 여러 구급 포션이 내장되어 있다. 사용 후 모든 팀원의 HP가 30% 회복된다(논리 연구를 통해 강화 가능).	Used to restore HP. With built-in First-Aid Packets, it restores HP by 30% for all operatives (can be enhanced via Logic Research).						0	
item_des_3	用于重构意识，相比意识皿更加易于便携，使用后随机为1名队员重构意识，并回复生命30%（可通过逻辑研习强化）	用於重構意識，相比意識皿更加易於攜帶，使用後隨機為1名隊員重構意識，並回復生命30%（可通過邏輯研習強化）	意識の再構築に使用される。意識シャーレよりも持ち運びが簡単で、使用するとランダムで隊員1人の意識を再構築し、HPを30％回復させる（論理研修で強化可能）。	의식 리셋에 사용되며 의식 용기보다 휴대하기가 편리하다. 사용 시 임의의 팀원 1명의 의식을 리셋하고 HP를 30% 회복한다(논리 연구를 통해 강화 가능).	Used to rebuild Consciousness, more portable than a Consciousness Vessel. After use, it rebuilds Consciousness and restores 30% HP for 1 random operative (can be enhanced via Logic Research).						0	
item_des_4	用于移除战术干扰，能阻止屏蔽干扰信号，使用后可随机移除1个战术干扰	用於移除戰術干擾，能阻止屏蔽干擾信號，使用後可隨機移除1個戰術干擾	戦術妨害の解除に使用される。妨害信号を遮断することができ、使用するとランダムに戦術妨害を1つ解除することができる。	전술 간섭 제거에 사용되며 신호 간섭을 차단할 수 있다. 사용 후 임의로 1개의 전술 간섭을 제거할 수 있다.	Used to remove tactical interference, can prevent signal jamming. Randomly removes 1 tactical interference after use.						0	
item_des_5	用于刷新【军备兑换】中的补给，领队权限的证明，使用后可刷新1次【军备兑换】中的补给	用於刷新【軍備兌換】中的補給，領隊權限的證明，使用後可刷新1次【軍備兌換】中的補給	【軍備交換】のリセットに使用される。チームリーダーの権限を証明する。使用すると【軍備交換】の補給を1回リセットできる。	[군비 교환]에서 보급을 새로 리셋하는 데 사용되며 리더 권한을 증명하는 카드이기도 하다. 사용 후 [군비 교환]에서 보급을 리셋할 수 있다.	Used to refresh supplies. A card certifying a commander's authority, it can be used to refresh supplies 1 time in Armament Exchange.						0	
item_des_6	用于降低威胁值，产生的高能量电磁脉冲能干扰或破坏敌方的设备及系统，使用后降低10点威胁值（只能降低至当前威胁级别下限）	用於降低威脅值，產生的高能量電磁脈衝能干擾或破壞敵方的設備及系統，使用後降低10點威脅值（只能降低至當前威脅級別下限）	脅威値の減少に使用できる。高エネ電磁パルスで敵の設備やシステムを妨害・破壊し、脅威値を10pt下げる（現在の脅威レベルの最小値まで）。	위협 수치 감소에 사용되며, 생성된 에너지 펄스는 타깃의 장치와 시스템을 간섭하거나 파괴하는 데 사용된다. 사용 후에는 위협 수치를 10pt 감소시킨다.(현재의 최저 위협 레벨 아래로는 낮출 수 없음.)	Used to reduce Threat value by disrupting or destroying enemy equipment. Decreases Threat value by 10 points (but no lower than minimum of current Threat Level).						0	
SeasonMasterkey	万用思维译码	萬用思維譯碼	汎用思考コード	만능 사유 해독	General Cerebral Decoder						0	
Seasonkey1	思维译码·荣耀	思維譯碼·榮耀	思考コード・栄光	사유 해독·영광	Cerebral Decoder - Glory						0	
Seasonkey2	思维译码·温柔	思維譯碼·溫柔	思考コード・親切	사유 해독·온화	Cerebral Decoder - Humility						0	
Seasonkey3	思维译码·正义	思維譯碼·正義	思考コード・正義	사유 해독·정의	Cerebral Decoder - Justice						0	
Seasonkey4	思维译码·纯净	思維譯碼·純淨	思考コード・純粋	사유 해독·순수	Cerebral Decoder - Purity						0	
Seasonkey5	思维译码·无畏	思維譯碼·無畏	思考コード・大胆	사유 해독·무모	Cerebral Decoder - Boldness						0	
Seasonkey6	思维译码·智慧	思維譯碼·智慧	思考コード・知恵	사유 해독·지혜	Cerebral Decoder - Intellect						0	
Seasonkey7	思维译码·勇气	思維譯碼·勇氣	思考コード・勇気	사유 해독·용기	Cerebral Decoder - Courage						0	
Seasonkey8	思维译码	思維譯碼	思考コード	사유 해독	Cerebral Decoder						0	
SeasonMasterkey_des	可以用于置换任何类型的思维译码\n海姆达尔部队的队员们，在长期作战中所展现出的非凡适应性、与随机应变能力的象征。	可以用來置換任何類型的思維譯碼\n海姆達爾部隊的隊員們，在長期作戰中所展現出的非凡適應性、與隨機應變能力的象徵。	あらゆるタイプの思考コードに置き換えられる\nヘイムダル部隊の隊員たちが長期にわたる作戦において示した優れた順応性と臨機応変な能力の象徴。	모든 유형의 사유 해독을 대체할 수 있다.\n헤임달 대원들이 장기 전투에서 보여준 탁월한 적응력과 임기응변 능력의 상징이기도 하다.	Can be used to replace any type of Cerebral Decoder.\nIts universal quality symbolizes the Heimdall operatives' impressive adaptability and responsiveness in long missions.						0	
Seasonkey1_des	是海姆达尔部队长期的共同作战中，队员们所呈现出的重要的品德之一。	是海姆達爾部隊長期的共同作戰中，隊員們所呈現的重要的品德之一。	ヘイムダル部隊のメンバーたちが、長期にわたる作戦の中で示した重要な美徳のひとつである。	헤임달 부대의 장기간 공동작전에서 대원들이 보여준 덕목 중 하나이다.	One of the important qualities exhibited by Heimdall operatives during their time together in battle.						0	
Seasonkey2_des	是海姆达尔部队长期的共同作战中，队员们所呈现出的重要的品德之一。	是海姆達爾部隊長期的共同作戰中，隊員們所呈現的重要的品德之一。	ヘイムダル部隊のメンバーたちが、長期にわたる作戦の中で示した重要な美徳のひとつである。	헤임달 부대의 장기간 공동작전에서 대원들이 보여준 덕목 중 하나이다.	One of the important qualities exhibited by Heimdall operatives during their time together in battle.						0	
Seasonkey3_des	是海姆达尔部队长期的共同作战中，队员们所呈现出的重要的品德之一。	是海姆達爾部隊長期的共同作戰中，隊員們所呈現的重要的品德之一。	ヘイムダル部隊のメンバーたちが、長期にわたる作戦の中で示した重要な美徳のひとつである。	헤임달 부대의 장기간 공동작전에서 대원들이 보여준 덕목 중 하나이다.	One of the important qualities exhibited by Heimdall operatives during their time together in battle.						0	
Seasonkey4_des	是海姆达尔部队长期的共同作战中，队员们所呈现出的重要的品德之一。	是海姆達爾部隊長期的共同作戰中，隊員們所呈現的重要的品德之一。	ヘイムダル部隊のメンバーたちが、長期にわたる作戦の中で示した重要な美徳のひとつである。	헤임달 부대의 장기간 공동작전에서 대원들이 보여준 덕목 중 하나이다.	One of the important qualities exhibited by Heimdall operatives during their time together in battle.						0	
Seasonkey5_des	是海姆达尔部队长期的共同作战中，队员们所呈现出的重要的品德之一。	是海姆達爾部隊長期的共同作戰中，隊員們所呈現的重要的品德之一。	ヘイムダル部隊のメンバーたちが、長期にわたる作戦の中で示した重要な美徳のひとつである。	헤임달 부대의 장기간 공동작전에서 대원들이 보여준 덕목 중 하나이다.	One of the important qualities exhibited by Heimdall operatives during their time together in battle.						0	
Seasonkey6_des	是海姆达尔部队长期的共同作战中，队员们所呈现出的重要的品德之一。	是海姆達爾部隊長期的共同作戰中，隊員們所呈現的重要的品德之一。	ヘイムダル部隊のメンバーたちが、長期にわたる作戦の中で示した重要な美徳のひとつである。	헤임달 부대의 장기간 공동작전에서 대원들이 보여준 덕목 중 하나이다.	One of the important qualities exhibited by Heimdall operatives during their time together in battle.						0	
Seasonkey7_des	是海姆达尔部队长期的共同作战中，队员们所呈现出的重要的品德之一。	是海姆達爾部隊長期的共同作戰中，隊員們所呈現的重要的品德之一。	ヘイムダル部隊のメンバーたちが、長期にわたる作戦の中で示した重要な美徳のひとつである。	헤임달 부대의 장기간 공동작전에서 대원들이 보여준 덕목 중 하나이다.	One of the important qualities exhibited by Heimdall operatives during their time together in battle.						0	
Seasonkey8_des	海姆达尔部队长期的共同作战中，不同的队员们会呈现出重要品德的象征。	海姆達爾部隊在長期的共同作戰中，不同的隊員們會呈現重要品德的象徵。	長期にわたる作戦の中、ヘイムダル部隊のメンバーたちがそれぞれ示した重要な美徳の象徴である。	헤임달 부대의 장기간 공동작전에서 대원들이 보여준 덕목 중 하나이다.	A symbol of one of the important qualities exhibited by different Heimdall operatives during their time together in battle.						0	
SeasonMasterkey_use	思维译码 兑换道具	思維譯碼 兌換道具	思考コード　交換アイテム	사유 해독 교환 아이템	Cerebral Decoder exchange item						0	
Seasonkey1_use	思维深潜节点解锁道具	思維深潛節點解鎖道具	深層思考で報酬を開放するのに使用	사유의 깊이 노드 오픈 아이템	Cerebral Dive node unlock item						0	
Seasonkey2_use	思维深潜节点解锁道具	思維深潛節點解鎖道具	深層思考で報酬を開放するのに使用	사유의 깊이 노드 오픈 아이템	Cerebral Dive node unlock item						0	
Seasonkey3_use	思维深潜节点解锁道具	思維深潛節點解鎖道具	深層思考で報酬を開放するのに使用	사유의 깊이 노드 오픈 아이템	Cerebral Dive node unlock item						0	
Seasonkey4_use	思维深潜节点解锁道具	思維深潛節點解鎖道具	深層思考で報酬を開放するのに使用	사유의 깊이 노드 오픈 아이템	Cerebral Dive node unlock item						0	
Seasonkey5_use	思维深潜节点解锁道具	思維深潛節點解鎖道具	深層思考で報酬を開放するのに使用	사유의 깊이 노드 오픈 아이템	Cerebral Dive node unlock item						0	
Seasonkey6_use	思维深潜节点解锁道具	思維深潛節點解鎖道具	深層思考で報酬を開放するのに使用	사유의 깊이 노드 오픈 아이템	Cerebral Dive node unlock item						0	
Seasonkey7_use	思维深潜节点解锁道具	思維深潛節點解鎖道具	深層思考で報酬を開放するのに使用	사유의 깊이 노드 오픈 아이템	Cerebral Dive node unlock item						0	
Seasonkey8_use	思维深潜节点解锁道具	思維深潛節點解鎖道具	深層思考で報酬を開放するのに使用	사유의 깊이 노드 오픈 아이템	Cerebral Dive node unlock item						0	
SeasonItem1	思维旁路下·密钥1	思維旁路下·密鑰1	思考のバイパス下・キー1	사고 회로-하·암호키1	Cerebral Bypass (Lower) - Key 1						0	
SeasonItem2	思维旁路下·密钥2	思維旁路下·密鑰2	思考のバイパス下・キー2	사고 회로-하·암호키2	Cerebral Bypass (Lower) - Key 2						0	
SeasonItem3	思维旁路下·密钥3	思維旁路下·密鑰3	思考のバイパス下・キー3	사고 회로-하·암호키3	Cerebral Bypass (Lower) - Key 3						0	
SeasonItem4	思维旁路上·密钥1	思維旁路上·密鑰1	思考のバイパス上・キー1	사고 회로-상·암호키1	Cerebral Bypass (Upper) - Key 1						0	
SeasonItem5	思维旁路上·密钥2	思維旁路上·密鑰2	思考のバイパス上・キー2	사고 회로-상·암호키2	Cerebral Bypass (Upper) - Key 2						0	
SeasonItem6	思维旁路上·密钥3	思維旁路上·密鑰3	思考のバイパス上・キー3	사고 회로-상·암호키3	Cerebral Bypass (Upper) - Key 3						0	
SeasonItem7	急救箱	急救箱	救急箱	응급 상자	First-Aid Kit						0	
SeasonItem8	坐标定位器	坐標定位器	座標特定機	좌표 탐색기	Coordinate Locator						0	
SeasonItem9	通讯装置	通訊裝置	通信装置	통신 장치	Comms Device						0	
SeasonItem1_des	用来打通下行思维旁路的密钥部件之一。挖掘记忆深处的角落，那里一定潜藏着未曾注意到的宝贵之物。	用來打通下行思維旁路的密鑰部件之一。挖掘記憶深處的角落，那裡一定潛藏著未曾注意到的寶貴之物。	下りの思考のバイパスを繋げるためのキーパーツの1つ。記憶の奥の隅を掘ってみよう、きっとそこに今まで隠れていた貴重なものが隠れている。	하부에 있는 사고 회로를 여는 데 사용되는 암호키 부품 중 하나다. 기억의 깊숙한 구석을 파고들면 미처 주목하지 못한 소중한 것들이 숨겨져 있을 것이다.	A key used to open up Cerebral Bypass (Lower). Search your memory for hidden treasures that may have been overlooked.						0	
SeasonItem2_des	用来打通下行思维旁路的密钥部件之一。挖掘记忆深处的角落，那里一定潜藏着未曾注意到的宝贵之物。	用來打通下行思維旁路的密鑰部件之一。挖掘記憶深處的角落，那裡一定潛藏著未曾注意到的寶貴之物。	下りの思考のバイパスを繋げるためのキーパーツの1つ。記憶の奥の隅を掘ってみよう、きっとそこに今まで隠れていた貴重なものが隠れている。	하부에 있는 사고 회로를 여는 데 사용되는 암호키 부품 중 하나다. 기억의 깊숙한 구석을 파고들면 미처 주목하지 못한 소중한 것들이 숨겨져 있을 것이다.	A key used to open up Cerebral Bypass (Lower). Search your memory for hidden treasures that may have been overlooked.						0	
SeasonItem3_des	用来打通下行思维旁路的密钥部件之一。挖掘记忆深处的角落，那里一定潜藏着未曾注意到的宝贵之物。	用來打通下行思維旁路的密鑰部件之一。挖掘記憶深處的角落，那裡一定潛藏著未曾注意到的寶貴之物。	下りの思考のバイパスを繋げるためのキーパーツの1つ。記憶の奥の隅を掘ってみよう、きっとそこに今まで隠れていた貴重なものが隠れている。	하부에 있는 사고 회로를 여는 데 사용되는 암호키 부품 중 하나다. 기억의 깊숙한 구석을 파고들면 미처 주목하지 못한 소중한 것들이 숨겨져 있을 것이다.	A key used to open up Cerebral Bypass (Lower). Search your memory for hidden treasures that may have been overlooked.						0	
SeasonItem4_des	用来打通上行思维旁路的密钥部件之一。挖掘记忆深处的角落，那里一定潜藏着未曾注意到的宝贵之物。	用來打通上行思維旁路的密鑰部件之一。挖掘記憶深處的角落，那裡一定潛藏著未曾注意到的寶貴之物。	上りの思考のバイパスを繋げるためのキーパーツの1つ。記憶の奥の隅を掘ってみよう、きっとそこに今まで隠れていた貴重なものが隠れている。	상부에 있는 사고 회로를 여는 데 사용되는 암호키 부품 중 하나다. 기억의 깊숙한 구석을 파고들면 미처 주목하지 못한 소중한 것들이 숨겨져 있을 것이다.	A key used to open up Cerebral Bypass (Upper). Search your memory for hidden treasures that may have been overlooked.						0	
SeasonItem5_des	用来打通上行思维旁路的密钥部件之一。挖掘记忆深处的角落，那里一定潜藏着未曾注意到的宝贵之物。	用來打通上行思維旁路的密鑰部件之一。挖掘記憶深處的角落，那裡一定潛藏著未曾注意到的寶貴之物。	上りの思考のバイパスを繋げるためのキーパーツの1つ。記憶の奥の隅を掘ってみよう、きっとそこに今まで隠れていた貴重なものが隠れている。	상부에 있는 사고 회로를 여는 데 사용되는 암호키 부품 중 하나다. 기억의 깊숙한 구석을 파고들면 미처 주목하지 못한 소중한 것들이 숨겨져 있을 것이다.	A key used to open up Cerebral Bypass (Upper). Search your memory for hidden treasures that may have been overlooked.						0	
SeasonItem6_des	用来打通上行思维旁路的密钥部件之一。挖掘记忆深处的角落，那里一定潜藏着未曾注意到的宝贵之物。	用來打通上行思維旁路的密鑰部件之一。挖掘記憶深處的角落，那裡一定潛藏著未曾注意到的寶貴之物。	上りの思考のバイパスを繋げるためのキーパーツの1つ。記憶の奥の隅を掘ってみよう、きっとそこに今まで隠れていた貴重なものが隠れている。	상부에 있는 사고 회로를 여는 데 사용되는 암호키 부품 중 하나다. 기억의 깊숙한 구석을 파고들면 미처 주목하지 못한 소중한 것들이 숨겨져 있을 것이다.	A key used to open up Cerebral Bypass (Upper). Search your memory for hidden treasures that may have been overlooked.						0	
SeasonItem7_des	藏在天楼角落的小型急救箱，可以用来给伤者进行紧急治疗。	藏在天樓角落的小型急救箱，可以用來給傷者緊急治療。	スカイタワーの隅に隠された小型救急箱。負傷者の傷を緊急手当てすることができる。	스카이 타워의 구석에 숨겨진 소형 응급 상자. 부상자를 응급 치료하는 데 사용된다.	A small first-aid kit found in a corner of the Towers. Can be used to treat the injured.						0	
