字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	啪嗒——啪嗒——	啪嗒——啪嗒——	パタパタ——	팔딱ㅡ 팔딱ㅡ	*slap—* *slap—*						0	1.3重置
2	什么嘛，原来是蹦跶到这里了。	什麼嘛，原來是跳到這裡了。	あら、こんなところにいたのね。	뭐야, 여기까지 팔딱거려서 온 거야?	Huh? So it jumped all the way over here.						0	1.3重置
3	从那么高的地方摔下来还活着……	從那麼高的地方摔下來竟然還活著……	あんな高さから落ちても生きてるだなんて……	그렇게 높은 곳에서 떨어졌는데도 불구하고 살아있다니…	It's still alive after falling from so high up...						0	1.3重置
4	毕竟是“海之主”嘛。	畢竟是“海之主”嘛。	なんといっても「海の主」ですから。	'바다의 주인'이니까요.	Well, it is the legendary "king bream," after all.						0	1.3重置
5	没想到诸位居然可以借他人之手，解决了我们设置的难题。	沒想到諸位竟然能夠假他人之手來解決我們設下的難題。	人と協力し、こちらが用意した難題を解決できるとは。	여러분께서 다른 사람의 힘을 빌려 저희가 준비한 난제를 풀어낼 줄은 몰랐어요.	I wasn't expecting you to enlist outside help to complete the challenges we set up for you.						0	1.3重置
6	刚刚在度假中心的侍者机器人……是什么时候……	剛剛在渡假中心的機器人……是什麼時候……	さっきまでリゾートセンターにいたウェイトレスさんのロボットが……いつの間に……	방금까지 바캉스 센터에 있던 로봇 메이드가… 언제…	The robot attendant that was at the resort center... When did...?						0	1.3重置
7	哼，估计和那架无人机一样，早就在这附近等着我们了吧。	哼，恐怕也和那些無人機一樣，早就在附近等著我們了吧。	ふん、あのドローンと同じように、ずっと前からこの近くで待ち構えてたんでしょう。	흥, 저 드론처럼 이곳에서 우리를 계속 기다리고 있었나 보지.	Hmph, it's probably been following us around the whole time — just like those drones.						0	1.3重置
8	并不是哦，其实我是度假中心那位的堂姐~	並不是喔~其實我是渡假中心那位侍者的堂姐~	違いますよ。実はわたくし、リゾートセンターにいる子のいとこなのです～	아닙니다. 실은 저는 바캉스 센터에 근무하던 로봇의 사촌 언니랍니다~	Nope! Actually, the robot working at the resort center is my sister. Do you see the resemblance?						0	1.3重置
9	哼，机器人也有亲戚吗？	哼，機器人也有親戚嗎?	ふん、ロボットにも親戚がいるってわけ？	뭐? 로봇 주제에 친척도 있어?	Oh? Robots have families too?						0	1.3重置
10	呵呵呵，和大家开个玩笑，我们只是同型号的不同个体罢了~	呵呵呵~開個小玩笑，我們只是同一型號的不同機體罷了~	ふふふ、冗談でございます。わたくしたちはあくまで、同じ型番の別個体ですから～	하하하, 농담입니다. 그저 같은 모델의 다른 개체일 뿐입니다~	Hahaha, just kidding. We're just different units of the same model~						0	1.3重置
11	明明外貌一样，但是性格差别好大……	明明外型一樣，但性格差好多……	同じ外見なのに、性格は全然違う……	외모는 똑같은데 성격이 확연히 달라 보인다…	Even though they looked the same, their personalities were completely different...						0	1.3重置
12	那么请允许我为大家说明下一项挑战。	接下來請讓我為大家說明下一項挑戰。	では、次の挑戦についてご説明させていただきます。	그럼 이제 다음 챌린지를 소개하도록 하겠습니다.	Allow me to explain the next challenge.						0	1.3重置
13	不知各位是否还记得，在渡轮上我们曾提供过一道甜品~	不知道各位是否還記得，在渡輪上我們曾品嘗過一道甜品~	フェリーでデザートを提供したこと、皆様は覚えていますか？	혹시 여객선에서 여러분에게 제공됐었던 디저트를 기억하시련지요~	Do you all remember the dessert we gave you on the ferry~?						0	1.3重置
14	是海盐西瓜冰吧。	是海鹽西瓜冰吧。	塩スイカのかき氷のことですよね？	시솔트 수박바잖아.	Yeah. Sea-salt watermelon ice.						0	1.3重置
