字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	你是故意的吗？	你是故意的嗎？	わざとですか？	일부러 그런 건가?	Did you do this on purpose?						0	
b-1											0	
2	没想到会导致那样的后果……	沒想到會導致那樣的後果……	そんな結果になるとは思わなくて……	이런 결과를 초래할 줄은 몰랐어요…	I had no idea it would lead to this...						0	
3	就是为了说服我，不让她参加这次任务？	就是為了說服我，不讓她參加這次任務？	私を説得するために彼女を今回の任務から外したのですか？	그녀를 이번 미션에 참여시키지 말라고 날 설득하기 위해?	Just to convince me that she shouldn't participate in the mission?						0	
b-2											0	
4	我希望能多给她一些缓冲时间。	我希望能多給她一些緩衝時間。	しばらく彼女に時間を与えてください。	조금 더 숨돌릴 시간을 주고 싶었던 것뿐이에요.	I wanted to give her some more time.						0	
b-3											0	
5	事实也证明，她还不能消化类似的刺激。	事實也證明，她還無法完全克服這一類的刺激。	現に彼女は、あのような刺激に対応できないことが証明されました。	확실한 건 이번 일을 통해 그녀가 이런 상황을 버텨낼 수 없다는 사실이 증명됐죠.	I didn't think she could handle similar emotional triggers. And the evidence indicates just as much.						0	
6	playername，分析员，天启者不是温室里的花朵。	playername，分析員，天啟者不是溫室裡的花朵。	playername、分析員、覚醒者はそんなにヤワではないんです。	playername, 분석가, 계시자는 온실에서 자라는 꽃이 아니야.	Adjutant playername — Manifestations aren't helpless children.						0	
7	不然，你认为他们凭什么成为天启者？	不然，你認為他們憑什麼成為天啟者？	そう簡単に覚醒者になれると思いますか？	그게 아니라면 그들이 어떻게 계시자가 될 수 있었다고 생각하는 거지?	Otherwise, how do you think they could even become Manifestations?						0	
b-4											0	
8	一个不受控的天启者会带来额外风险！	一個不受控的天啟者會帶來額外風險！	しかし、暴走した覚醒者は危険です！	제어를 상실한 계시자는 위협 요소가 될 뿐이에요!	An out-of-control Manifestation is an additional risk!						0	
b-5											0	
9	就像以前一样。	就像以前一樣。	昔のように。	예전처럼 말이죠.	Just like before.						0	
10	陶没有立刻回应，而是用她没有温度的眼睛注视着我。	τ沒有立刻回應，而是用她冷漠的眼神注視著我。	τは即答ぜず、ただ無表情で私をじっと見つめ続けた。	τ는 즉시 대답하지 않고, 아무런 온기가 없는 눈으로 나를 바라만 봤다.	τ didn't respond immediately, instead staring at me with an icy gaze.						0	
11	我查阅了过去的任务记录，知道晴曾经失控过一次。	我查閱了過去的任務記錄，知道晴曾經失控過一次。	私は過去のミッション履歴を調べ、晴が一度暴走したことを知った。	과거의 미션 기록을 열람한 나는 하루가 폭주한 적이 있다는 사실을 알고 있다.	I had searched through past mission records to discover that Haru had lost control once before.						0	
12	那一次失控造成了严重后果……	那一次失控造成了嚴重後果……	あの暴走は大きな被害をもたらした……	당시의 폭주는 어마어마한 결과를 초래했는데…	That one incident had caused serious consequences...						0	
13	“右手好像具备了自己的意识……。”	“右手好像有自己的意識……。”	「右手に意識が備わっているような……」	'오른손에 자아가 생긴 것 같았다…'	"It was like my right arm had a mind of its own..."						0	
14	“我的意识很清醒，但……什么都无法控制，只能眼睁睁地看着右手持枪瞄准队友，然后……”	“我的意識很清醒，但……什麼都無法控制，只能眼睜睜地看著右手持槍瞄準隊友，然後……”	「意識はしっかり保っているが……体を支配できず、銃を構えている右手が勝手にチームメイトを狙うのを見るしかなかった。そして……」	'내 정신은 멀쩡했지만… 아무것도 할 수 없었고, 그저 오른손으로 동료들에게 총을 겨누는 것을 지켜볼 수밖에 없었다. 그리고…'	"I was fully concious, but... I couldn't control anything. I could only watch as my right hand took hold of a gun, aimed at my teammate, then..."						0	
15	“扣下扳机。”	“扣下扳機。”	「引き金を引いた。」	'방아쇠를 당기는 것도.'	"Pulled the trigger."						0	
16	“那不是我的手，而是……提尔之手。”	“那不是我的手，而是……提爾之手。”	「あれは自分の手ではなく……テュールの手だった。」	'그건 내 손이 아니라… 티어펑의 손이었다.'	"It wasn't my hand. It was... Týr's."						0	
17	继续说。	繼續說。	続けてください。	계속해서 말해봐.	Go on.						0	
b-6											0	
18	幸好里芙及时斩断了晴失控的右手。	幸好里芙及時斬斷了晴失控的右手。	リフが迷わず暴走した晴の右手を切り落とさなければ、	리브가 제어를 상실한 하루의 오른팔을 빠르게 잘라내서 다행이었죠.	It's a good thing Lyfe cut Haru's out-of-control arm off in time.						0	
b-7											0	
19	不然整支小队很有可能被泰坦全灭。	不然整支小隊很有可能被泰坦全滅。	小隊がタイタンに全滅させられていた可能性が高いでしょう。	그렇지 않았다면 소대 전체가 타이탄에 의해 전멸당했을 거예요.	Otherwise, it's likely that the entire squad would have been wiped out by the Titans.						0	
20	你知道她后来主动离开了海姆达尔部队吗？	你知道她後來主動離開了海姆達爾部隊嗎？	彼女はその後、自分の意志でヘイムダル部隊を離れたことを知っていますか？	그 일이 있고 나서 그녀가 자신의 의지로 헤임달 부대를 떠났다는 것을 알고 있나?	Are you aware that she voluntarily left the Heimdall Force later on?						0	
21	我点了点头。	我點了點頭。	私は頷いた。	나는 고개를 끄덕였다.	I nodded.						0	
22	那么，你知道她回到海姆达尔部队时，是由我亲自批准的吗？	那麼，你知道她回到海姆達爾部隊時，是由我親自批准的嗎？	では、彼女が私の許可を得てヘイムダル部隊に戻ったのも知っていますか？	그렇다면 그녀가 헤임달 부대에 돌아오는 것을 내가 직접 허가했다는 것도 알고 있겠네?	Are you also aware that I personally approved her return to the Heimdall Force?						0	
23	亲自批准一位有“前科”的队员归队，这到底是因为……	親自批准一位有“前科”的隊員歸隊，這到底是因為……	「前科」のある隊員の復帰を許可したのは、一体……	'전과'가 있는 팀원이 복귀하는 것을 승인한 이유는 대체…	Personally approving an operative with a record like that to return to the force... Why...?						0	
24	每个海姆达尔队员，每一位天启者，都知道来到这里的意义。	每個海姆達爾隊員，每一位天啟者，都知道來到這裡的意義。	全てのヘイムダル隊員や覚醒者は、それぞれここに来た意味を把握しています。	모든 헤임달 부대원들, 그리고 모든 계시자는 이곳에 온 배경과 이유가 따로 있어.	Every operative, every Manifestation on the Heimdall Force knows what it means to be here.						0	
25	现状不容许浪费任何一个人的才能。	現狀不容許浪費任何一個人的才能。	現状では、誰ひとり才能を無駄にする余裕などありませんし、	지금 상황에선 누구도 그 재능을 낭비할 수 없고.	In our present situation, we can't afford to not use the talents of any individual.						0	
26	也没有谁是不可以被牺牲的。	也沒有誰是不可以被犧牲的。	犠牲になってはいけないものもありませんから。	그리고 희생돼선 안 될 사람도 없지.	And no one is above sacrificing.						0	
27	她们必须在我需要的时候，在人类需要的时候，立于众生之前。	她們必須在我需要的時候，在人類需要的時候，立於眾生之前。	私が必要とする時、人間が必要とする時、彼女たちは皆の前に立たねばなりません。	그녀들은 내가 필요할 때, 그리고 인류가 필요로 할 때, 모든 존재 앞에서 나서야 해.	They must stand up for all living beings whenever I need them, whenever the human race needs them.						0	
b-8											0	
28	可是……	可是……	しかし……	하지만…	But...						0	
29	我不想说服你，分析员，你也没有办法说服我。	我不想說服你，分析員，你也沒有辦法說服我。	あなたを説得するつもりはありません。ゆえに分析員、私を説得しようとしても無駄ですから。	널 설득할 생각은 없어, 분석가. 너도 날 설득할 수 없고.	I have no interest in convincing you, Adjutant, and you can't convince me either.						0	
30	既然这样，让鸣濑晴自己选择吧。	既然這樣，讓鳴瀨晴自己選擇吧。	では、鳴瀬晴自身に選択させましょう。	그렇다면 나루세 하루가 직접 선택하게 하는 게 좋겠군.	So just let Naruse Haru decide for herself.						0	
31	卡罗琳，通知鸣濑晴到我办公室来。	卡羅琳，通知鳴瀨晴到我辦公室來。	カロリン、私のオフィスに鳴瀬晴を呼び出してください。	캐롤린, 나루세 하루를 내 사무실로 호출하도록 해.	Caroline, notify Naruse Haru that I'd like to see her in my office.						0	
32	我还未来得及争辩，陶已经向卡罗琳传达了指令。	我還未來得及爭辯，τ已經向卡羅琳傳達了指令。	私に反論する余地を与えず、τはカロリンに命令を伝えた。	τ는 내가 반박하기도 전에 캐롤린에게 지시한다.	Before I could even argue, τ had already issued an order to Caroline.						0	
33	我不明白。	我不明白。	自分には分かりません。	이해할 수 없네요.	My choice...? I don't understand.						0	
34	作为一名海姆达尔队员，执行任务是我的职责。	作為一名海姆達爾隊員，執行任務是我的職責。	ヘイムダルの隊員として、任務を遂行するのが自分の使命です。	헤임달 부대의 일원으로서, 미션을 수행하는 건 제 소임입니다.	It's my responsibility to carry out missions as a member of the Heimdall Force.						0	
35	我没有什么好选择的。	我沒有什麼好選擇的。	選択する必要を感じません。	선택을 하라니요.	There is no choice to make. It's duty.						0	
36	分析员认为你是不可控因素，会给任务带来额外风险。	分析員認為你是不可控因素，會給任務帶來額外風險。	あなたは暴走する可能性があるから、任務に危険をもたらすと分析員は考えています。	분석가는 네가 제어를 상실하면 미션을 수행할 때 위협을 가져올 수도 있다고 하더군.	The Adjutant sees you as a rogue variable that may result in additional risk to the mission.						0	
b-9											0	
37	不是……	不是……	いや……	그게 아니라…	That's not what I...						0	
38	难道不是这样吗？	難道不是這樣嗎？	違いますか？	그 뜻이 아니면 뭐지?	Is it not?						0	
39	我知道陶的意图，却无力阻止。	我知道τ的意圖，卻無力阻止。	私はτの意図を理解したものの、止めることができなかった。	난 τ의 의도를 알고 있었지만, 그녀를 저지할 방법이 없었다.	I knew what τ was trying to do, but I could do nothing to stop her.						0	
40	为什么？！分析员？	為什麼？！分析員？	なぜだ！？分析員？	왜지?! 분석가?	Why!? Adjutant?						0	
41	是因为上次训练出现的意外吗？	是因為上次訓練出現的意外嗎？	この前のトレーニングで事故があったからか？	저번에 훈련할 때 발생한 사고 때문에 그런 거야?	Is it because of the accident during the last training session?						0	
b-10											0	
42	是。	是。	ああ。	맞아요.	Yes.						0	
44	不是。	不是。	違う。	아니요.	No.						0	
b-11											0	
43	你还需要休息一段时间。	你還需要休息一段時間。	君にはまだ休憩が必要だ。	조금 더 휴식을 취했으면 해서요.	You still need to rest.						0	
b-13											0	
45	不仅仅是因为训练的意外。	不僅僅是因為訓練的意外。	トレーニングの事故だけじゃない。	훈련할 때 있었던 일 때문만은 아니에요.	It's not just because of the training accident.						0	
b-14											0	
46	我还考虑到之前误伤队友的事故……	我還考慮到之前誤傷隊友的事故……	チームメイトを誤って傷つけた事故も含めて……	예전에 일어났던 오인 사고도 고려해서…	I also took your previous friendly fire incident into consideration...						0	
47	你不信任我？！	你不信任我？！	自分のことを信用できないのか！？	날 믿지 않는 건가?!	So you don't trust me!?						0	
