字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	别碍事……都别碍事……	別礙事……都別礙事……	邪魔よ……そこをどきなさい！	방해하지 마… 다들 물러서…	Leave me alone... Get out of my way...						0	
2	从走廊两侧涌出的敌人越来越多，一边要追赶着白光一边又要应付他们，就算是芬妮这样的天启者也难以为继。	從走廊兩側湧出的敵人越來越多，一邊要追趕著白光一邊又要應付他們，就算是芬妮這樣的天啟者也難以為繼。	通路の両側から湧いてくる敵の数は増える一方だ。球体を追いかけながらこの数の敵を相手取るには、いくらファニーのような覚醒者でも無理があった。	복도 양쪽에서 점점 더 많은 적들이 쏟아져 나왔고 페니와 같은 계시자조차도 하얀 빛을 따라잡으며 적들을 따라잡기 어려웠다.	More and more phantoms emerged in the corridor, overwhelming her as she strained to keep pace with the white light. Even a Manifestation like Fenny had her limits.						0	
3	最终，在换弹的间隙。	最終，在換彈的間隙。	結局、敵にリロードの隙を突かれた。	결국 재장전하는 사이.	Eventually, during a moment of reloading...						0	
4	嘶啊——	嘶啊——	うぐ……！	으윽…	Oww!						0	
5	被击中了肩膀，芬妮一个踉跄摔倒在地，但是那些幻影却并没有围拢上来，只是挡在她面前静静地看着她——就像一堵黑色的墙一般，将她与前方的白光隔开。	被擊中了肩膀，芬妮一個踉蹌摔倒在地，但是那些幻影卻並沒有圍攏上來，只是擋在她面前靜靜地看著她——就像一堵黑色的牆一般，將她與前方的白光隔開。	肩が撃ち抜かれ、ファニーは倒れてしまった。だが周囲の幻影達は畳み掛けてこなかった。ただファニーの前に立ちはだかり……まるで黒い壁のように、彼女とその球体を隔てるだけだ。	어깨를 맞은 페니는 비틀거리며 넘어졌지만 환영들은 에워싸지 않고 앞을 가로막으며 조용히 그녀를 바라보았다. 마치 검은 벽처럼 그녀를 앞쪽의 하얀 빛으로부터 격리시켰다.	A sharp pain in her shoulder sent her to her knees. But instead of closing in, the phantoms stood silently like a dark wall, separating her from the light.						0	
6	又想来嘲笑我吗……	又想來嘲笑我嗎……	また、そうやってあたしを笑う気なの？	또 날 조롱하는 건가…?	Mocking me again, huh...?						0	
7	芬妮用枪托住身体从地上站了起来，将枪换到左手，对准了其中一个幻影。	芬妮用槍托住身體從地上站了起來，將槍換到左手，對準了其中一個幻影。	ファニーは銃を杖替わりにして何とか立ち上がると、負傷していない左手で幻影のひとりに狙いを定めた。	페니는 총을 겨누고 땅바닥에서 일어나 왼손으로 총을 바꿔 환영 중 하나를 겨누었다.	Leveraging her rifle as support, Fenny pulled herself to her feet, then switched her grip to her left hand, taking aim at one of the phantoms.						0	
8	伴随一阵连续的枪响，面前的黑墙顷刻倒塌，但是开枪的人并非是芬妮——	伴隨一陣連續的槍響，面前的黑牆公頃倒塌，但是開槍的人並非是芬妮——	立て続けに銃声が響くとともに、目の前の黒い壁が崩壊した。けれど撃ったのはファニーではなく……	연이은 총소리와 함께 눈앞의 검은 벽이 순식간에 무너져 내렸지만, 총을 쏜 사람은 페니가 아니었다.	In a series of gunshots, the dark barrier collapsed — but Fenny hadn't yet pulled the trigger.						0	
9	辰星？为什么你会在这里？！	辰星？為什麼你會在這裡？！	辰星！？なんであんたがここに！？	수성? 네가 왜 여기 여기서 나와?!	Chenxing? What are you doing here!?						0	
10	此刻不是闲聊的时候。	此刻不是閒聊的時候。	説明している暇はありません。	지금은 잡담할 때가 아닙니다.	There's no time for small talk.						0	
11	先行一步。	先行一步。	先に行きますよ。	먼저 가볼게요.	I have to keep moving.						0	
12	喂？！	喂？！	ちょっと！？	저기?!	Hey!						0	
13	白发少女没有回答芬妮的问题，只是留下了向前而去的背影。	白髮少女沒有回答芬妮的問題，只是留下了向前而去的背影。	白髪の少女はファニーに背を向け、先を急いだ。	백발 소녀는 페니의 질문에 대답하지 않고 앞으로 나아가는 뒷모습만 남겼다.	The white-haired girl ignored Fenny's question, her figure receding into the distance.						0	
14	芬妮发出了一声苦笑。	芬妮發出了一聲苦笑。	ファニーは苦笑するしかなかった。	페니는 쓴 웃음을 지었다.	Fenny let out a wry chuckle.						0	
15	哼，原来如此，你的目标也是他啊……是啊，现在不是闲聊的时候了……	哼，原來如此，你的目標也是他啊……是啊，現在不是閒聊的時候了……	そっか……あんたもあの人を狙ってるんだ……そうね、だったら説明なんてしてる暇はないわ……	흠, 그렇구나, 네 목표도 그였구나… 그래, 지금은 잡담할 때가 아니야…	Hmph, so you're after him too... But you're right, no time for small talk now.						0	
16	芬妮扯下自己的裙摆，包扎好受伤的右手，再次迈开步伐，追逐起那一抹远去的绿色。	芬妮扯下自己的裙擺，包紮好受傷的右手，再次邁開步伐，追逐起那一抹遠去的綠色。	ファニーはスカートの裾を千切り、それを包帯代わりに右手に巻き付けると、緑色の後ろ姿を追った。	페니는 자신의 치맛자락을 잡아당기고 상처 입은 오른손을 감싼 다음 다시 걸음을 떼며 멀어져 가는 초록빛을 쫓기 시작했다.	Fenny swiftly tore a strip from her dress and used it to bandage her right hand. Without hesitation, she resumed her pursuit, in the same direction as the receding figure in green.						0	
17	但是……	但是…	しかし……	하지만…	However...						0	
18	借过，playername在等着我。	借過，playername在等我。	失礼、通させてもらうぞ。playernameが待っているからな。	실례할게, playername이(가) 기다리고 있어서 말이야.	Excuse me. playername is waiting for me.						0	
19	哎？	哎？	え？	엥?	Huh?						0	
20	又一人，从身后超过了她。	又一人，從身後超過了她。	また一人、ファニーは先を越されてしまった。	또 한 사람이 뒤에서 그녀를 앞질렀다.	Another girl hurried past her from behind.						0	
21	又来了一个……	又來了一個……	また一人……	또야…	Another one, great...						0	
22	咬紧牙关，忍着剧痛开始提速。	咬緊牙關，忍著劇痛開始提速。	ファニーは歯を食いしばり、痛みを堪えながらスピードを上げた。	이를 악물고 극심한 고통을 참으며 속도를 내기 시작했다.	Fenny hastened her steps, gritting her teeth in pain.						0	
23	先行一步喵。	先行一步喵。	先行くニャ。	먼저 앞서 간다냥.	Coming through, nya.						0	
24	为了不辜负他，一定要赢下来。	為了不辜負他，一定要贏下來。	あの人の期待に応えるために、私は勝たなければいけません。	그의 기대를 저버리지 않기 위해서는 반드시 이겨야 해.	I won't let him down. I must win.						0	
25	老师……就在前面！	老師……就在前面！	先生は……この先にいる！	선생님… 바로 앞에 계세요!	Teacher... I'm almost there!						0	
26	再快点，绝对不能被她们超过……	再快點，絕對不能被她們超過……	もっと早く……先を越されるわけには……	더 빨리, 절대 그녀들에게 추월당하면 안 돼…	I gotta hurry up. I can't lose to them...						0	
