字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	你完全没有这三年的记忆？	你完全沒有這三年的記憶？	症状として…あなたはこの3年間、全く記憶がないんですか？	최근 3년 동안의 기억이 아예 없는 건가요?	You have no memory of the past three years whatsoever?						0	
2	嗯，差不多就像睡了一觉。	嗯，差不多就像睡了一覺。	ああ。一晩眠った後みたいだ。	응. 그냥 한숨 자고 일어난 기분이야.	Yeah, it just felt like I was asleep.						0	
3	你描述的第二个症状，是经常会回想起一些陌生的记忆片段？	你描述的第二個症狀，是經常會回想起一些陌生的記憶片段？	なるほど…。次の症状ですが…「身に覚えの無い記憶がフラッシュバックする」ですか…うーん…。とにかく、一度調べてみましょうか。	두 번째 증상은 낯선 기억들이 자주 떠오른다고 하셨었고요?	The second symptom you mentioned — you often recall strange, fragmentary memories?						0	
4	我看见卡罗琳在操作台上敲击数下，冰蓝色的氟化碳液体从管道阀中潺潺涌出，逐渐充盈整个医疗舱。	我看見卡羅琳在操作台上敲擊數下，冰藍色的氟化碳液體從管道閥中潺潺湧出，逐漸充盈整個醫療艙。	カロリンはタブレットを何度かタップすると、氷のように青い液体(PFC)がパイプに沿って流れ、医療カプセルを徐々に満たしていく。	캐롤린이 콘솔을 몇 번 두드리자 푸른빛의 플루오린 액체가 밸브를 타고 조금씩 흘러나와 의료 캡슐을 천천히 채우기 시작했다.	I watched Caroline's fingers tap on the operating table as icy blue perfluorocarbon fluid sprayed out of a pipe, gradually filling up the entire medical pod.						0	
5	不要皱眉头，只是一个正常的全身扫描。	不要皺眉頭，只是一個正常的全身掃描。	ご心配なく、ただの全身スキャンですから。	그냥 평범한 전신 스캔 용도로 사용할 거니 그렇게 인상 쓸 필요는 없어요.	Don't worry. It's just a routine full-body scan.						0	
6	在一个失去控制的空间站睡了三年，你就不怕肚子里面长了点什么？	在一個失去控制的太空站睡了三年，你就不怕肚子裡面長了什麼嗎？	制御を失った宇宙ステーションで3年も眠っていたんですから、体に何が起こっていても不思議じゃないですよ？	통제 불능의 우주 정거장에서 3년 동안 잠들어 있었는데, 뱃속에 뭐가 있을지 두렵지도 않으세요?	Aren't you afraid there might be something growing in your stomach after sleeping in a rogue space station for three years?						0	
7	好了，可以躺进去了。	好了，可以躺進去了。	…よし。入って横になってください。	자, 이제 들어가서 누워보세요.	Alright, you can lie down.						0	
8	液体的触感没有想象中那么冰凉。	液體的觸感沒有想像中那麼冰涼。	液体の温度は思ったより冷たくなかった。	액체는 생각보다 차갑지 않았다.	The liquid didn't feel as cold as I imagined it would.						0	
9	我慢慢向后倒去，感受它没过我的手掌，我的肩膀，直到淹没我的鼻尖。	我慢慢向後倒去，感受它沒過我的手掌，我的肩膀，直到淹沒我的鼻尖。	私はゆっくりと後ろに横たわり、腰、肩そして鼻先まで液体に浸かっていった。	난 천천히 뒤로 누웠고, 동시에 액체가 손바닥과 어깨를 감싸며 코까지 뒤덮는 걸 느낄 수 있었다.	I slowly leaned backward, feeling the liquid crawl over my palms and shoulders before it finally swallowed the tip of my nose.						0	
10	阖上双眼后，我感受到了强烈的溺水感，不过马上又重新掌握了在液体中使用肺部进行气体交换的诀窍。	闔上雙眼後，我感受到了強烈的溺水感，不過馬上又重新掌握了在液體中使用肺部進行氣體交換的訣竅。	液体が目に入らないよう、目を閉じると身体が沈んでいく感覚が鮮明に伝わり、溺れると危惧したが液体呼吸に慣れると平静を取り戻した。	두 눈을 감자 물에 빠진듯한 느낌이 들었지만, 곧이어 액체 속에서 폐를 이용해 공기를 얻는 요령을 터득했다.	Upon closing my eyes, I felt the strong sensation of drowning. However, I immediately regained the ability to use my lungs, exchanging air for liquid.						0	
11	可以听到我说话吗？现在可以睁开眼睛了。	可以聽到我說話嗎？現在可以睜開眼睛了。	私の声が聞こえますか？目を開けていいですよ。	제 말이 들리시나요? 이제 눈은 뜨셔도 돼요.	Can you hear me? You can open your eyes now.						0	
12	声波通过两根纤细的导线传递至耳廓，我仍然能听见卡罗琳的声音。接着，我睁开了眼睛。	聲波通過兩根纖細的導線傳遞至耳廓，我仍然能聽見卡羅琳的聲音。接著，我睜開了眼睛。	2本の細いワイヤーを通じてカロリンの声が耳に届いた。おそるおそる、私は目を開ける。	음파가 두 개의 가느다란 케이블을 타고 들어와 귓가에 울려 퍼졌고, 캐롤린의 목소리가 들려왔다. 이어서 나는 눈을 떴다.	I could hear Caroline's voice being transmitted into my ears by two thin wires. Then, I opened my eyes.						0	
13	接下来我会听到“从出生到死亡，世界树公司竭诚为您服务”。	接下來我會聽到“從出生到死亡，世界樹公司竭誠為您服務”。	次に聞こえたのは、「ゆりかごから墓場まで、ユグドラシル社が貴方に真心をお届け致します」という言葉だ。	곧있으면 '태어나서 죽을 때까지 위그드라실에서 당신을 성심성의껏 모시겠습니다.'라는 말이 들려올 것이다.	The next thing I heard was, "From birth to death, Yggdrasil is here to happily serve you."						0	
14	从出生到死亡，世界树公司竭诚为您服务。	從出生到死亡，世界樹公司竭誠為您服務。	ゆりかごから墓場まで、ユグドラシル社が貴方に真心をお届け致します。	태어나서 죽을 때까지 위그드라실에서 당신을 성심성의껏 모시겠습니다.	From birth to death, Yggdrasil is here to happily serve you.						0	
15	有没有不舒服的地方？如果没有问题，就眨两下眼睛。	有沒有不舒服的地方？如果沒有問題，就眨兩下眼睛。	何か気持ち悪いところは？問題がなければ、まばたきを2回してください。	어디 불편한 곳은 없으세요? 아무 문제 없으면 눈을 두 번 깜빡여 보세요.	Any discomfort? If everything's fine, blink twice.						0	
b-2											0	
16	（用力眨两下眼睛）	（用力眨兩下眼睛）	（力を込めて2回まばたきする）	(두눈을 힘껏 깜빡인다)	(Forcefully blink twice)						0	
17	搞定，扫描开始了，不要乱动……你稍微保持一下。	搞定，掃描開始了，不要亂動……你稍微保持一下。	わかりました、スキャンを始めます。動かないで……そのままでいてください。	됐어요. 이제 스캔을 시작할 테니 움직이지 말고… 조금만 버텨보세요.	Alright, the scan has begun. Don't move... Hang in there.						0	
18	随便聊点什么？哦忘了你不能说话。	隨便聊點什麼？哦忘了你不能說話。	何か話してみてください。……ああ、あなたは今話せないんでしたね。	얘기 좀 나눌까요? 아, 지금은 말을 나눌 수 없는 상태겠군요…	Should we chat in the meantime? Oh, I forgot you can't talk.						0	
b-3											0	
19	（用力眨眼以表谴责）	（用力眨眼以表譴責）	（眉間に皺を寄せたまばたきで非難を示す）	(눈을 깜빡이며 비난의 눈빛을 보낸다)	(Forcefully blink to berate her)						0	
20	（翻白眼）	（翻白眼）	（白目を剥いてみる）	(눈을 부릅뜬다)	(Roll eyes)						0	
21	哈，哈……	哈，哈……	ふふっ……	하, 하하하…	Haha...						0	
22	……我在指挥室里看到的最后一幅画面，是你们乘坐的飞船与<snowbreak>槲寄生空间站</>成功接驳。	……我在指揮室裡看到的最後一幅畫面，是你們搭乘的飛船與<snowbreak>槲寄生太空站</>成功接駁。	……指令室で最後にあなた達の姿を確認出来たのは、<snowbreak>ヤドリギ宇宙ステーション</>と宇宙船が正常にドッキング出来た所でした。	… 지휘실에서 마지막으로 본 장면은 당신들이 탄 우주선이 <snowbreak>미스틸테인 우주정거장</>하고 성공적으로 연결되는 모습이었어요.	...The last image I saw in the command room was your spaceship successfully connecting with the <snowbreak>Mistilteinn Station</>.						0	
23	紧接着，近地轨道的所有电磁讯号都被屏蔽和干扰。	緊接著，近地軌道的所有電磁訊號都被阻斷和干擾。	その後すぐに突如として発生した電波妨害により、地球低軌道のあらゆる通信が途絶、あなた達は消息不明になりました。	그리고 나서 지구 궤도에 있는 모든 전자파가 차단되고 방해를 받았죠.	Immediately after, all low-orbit electromagnetic signals were blocked and experienced interference.						0	
24	我们尝试过营救你和你的小队，不过无一例外，都失败了。	我們嘗試過營救你和你的小隊，不過無一例外，都失敗了。	私たちはヤドリギ宇宙ステーションの回収と並行する形で、いくつもの救出作戦を決行しましたが、いずれも失敗。	저희도 구조해 보려고 갖은 시도를 다해봤지만, 예외 없이 모두 실패로 끝났어요.	We did everything we could to rescue you and your team, but we failed.						0	
25	任何航天器在接近槲寄生空间站的轨道时，都会因为各种故障坠落……	任何航天器在接近槲寄生太空站的軌道時，都會因為各種故障墜落……	ヤドリギ宇宙ステーションに接近した宇宙船は全て、原因不明の故障により墜落したのです……	어떤 우주 설비든 간에 미스틸테인 우주정거장 궤도에 진입하면 알 수 없는 고장으로 추락했거든요…	Any spacecraft that enters the Mistilteinn Station's orbit malfunctions and subsequently crashes...						0	
26	最终，<snowbreak>董事会</>被迫放弃了回收槲寄生空间站的计划。	最終，<snowbreak>董事會</>被迫放棄了回收槲寄生太空站的計畫。	其れらの結果に<snowbreak>理事会</>は、ヤドリギ宇宙ステーションの回収及び救出作戦は困難と判断、作戦放棄を余儀なくされました。	그렇게 결국 <snowbreak>이사회</>에서 미스틸테인 우주정거장 회수 계획을 포기했어요.	The <snowbreak>Board of Directors</> was ultimately forced to abandon its plan to reclaim Mistilteinn Station.						0	
27	泰坦污染很快从“初始降临点”扩散到了隔离墙外，工程部那帮家伙连夜又修了新的隔离墙……	泰坦汙染很快從“初始降臨點”擴散到了隔離牆外，工程部那幫傢伙連夜又修了新的隔離牆……	あなたが消息不明の間、タイタン汚染は「最初の降臨地」からウォールの外に急速に広がり、技術部の人達は不眠不休で新しいウォールを建て……	타이탄 오염은 '첫 강림 지점'에서 격리 장벽 밖까지 빠르게 확산됐어요. 엔지니어 부서 사람들은 밤새도록 새로운 격리 장벽을 세웠고요.	In no time, Titagen began to spread from the epicenter of the Descent to outside the Containment Wall. Our guys from the engineering department had to build a new Containment Wall overnight...						0	
28	发现脑部存在异常神经中枢。	發現腦部存在異常神經中樞。	脳に異常な神経中枢が発見されました。	뇌 부분에 이상한 신경 중추가 발견되었습니다.	Abnormal cerebral nerve center detected.						0	
29	我听见卡罗琳慌张地从椅子上站起来，好像还撞倒了智能电热水壶之类的东西。	我聽見卡羅琳慌張地從椅子上站起來，好像還撞倒了智慧電熱水壺之類的東西。	カロリンが慌てて椅子から立ち上がる音がした。隣に置いてあったスマート電気ケトルにぶつかったようだ。	캐롤린이 당황하며 의자에서 일어나는 소리가 들려왔고, 스마트 전기포트 같은 것을 부딪쳐 쓰러뜨리는 소리까지 들려왔다.	I heard Caroline stand up from her chair in a hurry, knocking over what seemed to be an electric kettle.						0	
30	异常？不会吧……不会真出什么问题吧……	異常？不會吧……不會真出什麼問題吧……	異常？まさか……本当に問題が……？	이상? 설마… 무슨 문제가 생긴 건 아니겠지…	Abnormal? No way... Could there really be something wrong...?						0	
32	拿到检测结果了，你看看这个。	拿到檢測結果了，你看看這個。	検査結果が出ました、これを確認してください。	검사 결과가 나왔는데, 한번 확인해 보세요.	Here are the test results. Take a look.						0	
b-4											0	
33	看不懂，解释一下？	看不懂，解釋一下？	理解できない、説明してくれないか？	봐도 잘 모르겠는데, 설명 좀 해줄 수 있어?	I don't understand. Could you explain?						0	
