字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1000	差点就中奖了！	差點就中獎了！	ちょ！あぶなっ！	으아… 위험했어!	Hfff... They nearly got me!						0	
1001	不太对劲，是吧？	不太對勁，是吧？	何かおかしい。	뭔가 이상한 거 같지 않아?	Something's off, right?						0	
1002	那些家伙不应该有这样的战术纪律	那些傢伙不應該有這樣的戰術紀律	奴らにこんな戦術規範があるわけない。	녀석들이 이런 전술을 갖고 있을 리 없어.	They don't normally have this discipline.						0	
1003	分析的事就让分析员去做吧！	分析的事就讓分析員去做吧！	分析の仕事は分析員に任せましょ！	분석하는 일은 분석가한테 맡기자고!	You're not telling us anything we don't know!						0	
1004	首席女武神，你打扮好了吗？该你上场了哦！	首席女武神，你打扮好了嗎？該你上場了哦！	ヴァルキリー首席、支度は宜しいかしら？出番よ！	수석 발키리, 준비됐어? 네 차례야!	When you're quite finished? Go kill them now!						0	
1005	你们……那个……手雷还有剩吗？	你們……那個……手榴彈還有剩嗎？	お前たち……手榴弾の残りは？	너희들… 혹시 남은 수류탄 있어?	Do you..any grenades?						0	
1006	你想害死我们吗！	你想害死我們嗎！	あたしたちを殺すつもり！？	죽고 싶어 환장했냐?	The hell is wrong with you?!						0	
1007	分析员，在有必要的情况下，你可以接管我的指挥权	分析員，在有必要的情況下，你可以接管我的指揮權	分析員、必要な状況なら、私から指揮権を引き継いで。	분석가, 필요하다면 네가  대신 지휘해도 좋아.	You're ready, Adjutant. When there's a need, you can give orders in my name.						0	
1008	我相信你的判断	我相信你的判斷	お前の判断を信じる。	난 너의 판단을 믿어.	You have good judgment.						0	
1009	我也一样！	我也一樣！	あたしも！	나도!	She's not wrong!						0	
