字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0				游艇靠岸后，在无人机的指引下，我们逐一踏上了这座人工建造的大型浮岛。	0	
2		0				然而回头望去，却发现空荡荡的甲板上还留着一个人。	0	
3		0				不知为何，略显乏力的凯茜娅正独自一人倚靠在栏杆上，一双翠青的瞳孔也失去了往日的神采。	0	
4		0				自打从新恒提罗回来后，她偶尔就会像这样，望着天空发呆……	0	
5		0	分析员			身体不舒服吗？	0	
6		6	凯茜娅泳装			嗯？没有，只是想再吹吹风而已，老实说，我还没习惯像这样优哉游哉的度假，有一种脱离了现实的荒诞感……	0	
7		6	凯茜娅泳装			另外从这个高度，可以隐隐约约看到酒店的顶端哦。	0	
8		0	分析员			嗯，你也注意到了吗？那个酒店的外观是仿照瓦尔基里会场的<snowbreak>白蜡高台</>建的。	0	
9		0	凯茜娅泳装			当然，除此之外，这里还有挺多设施都是仿照过去会场风格建造的吧。	0	
10		0				回过神来的凯茜娅冲着我笑了笑，随后一个闪身，瞬移到了我的身边。	0	
11		6	凯茜娅泳装			不过，我不太喜欢太高的地方。	0	
12		0				高高扎起的马尾左右摇摆，她故意迈着略显慵懒的步伐，伸着懒腰与我擦身而过。	0	
13		0				但很明显，她心里似乎正压着什么……	0	
14		6	凯茜娅泳装			说来也奇怪，这里怎么全是无人机，一个活人都没有……	0	
15		0	分析员			以我之前的经验，再往前走走就能遇到会说人话的家伙了。	0	
16		6	凯茜娅泳装			之前的经验……	0	
17		0	分析员			别担心，跟着我走就是了。	0	
18		0				不过我暂时也不打算继续追问下去，至少现在并不是适合追问的时候。	0	
19		0				结果没走多远我们便在酒店正门发现了三个娇小的身影——	0	
20		0	分析员			你们为什么会在这里？	0	
21		6	安卡希雅泳装			既然你诚心诚意地发问了。	0	
22		6	芙提雅泳装			那么就让胸襟广阔的小老师大发慈悲地告诉你。	0	
23		9	安卡希雅泳装			“胸襟广阔”这句是多余的。	0	
24		9	卡罗琳			……	0	
25		6	芙提雅泳装			知道啦，知道啦，快接上快接上……	0	
26		6	安卡希雅泳装			为了防止分析员卷入不必要的纷争。	0	
27		6	芙提雅泳装			为了守护分析员健硕的好身体。	0	
28		6	安卡希雅泳装			贯彻爱与真实的正义。	0	
29		6	芙提雅泳装			可爱又精致的场外角色。	0	
30		6	安卡希雅泳装			安卡希雅。	0	
31		4	芙提雅泳装			胸襟广阔的芙提雅老师。	0	
32		6	安卡希雅泳装			我们是海姆达尔最公正的裁定者。	0	
33		4	芙提雅泳装			湿漉漉，咸咸的海风在召唤着我们。	0	
34		6	卡罗琳			完全不是这样的！	0	
35		6	猫汐尔泳装			喵。	0	
b-1	b-1	0					0	
36	b-1-1	0	分析员			果然~	0	
37	b-1-1-0	5	卡罗琳			果然什么……	0	
38	b-1-1-1	4	安卡希雅泳装			这里是捏他宝**（不能说的词）里**（不能说的词）队的台词。	0	
39	b-1-1-2	5	卡罗琳			抱歉啊，平时不关注这些的我和你们格格不入了。另外……	0	
40	b-1-2	0				话说卡罗琳你的泳装呢？	0	
41	b-1-2-0	6	卡罗琳			你这问题是不是问得有些太过直白些了……人家好歹也是个女孩子……	0	
42	b-1-2-1	0	分析员			但我其实还挺期待的。	0	
43	b-1-2-2	6	卡罗琳			是……是吗，但我明明没有什么看点吧……那么小，还那么平……	0	
44	b-1-2-3	9	羽蜕泳装			没关系的，分析员什么类型都能接受~再说，女孩的魅力可不光光只看大小哦。	0	
45	b-1-2-4	6	卡罗琳			这话由恩雅姐说出来还真没说服力……真是的，话题都被你们带偏了。	0	
46	b-1-3	0				你们这么早就到了吗？	0	
47	b-1-3-0	4	芙提雅泳装			因为要提前准备一些东西嘛。	0	
48	b-1-3-1	5	安卡希雅泳装			同时，也是为了给你一个惊喜。你看，女孩子数量增加了哦。	0	
49		2	卡罗琳			咳咳，playername不是问我们为什么会在这里吗？	0	
50		1	安卡希雅泳装			那是因为我们是这次比赛的裁判组。	0	
51		3	芙提雅泳装			秉持着绝对中立的角度，来为大家评分~	0	
52		1	安卡希雅泳装			下面就由卡罗琳来为你们介绍一下这次比赛的流程与规则吧。	0	
53		0				语毕，安卡希雅便退向了后处。而卡罗琳则捧起了一个半米高的纸盒，走到了我们面前。	0	
54		0	卡罗琳			首先，根据抽签结果，两队将先后被分配到三关风格迥异的闯关挑战中去。	0	
55		0	卡罗琳			每关除了分析员外，只限定一人参与，而我们也会根据每关的完成情况为你们打分。	0	
56		0	分析员			也就是说我一个人要参加六关闯关挑战？	0	
57		6	卡罗琳			没错，可能要辛苦一下分析员了。	0	
58		0	分析员			不，其实也没有多辛苦。老实说如果只有区区六关，我还觉得有点少了。	0	
59		6	卡罗琳			咳嗯，不要高兴得太早，每关关底的大礼盒中还藏着一项趣味挑战。	0	
60		6	卡罗琳			与之前的闯关挑战不同，趣味挑战需要全组合作完成，完成后也能获得相应的额外分。	0	
61		6	卡罗琳			以上，就是本次比赛规则的简要说明。接下来，那就请两队各先派出一个代表，参与第一轮比试的抽签与挑战。	0	
62		6	安卡希雅泳装			至于两队的先后顺序嘛……就依据分析员早上第一个见到的人来定。	0	
63		1	悖谬泳装			这么说……是我们优先？	0	
64		3	莫尔索悖谬			那当然咯~	0	
65		3	猫汐尔泳装			茉莉安，做得好喵。	0	
66		2	茉莉安泳装			那么……我先去打头阵吧。	0	
67		0				茉莉安深吸了一口气，随后将手伸进了卡罗琳捧着的纸盒中。	0	
68		6	茉莉安泳装			滚石派对？分析员，我抽到了这个。	0	
69		0				接过茉莉安递来的纸条思索片刻。然而，面对这个抽象的名字，我也没什么头绪。	0	
70		6	羽蜕泳装			那么接下来就到我们了吧~我们这边该派谁先去呢。	0	
71		0	凯茜娅＆辰星			哼，就让我来……\N还请允许由我……	0	
72		0				同时迈步向前的两人一时间愣在了原地。	0	
73		6	凯茜娅泳装			算了……就先让辰星去吧，我正好先观察一轮。	0	
74		0				片刻过后，凯茜娅收回了伸出的手，笑着退到了一边。	0	
75		6	辰星泳装			我们这边的结果也出来了。	0	
76		0	辰星泳装			护送大挑战……是要去护送什么吗？	0	
77		6	羽蜕泳装			都是些很模糊的名字呢……	0	
78		6	卡罗琳			放心，一会儿会再做详细说明的，与其在这里长篇大论说一通，不如直接到现场看看？	0	
79		0				卡罗琳好似早就料到了大家的反应，她翻了翻手中拿着的电子计分板，随后便转身登上游艇，冲着我们做了个跟上的手势。	0	
80		6	茉莉安泳装			分析员，那我们……	0	
81		0				我一把牵过身旁茉莉安的手，登上了游艇。	0	
82		0	分析员			我知道，就让我们来为大家开个好头是吧？	0	
