字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
shop1.Name	常规物资	常規物資	通常物資	일반 물자	Regular Supply						0	
shop2.Name	定时刷新	定時更新	時限式リセット	자동 리셋	Refresh Time						0	
shop3.Name	手动刷新	手動更新	手動リセット	수동 리셋	Manual Refresh						0	
shop4.Name	限时商店	限時商店	期間限定ショップ	기간 한정 상점	LTO Shop						0	
shop5.Name	兑换商店	兌換商店	交換ショップ	교환 상점	Exchange Shop						0	
shop6.Name	比特节点	比特節點	ビットノード	비트 노드	Bit-node						0	
shop7.Name	分解交易	分解交易	分解取引	분해 상점	Decomposition Lab						0	
shop8.Name	商场8	商場8	ショッピングセンター8	쇼핑센터8	Shop 8						0	
shop9.Name	商场9	商場9	ショッピングセンター9	쇼핑센터9	Shop 9						0	
shop10.Name	活动商店	活動商店	イベントショップ	이벤트 상점	Event Shop						0	
shop11.Name	角色兑换	角色兌換	隊員交換	캐릭터 교환	Operative Exchange						0	
shop12.Name	后勤人事	後勤人事	後方支援	지원 인력	Logistics Officers						0	
shop13.Name	人事部门	人事部門	人事部	인사팀	HR Department						0	
shop14.Name	禁区探索	禁區探索	禁域調査	금지 구역 탐사	Unknown Expedition						0	
shop15.Name	循环中心	循環中心	循環センター	교환 상점	Circulation Hub						0	
shop16.Name	地下清理	地下清理	地下清掃	지하 클리닝	Underground Purge						0	
shop17.Name	精神拟境	精神擬境	ニューロンシミュレーション	가상 시뮬레이션	Neural Simulation						0	
shop18.Name	数据百货	數據百貨	データデパート	데이터 상점	Data Resource						0	
shop19.Name	时装商店	時裝商店	衣装ショップ	스킨 상점	Outfit Shop						0	
shop20.Name	精选嘉奖	精選嘉獎	至極褒美	선정 보상	Selected Rewards						0	
shop21.Name	优质配给	優質配給	佳良配給	프리미엄 배급	Quality Rationing						0	
shop22.Name	武器置换	替換武器	武器置換	무기 교환	Weapon Exchange						0	
shop23.Name	甄选好物	甄選好物	特選逸品	페이버릿 픽	Choice Products						0	
shop24.Name	精英后勤人事	精英後勤人事	エリート後方支援	엘리트 지원 인력	Elite Logistics Officers						0	
shop25.Name	惠享武器置换	惠享武器置換	お得武器置換	무기 교환 혜택	Fortune Weapon Exchange						0	
shop26.Name	配件补给	配件補給	パーツ補給	부품 보급	Weapon Parts Supplies						0	
shop27.Name	战备好物	戰備好物	戦備アイテム	장비 아이템	Combat Cosmetics						0	3.5月卡商店细分
shop28.Name	私享好物	私享好物	オススメ私物	개인 아이템	Personal Moments						0	3.5月卡商店细分
shop29.Name	社交好物	社交好物	チャット小物	소셜 아이템	Social Expressions						0	3.5月卡商店细分
shop30.Name	装扮好物	裝扮好物	おしゃれ品	장식 아이템	Adjutant Apparel						0	3.5月卡商店细分
shop31.Name	超元链接										1	3.7新增超元链接常驻商店
shop.weaponpart	配件工坊	配件工坊	パーツ工房	부품 공방	Parts Workshop						0	
shop.weaponpart01	冲锋枪配件	衝鋒槍配件	サブマシンガン用パーツ	기관단총 부품	Submachine Gun Parts						0	
shop.weaponpart02	霰弹枪配件	霰彈槍配件	ショットガン用パーツ	산탄총 부품	Shotgun Parts						0	
shop.weaponpart03	狙击枪配件	狙擊槍配件	スナイパーライフル用パーツ	저격총 부품	Sniper Rifle Parts						0	
shop.weaponpart04	步枪配件	步槍配件	アサルトライフル用パーツ	소총 부품	Rifle Parts						0	
shop.weaponpart05	手枪配件	手槍配件	ピストル用パーツ	피스톨 부품	Pistol Parts						0	
shop.giftpackage	后勤接口	後勤接口	後方支援インターフェース	지원 인터페이스	Logistics Interface						0	
shop.giftpackage01	常规封包	常規封包	通常パッケージ	일반 패키지	Regular Packet						0	
shop.giftpackage02	定制申请	訂製申請	カスタマイズ申請	주문 제작 신청	Customized Application						0	
shop3.GroupName	活动兑换	活動兌換	イベント交換	이벤트 교환	Event Exchange						0	
shop4.GroupName	循环中心	循環中心	循環センター	교환 상점	Circulation Hub						0	
shop5.GroupName	兑换商店	兌換商店	交換ショップ	교환 상점	Exchange Shop						0	
shop6.GroupName	商城组6	商城組6	ショップグループ6	상점 그룹6	Group 6						0	
shop7.GroupName	商城组7	商城組7	ショップグループ7	상점 그룹7	Group 7						0	
shop8.GroupName	商城组8	商城組8	ショップグループ8	상점 그룹8	Group 8						0	
shop9.GroupName	商城组9	商城組9	ショップグループ9	상점 그룹9	Group 9						0	
shop10.GroupName	商城组10	商城組10	ショップグループ10	상점 그룹10	Group 10						0	
shop1.GroupName1	特供商品	特供商品	スペシャル商品	이벤트 상품	Exclusive						0	
shop1.GroupName2	货币兑换	貨幣兌換	通貨交換	화폐 교환	Exchange						0	
shop1.GroupName3	商城组1商场3	商城組1商場3	ショップグループ1ショッピングセンター3	상점 그룹1 쇼핑센터3	Group 1 Mall 3						0	
shop2.GroupName1	商城组2商场1	商城組2商場1	ショップグループ2ショッピングセンター1	상점 그룹2 쇼핑센터1	Group 2 Mall 1						0	
shop2.GroupName2	商城组2商场2	商城組2商場2	ショップグループ2ショッピングセンター2	상점 그룹2 쇼핑센터2	Group 2 Mall 2						0	
shop2.GroupName3	商城组2商场3	商城組2商場3	ショップグループ2ショッピングセンター3	상점 그룹2 쇼핑센터3	Group 2 Mall 3						0	
shop3.GroupName1	商城组3商场1	商城組3商場1	ショップグループ3ショッピングセンター1	상점 그룹3 쇼핑센터1	Group 3 Mall 1						0	
shop3.GroupName2	商城组3商场2	商城組3商場2	ショップグループ3ショッピングセンター2	상점 그룹3 쇼핑센터2	Group 3 Mall 2						0	
shop3.GroupName3	商城组3商场3	商城組3商場3	ショップグループ3ショッピングセンター3	상점 그룹3 쇼핑센터3	Group 3 Mall 3						0	
shop4.GroupName1	商城组4商场1	商城組4商場1	ショップグループ4ショッピングセンター1	상점 그룹4 쇼핑센터1	Group 4 Mall 1						0	
shop4.GroupName2	商城组4商场2	商城組4商場2	ショップグループ4ショッピングセンター2	상점 그룹4 쇼핑센터2	Group 4 Mall 2						0	
shop4.GroupName3	商城组4商场3	商城組4商場3	ショップグループ4ショッピングセンター3	상점 그룹4 쇼핑센터3	Group 4 Mall 3						0	
shop5.GroupName1	A配件	A配件	武器パーツA	A 부품	Part A						0	
shop5.GroupName2	B配件	B配件	武器パーツB	B 부품	Part B						0	
shop5.GroupName3	C配件	C配件	武器パーツC	C 부품	Part C						0	
test_shop.GroupName1	补给商店										1000	
shop.PaySuccess	支付成功	付款成功	決済成功	결제 완료	Payment successful						0	
shop.PayFail	支付失败	付款失敗	決済失敗	결제 실패	Payment failed						0	
shop.PayCancel	用户取消支付	使用者取消付款	お支払いはユーザーによりキャンセルされました	결제 취소	User has canceled the payment						0	
shop.PayProgress	支付中，请稍后	付款中，請稍候	決済中。しばらくお待ちください	결제 중, 잠시만 기다려 주십시오	Payment is being processed. Please wait						0	
shop.PayOthers	支付其他信息	付款其他訊息	その他	기타 결제 정보	Other payment info						0	
mall	商城	商城	ショップ	상점	Store						0	
mall.GroupName1	推荐	推薦	おすすめ	추천	Recommended						0	
mall.Name1	比特金兑换	比特金兌換	ビットゲルマ	비트 코인	BitGold						0	
mall.Name2	数据金兑换	數據金兌換	デジギボス	디지털 코인	DigiCash						0	
mall.Name3	补给箱	補給箱	補給箱	보급 상자	Supply Chests						0	
mall.Name4	时装	時裝	衣装	스킨	Outfit						0	
mall.Name5	员工惠利	員工福利	従業員割引	직원 복지	Employee Benefit						0	
mall.Name6	跃升补给	躍升補給	昇進補給	진급 보상	Breakthrough Supply						0	
mall.Name7	限时补给箱	限時補給箱	時限補給箱	한정 보급 상자	Limited-Time Supply						0	
mall.Name8	日常补给箱	日常補給箱	デイリー補給箱	상시 보급 상자	Daily Supply						0	
