字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
page1.1	安卡希雅，没想到你还专门准备了一间——	安卡希雅，沒想到你還專門準備了一間——	まさか専用の部屋まで用意していたとはな、アカシア。	아카시아, 이렇게 방까지 따로 준비했을 줄은…	Acacia, I didn't expect you to set aside an entire section—						0	3.5版本多诺巅峰对决剧情
page1.2	鹰视聚焦王牌。	鷹視聚焦王牌。	ワフー！鷹の視線でエースロックオン☆	매의 눈으로 에이스 포착.	With the eyes of a hawk, you seize the perfect hand.						0	3.5版本多诺巅峰对决剧情
page1.3	心绪运筹棋盘！	心緒運籌棋盤！	胸の中の作戦、ぜんぶこの盤上で動かすんだよ！	마음으로 전략을 짤 거예요!	With a clear mind, you command the board!						0	3.5版本多诺巅峰对决剧情
page1.4	势运皆由你心。	勢運皆由你心。	流れも運も、あんたの心ひとつ。	대결의 흐름과 행운은 네 마음 먹기 나름이야.	Fortune and victory alike bend to your will.						0	3.5版本多诺巅峰对决剧情
page1.5	指尖搅弄战局~	指尖攪弄戰局~	この指先で、戦局まるごとかき回して差し上げますね〜	손끝으로 전장을 휘저어 드리죠~	And with a flick of your fingers, you rule the duel!						0	3.5版本多诺巅峰对决剧情
page1.6	我，安卡希雅，以旧日归来之人、苏醒者、恒约伴侣及游戏掌控者的身份在此为亲爱的举办“多诺卡入坑仪式”！	我，安卡希雅，以舊日歸來之人、甦醒者、恆約伴侶及遊戲掌控者的身分在此為親愛的舉辦「多諾卡入坑儀式」！	このアカシア。旧時代からの覚醒者、誓約のパートナー兼ゲームマスターとして、あなたの「DOROカードの沼儀式」をここに開く！	나, 아카시아, 과거에서 돌아온 존재이자 소생한 자, 언약의 동반자이자 게임의 지배자로서 자기를 위해 '도노 카드 입문식'을 개최할게!	I, Acacia — traveler from a bygone era, the awakened, your Covenant partner, and the sovereign of this game — Hereby declare the commencement of your official Dono card initiation, darling!						0	3.5版本多诺巅峰对决剧情
page1.7	欢迎进入《多诺-巅峰对决》的发烧友世界！	歡迎進入《多諾-巔峰對決》的發燒友世界！	「DORO・頂上決戦」の世界へ、ようこそ！	<도노-듀얼 매치>의 마니아 세계에 온 걸 환영해!	Welcome to the captivating world of Dono Duel!						0	3.5版本多诺巅峰对决剧情
page1.8	又搞了这么大阵仗……	又搞了這麼大陣仗……	またずいぶん大掛かりなことを用意したものだな。	또 일을 크게 벌였네…	This seems like a lot of preparation, you sure it's really necessary...?						0	3.5版本多诺巅峰对决剧情
page1.9	这是旧时代里很重要的仪式感。	這是舊時代裡很重要的儀式感。	これはね、旧時代ではすごく大事な「儀式感」なんだ。	구시대에서는 이런 감성이 얼마나 중요한데.	It's all for the sense of ceremony. That's really important in the old days.						0	3.5版本多诺巅峰对决剧情
page1.10	就像打电玩要准备好泡面薯片；洗澡前要下载好喜欢的新番；拉亲爱的入坑多诺卡，也要有专门的仪式。	就像打電玩要準備好泡麵洋芋片；洗澡前要下載好喜歡的新番；帶親愛的入坑多諾卡，也要有專門的儀式。	ゲーム前にカップ麺とポテチ用意したり、お風呂前に新作アニメ落としたりするでしょ？DOROカードにあなたを沼らせるにも、ちゃんと儀式が要るの。	게임하기 전에 컵라면이랑 감자칩을 준비한다거나, 목욕 전에 좋아하는 애니를 다운받는 것처럼, 자기를 도노 카드에 입덕시키려면 특별한 의식이 필요하다고.	It's like having instant noodles and chips when you're gaming, or having your favorite anime ready before a relaxing bath. If I'm introducing Dono cards to you, I'm going to do it right.						0	3.5版本多诺巅峰对决剧情
page1.11	好不容易有这次机会，必须要隆重一些，所以我就把仪式感拉满了。	好不容易有這次機會，必須要隆重一些，所以我就把儀式感做足了。	やっと回ってきたチャンスだし、盛大にやらなきゃでしょ。だから今回は儀式感フルパワーってわけ。	이런 기회는 잘 오지 않으니, 성대하게 준비해야지. 그래서 분위기를 좀 살려봤어.	It wasn't easy getting this opportunity, so it had to go all out and make it a total spectacle.						0	3.5版本多诺巅峰对决剧情
page1.12	你看，这整间屋子、包括所有的机器，都是我跟公司专门申请的。	你看，這整間屋子、包括所有的機器，都是我跟公司專門申請的。	見て、この部屋も機材もぜんぶ、私が会社に直談判して取ったんだ。	봐, 이 방하고, 여기 있는 기계 모두 특별히 회사에 신청해서 받은 거야.	Look, I got special permission from the company to use this entire room, along with every single machine here.						0	3.5版本多诺巅峰对决剧情
page1.13	少女自豪地向我介绍着旧日的卡牌游戏，脸上的神情不是留恋，而满是想要分享的幸福。	少女自豪地向我介紹著舊日的卡牌遊戲，臉上的神情不是留戀，反而滿是想要分享的幸福。	少女は誇らしげに昔のカードゲームのことを語る。その横顔には郷愁ではなく、誰かと分かち合えることの幸せだけが浮かんでいた。	자랑스럽게 과거의 카드 게임을 소개하는 소녀의 얼굴은 미련이 아닌, 함께 나누고 싶은 마음에서 우러나는 행복으로 가득했다.	She proudly introduced the old card game. Her expression wasn't nostalgic, but overflowing with the joy of wanting to share something precious.						0	3.5版本多诺巅峰对决剧情
page1.14	不过我没想到，你还请来这么多“入坑见证人”，你到底是怎么说服她们做那些动作的……	不過我沒想到，你還請來這麼多「入坑見證人」，你到底是怎麼說服她們做那些動作的……	それにしても、こんなに「沼の証人」まで呼ぶとはな。あのポーズまで取らせるなんて、どうやって口説いたのだ？	그래도 '입문식 증인'을 이렇게 많이 초대할 줄은 몰랐는데. 대체 저런 동작은 어떻게 설득해서 하게 한 거야…	Still, I didn't expect you to invite so many "witnesses to my initiation." How did you even get them to do all these poses...?						0	3.5版本多诺巅峰对决剧情
page1.15	哇呼~是安卡希雅专门拜托米娅过来的呢~	哇呼~是安卡希雅專門拜託米婭過來的呢~	ワフー〜、ミアね、アカシアに直でお願いされて来たんだよ〜	와후~ 아카시아가 미아한테 특별히 부탁했지~	Wahoo~ Acacia specifically asked me to come over~						0	3.5版本多诺巅峰对决剧情
page1.16	我终于知道了！原来不止安卡希雅，其他天启者也会一边念出帅气台词，一边摆出pose呢~	我終於知道了！原來不止安卡希雅，其他天啟者也會一邊唸出帥氣台詞，一邊擺出Pose呢~	ついに分かったし！カッコいいセリフ叫びながらポーズ決めるの、アカシアだけじゃなくて他の覚醒者もみーんなやってんのね〜	이제 알겠어! 아카시아뿐만 아니라, 다른 계시자도 멋진 대사를 외치면서, 동작을 취할 수 있다는 걸~	Now I get it! It's not just Acacia. The other Manifestations also say cool lines when they do their poses~						0	3.5版本多诺巅峰对决剧情
