字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
999_1		0	？？？			别来管我！	0	
999_2		6	琴诺悖谬			唔嗯！	0	
999_3		0				琴诺向着泰坦伸出的手被一道刀光斩断。	0	
999_4		0				纵使早已满身裂纹，巨大的白色泰坦依旧不愿屈服于另一个自己。	0	
999_5		0				那个与自己一样固执却又温柔的自己……	0	
999_6		0	？？？			我要……我要带他回来，我要用纯白之神的力量……	0	
999_7		0	？？？			修正过去的一切！！！！	0	
999_8		0				权杖向着琴诺落下，那是可以足以斩断一切情感与过去的穿心一击。	0	
999_9		0				只要将她贯穿，只要将自己贯穿……	0	
999_10		0				便能抵达他所在的地方。	0	
999_11		0				但是——	0	
999_12		0	？？？			？！	0	
999_13		0	琴诺悖谬			哎……	0	
999_14		0				正如琴诺所言，他并不需要那样残酷而又冷漠的救赎。	0	
999_15		0				在黑白两人之间，飘散的粒子突然构成一道灰色的幻影。宛若一面无形的盾。抬手间，抵御了这绝望的一击。	0	
b-5	b-5	0					0	
999_16	b-5-1	0				再坚持一会……琴诺……	0	
999_17		0				虽然幻影在留下那令人安心的微笑后便消散了，但同时也带走了那具束缚着莫尔索的白色躯壳。	0	
999_18		0				琴诺心领神会地点了点头，然后走向了黑发的女孩。	0	
1		0	琴诺悖谬			我们还是第一次像这样面对面吧……	0	
2		0	莫尔索悖谬			嗯……我也是第一次看到自己这个样子。	0	
3		0	琴诺悖谬			莫尔索已经冷静下来了，对吧？	0	
4		0	莫尔索悖谬			啊……是你赢了，琴诺。那个成天哭哭啼啼的胆小鬼，不知不觉间已经可以仅凭自己的力量，战胜了身为怪物的我……	0	
5		0	琴诺悖谬			莫尔索才不是怪物！	0	
6		0	莫尔索悖谬			嘿嘿嘿，连嗓门也变大了吗？	0	
7		5	琴诺悖谬			……	0	
8		4	莫尔索悖谬			听好了琴诺，现在危机还没有解除。虽说我暂时从泰坦中分离出来了，但那些已经活性化的泰坦物质并没有消散……	0	
9		4	莫尔索悖谬			身为“核心”的我，随时都有可能和茧再次融合并释放出更多的污染物。届时，估计就连地表都会受到影响吧。	0	
10		5	琴诺悖谬			嗯……	0	
11		4	莫尔索悖谬			那么……履行最后的约定吧。	0	
12		0				接下来，就由我来背负所有的不幸与苦难。	0	
13		0				而你，琴诺，你就去追寻属于自己的救赎。	0	
14		0				然后，等到你寻找到“真正的救赎”后……再将染满血污的我……	0	
15		0				彻底抹除吧。	0	
16		4	琴诺悖谬			要我抹除……莫尔索……	0	
17		5	莫尔索悖谬			别误会了，并不是要你杀死我，而是让我解脱。而且，我本来就只是你多出来的人格而已吧。	0	
18		6	莫尔索悖谬			一直以来，都是我在替你这个胆小鬼承担各种各样的痛苦……	0	
19		6	莫尔索悖谬			我受够了……	0	
20		0	琴诺悖谬			莫尔索……	0	
21		6	莫尔索悖谬			每次和大家逛街的总是你，每次得到分析员的表扬的总是你。	0	
22		6	莫尔索悖谬			只有我一直在杀戮，杀戮，杀戮，杀戮，杀戮，杀戮，杀戮，杀戮。	0	
23		6	莫尔索悖谬			不停地杀戮后，变成众人眼中的怪物……	0	
24		6	莫尔索悖谬			算我求求你了，这是我最后的愿望。	0	
25		6	莫尔索悖谬			我不想再伤害任何人了，让这一切都结束吧，琴诺……你也该坚强起来了吧。	0	
26		6	琴诺悖谬			我明白了……我明白了，莫尔索……	0	
27		0				白发的少女颤颤巍巍地举起枪，对准了另一个自己。	0	
28		0				“总算……要结束了。”	0	
29		0				“我将完成自己的使命，前往那个世界。”	0	
30		0				“……对不起，琴诺。”	0	
31		0				“这就是身为不幸化身的我，能够给出的……”	0	
32		0				“充满恶意的……\N唯一解法。”	0	
33		0				“只是，如此一来我又该如何面对他呢？”	0	
34		0				耳边传来了水花发出的回响。	0	
