字符串索引	中文简体	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	disable	Remark
skin10001	融月流金	0	
skin10001_des	朔州地区限定发售涂装，以当地某著名节日为主题，纹样考究，极为精致奢华	0	
skin10001_use	通过供应站购买获得	0	
skin10002	春携良缘	0	
skin10002_des	朔州人非常喜欢在春季之初将家中装点上红色装饰以祈求幸福良缘，连武器也不例外	0	
skin10002_use	通过供应站购买获得	0	
skin10003	忠诚之勋	0	3.1枪皮
skin10003_des	古朴传统的骑士元素作为视觉主题，跨越时空连接了古今两个时代的武者精神	0	3.1枪皮
skin10003_use	通过供应站购买获得	0	3.1枪皮
skin10004	铂金密信	0	3.1枪皮
skin10004_des	纯粹而坚定的信念，总会得体地穿越乱流、突破障碍，直达目标	0	3.1枪皮
skin10004_use	通过供应站购买获得	0	3.1枪皮
skin10005	清波储备	0	3.2枪皮
skin10005_des	夏日限定发售的涂装，令人安心的超大储备量，是清凉感的来源	0	3.2枪皮
skin10005_use	通过供应站购买获得	0	3.2枪皮
skin10006	冬愿银装	0	3.4枪皮
skin10006_des	星祈节限定发售的涂装，象征着星祈节的新生与祝福	0	3.4枪皮
skin10006_use	通过供应站购买获得	0	3.4枪皮
skin10007	爱语明釉	0	3.5枪皮
skin10007_des	象征着美好、永恒的爱，如同少女最初许下的誓言	0	3.5枪皮
skin10007_use	通过供应站购买获得	0	3.5枪皮
skin10008	约束禁律	0	3.7枪皮
skin10008_des	诠释了新涂装理念——适当的约束也是一种独特的浪漫	0	3.7枪皮
skin10008_use	通过供应站购买获得	0	3.7枪皮
			
			
skin20001	拒绝加班	0	
skin20001_des	由海姆达尔部队知名狙击手肴代言的狙击枪涂装设计，据说代言费非常高昂	0	
skin20001_use	通过供应站员工惠利获得	0	
skin20003	熊熊突击	0	
skin20003_des	多处醒目的毛绒熊装饰，只有一个目的——更加更加更加可爱！	0	
skin20003_use	通过供应站购买获得	0	
skin20004	爱彻青空	0	
skin20004_des	从设计上融合了“自由向往”和“安全守则”的理念，毕竟安全是自由飞翔的前提	0	
skin20004_use	通过供应站购买获得	0	
skin20005	清凉公式	0	
skin20005_des	以水上娱乐项目为主题的涂装，视觉上有着十足的跃动感	0	
skin20005_use	通过供应站购买获得	0	
skin20006	紫晶盛放	0	3.2枪皮
skin20006_des	参考了上世纪末的一些流行绘图手法，绽放瞬间的喜悦感呼之欲出	0	3.2枪皮
skin20006_use	通过供应站购买获得	0	3.2枪皮
skin20007	赤玫臻言	0	3.4枪皮
skin20007_des	玫瑰代表着最炙热的爱意，圣洁的外表下含着最真诚的愿景	0	3.4枪皮
skin20007_use	通过供应站购买获得	0	3.4枪皮
skin20008	花影映爱	0	3.7枪皮
skin20008_des	这并非一次普通的涂装设计，而是对爱的显形表达，萦绕的花瓣象征着真挚热烈爱意	0	3.7枪皮
skin20008_use	通过供应站购买获得	0	3.7枪皮
			
skin30001	全糖蜜令	0	
skin30001_des	最近在年轻群体中非常受欢迎的艳丽涂装，经常被当做情侣之间相赠的礼物	0	
skin30001_use	通过供应站购买获得	0	
skin30002	未来心跳	0	
skin30002_des	灵感源自著名科幻作品，前卫的造型和时尚的流光，使其成为年轻群体追捧的商品	0	
skin30002_use	通过供应站购买获得	0	
skin30004	澈海之约	0	
skin30004_des	以海洋生物为主题元素，是某市立海洋馆与涂鸦艺术家的联名之作，以此呼吁年轻一代保护海洋	0	
skin30004_use	通过供应站购买获得	0	
skin30005	豹豹饱饱	0	
skin30005_des	模拟冰雪配色，以幼小的猛兽形象为主题，容易让人联想到冬季雪原，但其实一年四季在售	0	
skin30005_use	通过供应站购买获得	0	
skin30006	危甜信号	0	
skin30006_des	俏皮灵动的涂装设计，宛如可爱的装饰品，似乎是想平衡一下原本的危险气质。	0	
skin30006_use	通过供应站购买获得	0	
skin30007	聆听本真	0	
skin30007_des	以让人联想到美好回忆的元素为设计主题的复古涂装，或许在提示着战斗的意义。	0	
skin30007_use	通过供应站购买获得	0	
skin30008	深林微光	0	
