字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	推进大挑战游戏结束，两位选手最终得分——4.5分，恭喜恭喜~	推進大挑戰遊戲結束，兩位選手最終得分——4.5分，恭喜恭喜~	推進チャレンジ、無事終了しました！得点は～……4.5点です！おめでとうございま～す！	게임이 종료되었습니다, 두 선수의 최종 스코어는 4.5점입니다, 축하드립니다~	Exciting Escort has come to an end. The contestants have received a score of 4.5 points. Congratulations~						0	
2	还差0.5分满分……抱歉，都是因为我走神了一小会儿……	還差0.5分滿分……抱歉，都是因為我恍神了一下……	あと0.5点あれば満点なのに……申し訳ございません。私がボーッとしていたせいで……	만점까지 0.5점이 부족하군요… 이게 다 제가 잠시 딴생각을 해서 그런 거예요, 정말 죄송해요…	We were just 0.5 away from a perfect score... Sorry. It's all because I zoned out for a minute...						0	
3	小问题而已，别给自己那么大压力。	小問題而已，別給自己那麼大壓力。	大丈夫だ。そんなに責任を感じるな。	별거 아니니 너무 스트레스받지 마세요.	It's not a big deal. Don't be so hard on yourself.						0	
4	能否在分析员面前保持定力，也是考验的一环。	能否在分析員面前保持定力，也是考驗的一環。	分析員の前で冷静さを保つのも試練の一環だよ～。	분석가 앞에서 자제력을 유지할 수 있을지도 시험의 일부야.	Keeping your composure in front of the Adjutant is difficult in its own right.						0	
5	是吗……不过我确实已经许久没有像今日这般，与分析员一同尽兴玩耍了。	是嗎……不過我確實已經許久沒有像今日這般，與分析員一同盡興玩耍了。	そうなんですか……それにしても、確かに今日みたいに分析員と一緒に遊ぶのは久しぶりですね。	그런가요… 근데 생각해 보니 아주 오랫동안 오늘처럼 이렇게 분석가님과 함께 놀아본 적이 없는 거 같아.	Really...? Well, I guess I haven't had fun with you like that in a long time, Adjutant.						0	
6	拾起礼盒中的卡片，少女轻轻拈起湿透的鬓发，将其挽向耳后。	拾起禮盒中的卡片，少女輕輕拈起濕透的鬢髮，將其挽向耳後。	ギフトボックスからカードを拾い上げると、少女は濡れた髪を耳にかけた。	상자 속의 카드를 주워 들고, 소녀는 젖은 머리를 귀 뒤로 살짝 넘겼다.	As she pulled a card from the giftbox, the girl softly tucked her wet hair behind her ear.						0	
7	然而回首的瞬间——	然而回首的瞬間——	しかし、彼女が振り向いた瞬間——	그리고 고개를 돌리는 그 순간…	However, the second she turned around...						0	
8	分析员，你的身体……	分析員，你的身體……	分析員、体が……	분석가님, 몸이…	Adjutant, you...						0	
9	水珠沿着白皙的脖颈滑落，一抹浅浅的薄红浮现，手中的卡片也随之滑落到了我的脚边。	水珠沿著白皙的脖頸滑落，一抹淺淺的薄紅浮現，手中的卡片也隨之滑落到了我的腳邊。	彼女の白い首から雫が滑り落ちて、薄い赤色が浮かび上がった。彼女が持っていたカードも私の足元に落ちてしまった。	물줄기가 새하얀 목덜미를 타고 내려왔고, 약간의 홍조가 떠오르며 손에 들려있던 카드도 나의 발끝으로 떨어졌다.	Beads of water slid down the contours of her pale neck as a red tinge bloomed on her cheeks. The card she had been holding then fell to my feet.						0	
10	哇！变得湿漉漉的了。	哇！變得濕漉漉的了。	わっ！濡れちゃった。	와! 젖었잖아.	Whoa! He's all wet!						0	
11	这一组的剧情小孩别看。	這一組的劇情小孩別看。	年齢制限のあるシーンだから子どもは見ちゃダメだよ。	이번 스토리, 어린애들은 보면 안 될 거 같군.	Only adults are allowed to watch this team.						0	
12	唔！！安卡希雅干嘛捂住我的眼睛。	唔！！安卡希雅幹嘛摀住我的眼睛。	あっ！！なんで私の目を塞ぐんだよ、アカシア！	윽!! 아카시아, 내 눈은 왜 가리는 거야.	Wha—!! Acacia, why are you covering my eyes?						0	
13	绕过耳边叽叽喳喳的嬉闹声，顺着绵绵秋水般的视线，我低头一看。	繞過耳邊嘰嘰喳喳的嬉鬧聲，順著綿綿秋水般的視線，我低頭一看。	耳元で騒ぐ声を無視して、私は彼女の視線に合わせて自分の体を見下ろした……	난 들려오는 시끌벅적한 소리와 수많은 끈적한 시선이 느껴져 고개를 숙였다.	Ignoring all of the chatter around me, I followed her unbroken, auburn line of sight, looking down at myself.						0	
14	哈……原来如此。	哈……原來如此。	ああ、なるほど……。	하… 이것 때문이었군.	Hah... I see.						0	
15	氤氲水汽中，沾满水的衣服紧贴皮肤，将我的身形勾勒得一览无余。	氤氳水汽中，沾滿水的衣服緊貼皮膚，將我的身形勾勒得一覽無遺。	水を吸った服が肌に張り付き、私の体のラインがくっきりと見えてしまっているじゃないか。	자욱한 수증기 속, 물기를 머금은 옷이 피부에 달라붙었고, 나의 몸매가 훤히 드러나고 있었다.	My wet clothes clung to my skin amidst the watery mist, perfectly tracing my body for everyone to see.						0	
16	……需要我找些衣物替你遮一下吗？	……需要我找些衣物替你遮一下嗎？	……ふ、服を、かけましょうか？	…뭐라도 가릴 걸 좀 가져다 줄까요?	...Do you need me to find something to cover you up with?						0	
17	少女嘴上这么说着，但是视线却没有挪动分毫。	少女嘴上這麼說著，但是視線卻沒有挪動分毫。	そう言いつつも、少女の視線はしっかりこちらに向けられている。	소녀는 말만 그렇게 하고, 시선은 전혀 움직일 생각이 없었다.	Though she said this, her gaze didn't waver for a second.						0	
18	要不要我再摆个Pose？	要不要我再擺個別的Pose？	それより、ポーズを取って見せようか？	포즈라도 좀 취해줄까요?	Should I pose a little?						0	
19	我弯腰拾起地上的趣味挑战卡片别在腰间，随后脱下了自己的上衣。	我彎腰拾起地上的趣味挑戰卡片別在腰間，隨後脫下了自己的上衣。	私はユニークチャレンジのカードを拾い上げて、ズボンのゴムで挟むと、自分の上着を脱いだ。	허리를 숙여 보너스 챌린지 카드를 허리춤에 두고, 상의를 벗었다.	I bent down, grabbed the fun challenge card off the ground, and tucked it into my waistband before pulling off my shirt.						0	
20	啊——	啊——	あっ……	아…	Ah—						0	
21	原来只是围在腰上……	原來只是圍在腰上……	こ、腰に巻くんですね……	그냥 허리춤에 두는 거였구나…	Oh, the shirt is still hanging on his waist...						0	
22	见我并没有做出预想中大胆的举动，辰星只得失落地低下了头。	見我並沒有做出預想中大膽的舉動，辰星只得失落地低下了頭。	予想していた大胆な動きじゃなかったせいか、辰星は失望したように肩を落とした。	자신이 상상했던 대담한 동작을 하지 않자, 수성은 실망한 듯 고개를 숙였다.	When she saw I didn't make the daring move she'd expected, Chenxing could only lower her head with disappointment.						0	
23	只是，尽管她想努力掩饰，却依旧盖不住脸上的那抹绯红。	只是，儘管她想努力掩飾，卻依舊蓋不住臉上的那抹緋紅。	ただ、いくら隠そうとしても、彼女の赤い頬は見え見えだ。	그녀는 최대한 숨기려고 노력했지만, 붉게 물든 얼굴은 숨길 수가 없었다.	Despite her best attempts to conceal her flushed cheeks, it was no use.						0	
24	不过很快，她似乎又想起了什么，噗嗤一笑着，低声喃喃自语道。	不過很快，她似乎又想起了什麼，噗嗤一笑著，低聲喃喃自語。	けれどすぐに、何か思い出したみたいに、彼女はくすりと笑ってから、こう呟いた。	하지만 이내 갑자기 무언가가 생각난 듯 웃음을 터뜨리며 무언가를 중얼거렸다.	But it seemed as if she had a thought soon after. She smiled, talking to herself under her breath.						0	
