字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
jigsawpuzzle_ui1	{1}/适格阶段一	{1}/適格階段一	{1}　段階1	{1}/퍼즐 1단계	{1} - Phase 1						0	DLC3.3适格启忆录
jigsawpuzzle_ui2	{1}/适格阶段二	{1}/適格階段二	{1}　段階2	{1}/퍼즐 2단계	{1} - Phase 2						0	DLC3.3适格启忆录
jigsawpuzzle_ui3	{1}/适格阶段三	{1}/適格階段三	{1}　段階3	{1}/퍼즐 3단계	{1} - Phase 3						0	DLC3.3适格启忆录
jigsawpuzzle_ui4	心流数据不足，可前往任意玩法消耗感知获取	心流資料不足，可前往任意玩法消耗感知獲取	心音データが不足しています。センスを消費して入手してください	마음 데이터가 부족합니다. 임의의 콘텐츠에서 감지를 소모하여 획득할 수 있습니다.	Insufficient Heartsync Disks. Consume Presence in any gameplay to earn more.						0	DLC3.3适格启忆录
jigsawpuzzle_ui5	剩余心流碎片不足	剩餘心流碎片不足	思いの欠片が不足しています	남은 기억의 조각이 부족합니다.	Insufficient Memory Fragments						0	DLC3.3适格启忆录
jigsawpuzzle_ui6	已获取全部心流碎片	已獲取全部心流碎片	思いの欠片をすべて獲得しました	모든 기억의 조각을 획득했습니다.	All Memory Fragments have been obtained						0	DLC3.3适格启忆录
jigsawpuzzle_ui7	相邻位置没有其他心流碎片，或该碎片不处于四周边缘位置，无法拼合	相鄰位置沒有其他心流碎片，或該心流碎片不處於四周邊緣位置，無法拼合	隣接する位置に他の思いの欠片がない、またはこの欠片がパズルの端にいないため、組み合わせることができません	인접한 위치에 기타 기억의 조각이 없거나, 기억의 조각이 가장자리에 없어서 조각들을 맞출 수 없습니다.	This Memory Fragment cannot be placed as it has no adjacent fragments or isn't on the edge of the puzzle						0	DLC3.3适格启忆录
jigsawpuzzle_ui8	当前没有能拼合的心流碎片	當前沒有能拼合的心流碎片	組み合わせ可能な思いの欠片はありません	현재 맞출 수 있는 기억의 조각이 없습니다.	No Memory Fragments can be placed right now						0	DLC3.3适格启忆录
jigsawpuzzle_ui9	再消耗<span color="#8581e4">{1}</>感知可获得1份心流数据，活动结束后，未消耗的心流数据将被清空	再消耗<span color="#8581e4">{1}</>感知可獲得1份心流資料，活動結束後，未消耗的心流資料將被清空	センスを<span color="#8581e4">{1}</>消費すると、心音データを1つ獲得。未使用の心音データはイベント終了後に消滅。	<span color="#8581e4">{1}</> 감지를 더 소모하면 마음 데이터를 1개 획득할 수 있습니다. 이벤트 종료 후 소모하지 않은 마음 데이터는 회수됩니다.	Consume <span color="#8581e4">{1}</> Presence in any gameplay to obtain 1 Heartsync Disk. Unused disks clear after event.						0	DLC3.3适格启忆录
jigsawpuzzle_ui10	本期可获取的心流数据已达上限。活动结束后，未消耗的心流数据将被清空	本期可獲取的心流資料已達上限。活動結束後，未消耗的心流資料將被清空	今期獲得できる心音データの上限に達している。未使用の心音データはイベント終了後に消滅。	이번 시즌에 획득할 수 있는 마음 데이터가 상한에 도달하였습니다. 이벤트 종료 후 소모하지 않은 마음 데이터는 회수됩니다.	Maximum Heartsync Disks reached for this phase. Unused disks clear after event.						0	DLC3.3适格启忆录
jigsawpuzzle_ui11	适格启忆录	適格啟憶錄	思いの彼方	메모리 모자이크	Memory Mosaic						0	DLC3.3适格启忆录
jigsawpuzzle_ui12	尽显锋芒的分析员之刃，身着特制战术套装【霆光】凌厉登场！活动期间可直接邀请少女入队，收集【晴-霆光】的心流碎片，还可获得满改造武器【鸣雷戒律】、专属定制后勤【碧空小队】、专属武格驱动道具等丰厚奖励。	盡顯鋒芒的分析員之刃，身著特製戰術套裝【霆光】凌厲登場！活動期間可直接邀請少女入隊，收集【晴-霆光】的心流碎片，還可獲得滿改造武器【鳴雷戒律】、專屬訂製後勤【碧空小隊】、專屬武格驅動道具等豐厚獎勵。	分析員の最強の刃である晴が、特製の戦術装備【雷光】を纏い、勢いよく登場！\nイベント期間中、【晴-雷光】を無料で小隊に迎えられる！思いの欠片を集めると、アウクトゥスをフル起動するアイテム・専属特注版の後方支援「碧空チーム」・フル進化分の武器「雷鳴の戒律」を獲得可能！	눈부신 분석가의 칼날이 맞춤 제작한 전술 슈트 [라이코]를 장착하고 등장합니다! 이벤트 기간 동안 소녀를 바로 초대할 수 있으며, [하루-라이코]의 기억의 조각을 수집하면 최대 개조 무기 [천둥의 법칙], 전용 커스텀 지원 소대 [천공 소대], 전용 아욱투스 드라이브 풀 활성화 아이템 등 푸짐한 보상을 획득할 수 있습니다.	The Adjutant's fierce blade-wielder returns in full force, clad in her exosuit Raikou! During the event period, invite [Haru - Raikou] to your squad! Collect Haru - Raikou's Memory Fragments to obtain rewards such as her fully-modified weapon "Thunderlaw," signature logistics "Aozora Squad," and exclusive Auctus Drive items!						0	DLC3.3适格启忆录
jigsawpuzzle_ui13	尚未拥有角色，是否立即邀请入队？	尚未擁有角色，是否立即邀請入隊？	隊員をまだ所持していません。今すぐチームに招待しますか？	아직 캐릭터를 보유하지 못했습니다. 지금 바로 팀에 초대하시겠습니까?	You don't have this operative yet. Invite her to your squad now?						0	DLC3.3适格启忆录
jigsawpuzzle_ui14	从容率性的神秘猫猫，身着新制战术套装【莲驱】悄然登场喵……\n活动期间可直接邀请少女入队，收集【猫汐尔-莲驱】的心流碎片，可获得满改造武器、专属定制后勤、专属武格驱动道具等丰厚奖励。	從容率性的神秘貓貓，身著新制戰術套裝【蓮驅】悄然登場喵……\n活動期間可直接邀請少女入隊，收集【貓汐爾-蓮驅】的心流碎片，可獲得滿改造武器、專屬訂製後勤、專屬武格驅動道具等豐厚獎勵。	自由で気ままなミステリーネコちゃん、新しい戦術装備【蓮】を纏って、サイレント登場！…ニャ\nイベント期間中、【マーシル-蓮】を無料で小隊に迎えられる！思いの欠片を集めると、アウクトゥスをフル起動するアイテム・専属特注版の後方支援・フル進化分の武器を獲得可能！	느긋하고 자유로운 신비의 고양이가 맞춤 제작한 전술 슈트 [로터스]를 장착하고 등장한다냥…\n이벤트 기간 동안 소녀를 바로 초대할 수 있으며, [캣 시에라-로터스]의 기억의 조각을 수집하면 최대 개조 무기, 전용 커스텀 지원 소대, 전용 아욱투스 드라이브 아이템 등 푸짐한 보상을 획득할 수 있습니다.	The composed and enigmatic Mauxir unfurls gracefully in her new exosuit Lotus...\nDuring the event period, invite Mauxir - Lotus to your squad! Collect her Memory Fragments to obtain rewards such as fully modified weapon, signature logistics squad, and exclusive Auctus Drive items!						0	DLC3.4适格启忆录
jigsawpuzzle_ui15	尽显锋芒的分析员之刃，身着特制战术套装【霆光】凌厉登场！活动期间可直接邀请【晴-霆光】入队！	盡顯鋒芒的分析員之刃，身著特製戰術套裝【霆光】凌厲登場！活動期間可直接邀請【晴-霆光】入隊！	分析員の最強の刃である晴が、特製の戦術装備【雷光】を纏い、勢いよく登場！\nイベント期間中、【晴-雷光】を無料で小隊に迎えられる！	눈부신 분석가의 칼날이 맞춤 제작한 전술 슈트 [라이코]를 장착하고 등장합니다! 이벤트 기간 동안 [하루-라이코]를 바로 파티로 초대할 수 있습니다!	The Adjutant's fierce blade-wielder returns in full force, clad in her exosuit Raikou! During the event period, invite [Haru - Raikou] to your squad!						0	DLC3.6适格启忆录
jigsawpuzzle_ui16	晴-霆光（追忆）	晴-霆光（追憶）	晴-雷光（追憶）	하루-라이코(회상)	Haru - Raikou (Rerun)						0	DLC3.6适格启忆录
jigsawpuzzle_ui17	芙提雅-炬芯	芙提雅-炬芯	フリティア-トーチライト	프티야-스파크 드라이브	Fritia - Sparkdrive						0	DLC3.6适格启忆录
jigsawpuzzle_ui18	乐观执著的天才科学家，身着特制战术套装【炬芯】热忱登场！活动期间可直接邀请少女入队，收集【芙提雅-炬芯】的心流碎片，还可获得满改造武器【磁流效应】、专属定制后勤【奇点小队】、专属武格驱动道具等丰厚奖励。	樂觀執著的天才科學家，身著特製戰術套裝【炬芯】熱忱登場！活動期間可直接邀請少女入隊，收集【芙提雅-炬芯】的心流碎片，還可獲得滿改造武器【磁流效應】、專屬訂製後勤【奇點小隊】、專屬武格驅動道具等豐厚獎勵。	楽観的で粘り強い天才科学者フリティアが、特製の戦術装備【トーチライト】を纏い、勢いよく登場！\nイベント期間中、【フリティア-トーチライト】を無料で小隊に迎えられる！思いの欠片を集めると、アウクトゥスをフル起動するアイテム・専属特注版の後方支援「特異点チーム」・フル進化分の武器「エレクトリック」を獲得可能！	낙관적이면서도 집요한 천재 과학자가 맞춤 제작한 전술 슈트 [스파크 드라이브]를 장착하고 등장합니다! 이벤트 기간 동안 소녀를 바로 초대할 수 있으며, [프티야-스파크 드라이브]의 기억의 조각을 수집하면 최대 개조 무기 [자성의 흐름], 전용 커스텀 지원 소대 [특이점 소대], 전용 아욱투스 드라이브 풀 활성화 아이템 등 푸짐한 보상을 획득할 수 있습니다.	The optimistic and determined genius scientist makes a shining return in her exosuit Sparkdrive! During the event period, invite [Fritia - Sparkdrive] to your squad! Collect her Memory Fragments to obtain rewards such as her fully-modified weapon "Magnetic Flow," signature logistics "Singularity Squad," and exclusive Auctus Drive items!						0	DLC3.6适格启忆录
jigsawpuzzle_ui19	乐观执著的天才科学家，身着特制战术套装【炬芯】热忱登场！活动期间可直接邀请【芙提雅-炬芯】入队！	樂觀執著的天才科學家，身著特製戰術套裝【炬芯】熱忱登場！活動期間可直接邀請【芙提雅-炬芯】入隊！	楽観的で粘り強い天才科学者フリティアが、特製の戦術装備【トーチライト】を纏い、勢いよく登場！\nイベント期間中、【フリティア-トーチライト】を無料で小隊に迎えられる！	낙관적이면서도 집요한 천재 과학자가 맞춤 제작한 전술 슈트 [스파크 드라이브]를 장착하고 등장합니다! 이벤트 기간 동안 [프티야-스파크 드라이브]를 바로 파티로 초대할 수 있습니다!	The optimistic and determined genius scientist makes a shining return in her exosuit Sparkdrive! During the event period, invite [Fritia - Sparkdrive] to your squad!						0	DLC3.6适格启忆录
jigsawpuzzle_vo1	我这就去加训，绝不能拖分析员后腿。	我這就去加訓，絕不能拖分析員後腿。	今すぐ特訓に戻る。分析員の足を引っ張るわけにはいかない。	지금 바로 훈련을 더 하러 가야겠어. 절대로 분석가의 발목을 잡아선 안 되니까.	I’m adding more training. I can't ever let myself slow you down, Adjutant.						0	DLC3.3适格启忆录
jigsawpuzzle_vo2	要为分析员斩断更多的阻碍。	要為分析員斬斷更多的阻礙。	分析員のために、もっと断ち切らねば。	분석가를 위해서, 더 많은 장애물을 베어내겠어.	I will cut down even more obstacles for you, Adjutant.						0	DLC3.3适格启忆录
jigsawpuzzle_vo3	请回应我吧，藏锋二型。	請回應我吧，藏鋒二型。	応えてくれ、蔵鋒二式。	응답하라, 히든 블레이드 Type.II.	Heed my call, Absconditus Lux.						0	DLC3.3适格启忆录
jigsawpuzzle_vo4	不论是怎样的阴谋，我都会和分析员一起面对。	不論是怎樣的陰謀，我都會和分析員一起面對。	どんな罠だろうと、分析員と共に立ち向かうのみ。	그 어떤 음모라도, 분석가와 함께 맞설게.	Whatever schemes lie ahead, we will face them together, Adjutant.						0	DLC3.3适格启忆录
jigsawpuzzle_vo5	我要变得比任何人都强……	我要變得比任何人都強……	誰よりも、強くならねば……	누구보다 강해져야만 해…	I will become stronger... stronger than anyone.						0	DLC3.3适格启忆录
jigsawpuzzle_vo6	还需要用剑刃，带去更多希望的光芒。	還需要用劍刃，帶去更多希望的光芒。	この剣で、もっと多くの希望をもたらさねば。	검날을 빌려, 희망의 빛을 더 많이 전하겠어.	This blade will shine as a beacon, bringing hope to more.						0	DLC3.3适格启忆录
jigsawpuzzle_vo7	“藏锋二型”的新力量，一定还远不止此。	「藏鋒二型」的新力量，一定還遠不止於此。	「蔵鋒二式」の力は、まだまだこんなものじゃない。	 '히든 블레이드 Type.II'의 새로운 힘은 여기서 그치지 않을 거야.	The power of Absconditus II... there’s still so much more! I can feel it!						0	DLC3.3适格启忆录
jigsawpuzzle_vo8	和分析员一样，去贯彻自己的意志……	和分析員一樣，去貫徹自己的意志……	分析員のように、自分の意志を貫いていきたい。	분석가처럼, 나의 의지를 관철하겠어…	I will follow my conviction... The same way you do, Adjutant.						0	DLC3.3适格启忆录
jigsawpuzzle_vo9	尽情见证……我作为剑刃的决意吧。	盡情見證……我作為劍刃的決意吧。	見届けろ、「剣」として生きる覚悟を。	검날이 되기로 한 나의 결의를… 마음껏 지켜봐 줘.	Please witness... my resolve as your blade.						0	DLC3.3适格启忆录
jigsawpuzzle_item1	心流碎片	心流碎片	思いの欠片	기억의 조각	Memory Fragment						0	DLC3.3适格启忆录
jigsawpuzzle_item2	闪耀心流碎片	閃耀心流碎片	輝く思いの欠片	눈부신 기억의 조각	Shiny Memory Fragment						0	DLC3.3适格启忆录
jigsawpuzzle_item3	心流数据	心流資料	心音データ	마음 데이터	Heartsync Disk						0	DLC3.3适格启忆录
