字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	空灵，寂静，针落可闻。	空靈，寂靜，針落可聞。	狭くて、針が落ちても聞こえそうなほど静まり返った空間で。	공백, 정적, 고요함의 극치.	The atmosphere was intangible and silent, quiet enough to hear a pin drop.						0	
2	少女将身体蜷缩在精致考究的椅子里，用双手抱住双膝，直直地盯着地面。	少女將身體蜷縮在精緻考究的椅子裡，用雙手抱住雙膝，直直地盯著地面。	少女は精巧に作られた椅子の上で縮こまり、腕で膝を抱きしめながら、地面を睨んでいた。	소녀는 정교한 의자 속에 몸을 웅크린 채, 두 손으로 무릎을 껴안고 땅바닥을 빤히 쳐다보았다.	The girl was curled up in an exquisite chair. Her arms hugged her legs as she stared straight at the floor.						0	
3	在一束顶光的直射下，她抬起头，看向了与自己隔桌相对的一团黑影。	在一束頂光的直射下，她抬起頭，看向了與自己隔桌相對的一團黑影。	彼女の上に光が落ちると、少女は顔を上げて、向こうの席に座っている黒い影を見つめ……	천장에서 내려오는 한 줄기 조명 아래, 그녀는 고개를 들어 탁자 너머 마주 보이는 검은 그림자를 바라보았다.	Bathed in light from the ceiling, she raised her head and gazed at the dark shadow seated across the table.						0	
4	然后，开始了梦呓一般的讲述。	然後，開始了夢囈一般的講述。	独り言のように語りだした。	그리고 잠꼬대 같은 이야기를 시작했다.	Then she began to speak as if she was trapped in a dream.						0	
5	一年前……对，差不多就是一年前。	一年前……對，差不多就是一年前。	一年前……そう。ちょうど一年前よ。	1년 전… 맞아, 거의 1년 전이야.	It was a year ago... yeah, almost a year ago.						0	
6	我记得那是个阴天，没太阳，雾蒙蒙的。你裹得像个粽子，他……他也没好到哪儿去，缩在那个已经摔变形了的逃生舱里，还呆头呆脑的。	我記得那是個陰天，沒太陽，霧濛濛的。你裹得像個粽子，他……他也沒好到哪裡去，縮在那個已經摔變形了的逃生艙裡，還呆頭呆腦的。	どんよりとした曇りの日だった。あんたと彼はお団子みたいにくるまってる恰好で、ボロボロの脱出ポッドの中に縮こまって、呆然と座っていたわよね。	내 기억으로는 흐린 날씨였어, 안개가 자욱했지. 넌 꽁꽁 싸맸고, 그… 그 사람도 크게 다르진 않았어. 그는 이미 찌그러진 탈출선에 멍하니 웅크리고 있었지.	I remember it was a cloudy day. There was no sun, and it was foggy. You were wrapped up like a rice dumpling. He... wasn't any better off. He was all loopy, holed up in a beat-up escape pod.						0	
7	你知道吗，虽然在很多事情上我都一直输你一头，啊……当然了，后来人多起来了，在有些事情上也不只输给你一个。	你知道嗎，雖然在很多事情上我都一直輸你一頭，啊……當然了，後來人多起來了，在有些事情上也不只輸給你一個。	今まで、いろんなことであんたに負けてきたわね……まあ、部隊の人が増えてから、他の人にも負けることが増えたけど。	그거 알아, 많은 데서 내가 항상 너한테 뒤처지지만, 아… 물론, 나중에는 사람이 많아져서, 어떤 일에서는 너한테만 뒤처지는 것도 아니지만.	You know, even though I've lost to you so many times... Ah... of course, when there were more people later on, I didn't only lose to you...						0	
8	但有一件事我却对自己很有信心，一直有，而且一直能赢。	但有一件事我對自己很有信心，一直有，而且一直能贏。	でも、絶対的な自信を持ってることがあるの。あんたには確実に勝てるってね。	하지만 한 가지는 항상 이길 수 있다는 자신감에 차 있었어.	But there's one thing I'm completely confident in. I've always had it, and no one can compete with it.						0	
9	衣品。	衣品。	それが、服のセンスよ。	바로 패션 감각이야.	My sense of fashion.						0	
10	……也不知道是不是因为这个世界实在太寡淡了，还是我自己本来就太渴望光鲜，喜欢一直把自己打扮得……闪耀一点？夺目一点？	……也不知道是不是因為這個世界實在太寡淡了，還是我自己本來就太渴望光鮮，喜歡一直把自己打扮得……閃耀一點？奪目一點？	……この世界を彩りたいともあって、元から自分を輝かせるのが好きで、前々から、人の視線を惹くようなファッションが好きだったの。	…이 세상이 너무 무미건조해서인지, 아니면 내가 애초에 화려함을 갈망하고 있어서, 나 자신을 계속… 조금 더 빛나고, 돋보이게 꾸미고 싶은 것인지 모르겠어.	...I don't know if it's because this world is too bland, or maybe I'm just obsessed with glamor, but I like to wear things that make me look... radiant? More eye-catching?						0	
11	用从头到脚的每一个细节，去撑起一个骄傲的模样来……好像这样就能让自己打起精神来，去对抗所有的一切。	用從頭到腳的每一個細節，去撐起一個驕傲的模樣來……好像這樣就能讓自己打起精神來，去對抗所有的一切。	頭から爪先まで、生意気ファッションにするのよ。そうすれば、どんな事でも立ち向かえるような気がしたから。	머리부터 발끝까지의 모든 디테일로, 자랑스러운 모습을 구현해 나가는 거야… 그러면 정신을 차리고 모든 것에 대항할 수 있을 것 같아.	I make sure every single detail, from head to toe, contributes to a look I can be proud of... I think it helps cheer me up. I feel like I can face anything.						0	
12	狮子……他们是这样形容我的，对吧？	獅子……他們是這樣形容我的，對吧？	そうやってあたしがライオンって呼ばれてるのも知っていたわ。	라이언… 그들은 나를 이렇게 표현해, 그렇지?	Lioness... that's how they describe me, right?						0	
13	哼，莫名其妙地就有了这么一个外号，但我只见过电子影像投射出来的，真正的狮子摸起来是什么手感，到现在我都不清楚。	哼，莫名其妙地就有了這麼一個外號，但我只看過電子影像投射出來的，真正的獅子摸起來是什麼手感，到現在我都不清楚。	ふん……そんなあだ名、いつ付いたのかも知らないけど。ライオンなんてホログラフの中でしか見たことないし、どんな感触なのかも知らない。	흥, 어쩌다 보니 이런 별명이 붙었지만, 홀로그램으로 투영된 것만 봤을 뿐 진짜 사자를 만지면 어떤 촉감인지 지금도 잘 몰라.	Hmph, it somehow caught on as a nickname, but I've only ever seen electronic projections. I don't even know what a real lion feels like.						0	
14	你知道吗，他曾经答应我，说早晚要找一头真的狮子来让我动手摸一摸。	你知道嗎，他曾經答應我，說早晚要找一頭真的獅子來讓我動手摸一摸。	そしたらアイツが、いつか本当のライオンを触らせてあげるって言ったのよ。	너 알아? 그 사람이 언젠가 진짜 사자를 찾아서 만져보게 해주겠다고 약속했거든.	You know something? He once promised me he'd find a real lion for me to touch someday.						0	
15	说什么……只要见过了，我就会知道自己在他人眼里到底是个什么样子。还说那样就能让我更坚定自己的本心本性，从小女孩儿变成……	說什麼……只要見過了，我就會知道自己在他人眼裡到底是個什麼樣子。還說那樣就能讓我更堅定自己的本心本性，從小女孩變成……	本物に触れてみれば、自分が他人からどう見られているかを見直せるって、そしたら、女の子から、大人に……	뭐… 만나보면 내가 남들 눈에 어떻게 비쳤는지 알 수 있다고 그러더라고. 그러면 내가 내 마음과 성격을 더 확고히 해서, 어린 소녀에서 다른 모습으로 변할 수 있다고…	What did he say again...? "When you see it, you'll know how others view you." He also said it would make me more determined to be my authentic self, and I'd change from a little girl into a...						0	
16	真是胡说八道……本小姐怎么可能会在乎别人的眼光！更何况，我难道还需要从一个已经灭绝了的动物身上学到点什么吗……	真是胡說八道……本小姐怎麼可能在乎別人的眼光！更何況，我還需要從一個已經滅絕了的動物身上學到點什麼嗎……	まったく、ふざけたことばっかり……！あたしが人にどう思われていようが、そんなの気にするわけないでしょ！？しかも、すでに絶滅した動物から学ぶだなんて！	말도 안 되는 소리… 이 몸이 남의 시선을 의식할 리가 있겠어? 더군다나 멸종된 동물에게서 뭘 배운다고…	It's nonsense... Why would I care about what anyone else thinks of me? Besides, what could I possibly learn from an extinct animal...						0	
17	骗子，笨蛋，满嘴跑火车……	騙子，笨蛋，滿嘴跑火車……	アホ、嘘つき、でたらめばっかり！……	거짓말쟁이, 멍청이, 입만 열면 헛소리…	He's a dummy, a liar, and full of it...						0	
18	一开始还很木讷，老实，碰上那些喜欢欺负他的王八蛋，就只会温吞犹豫，摆出一副任人宰割的模样，也不知道是在顾虑什么。	一開始還很木訥，老實，碰上那些喜歡欺負他的王八蛋，就只會溫吞猶豫，擺出一副任人宰割的模樣，也不知道是在顧慮什麼。	いっつもアホ面をしてるかと思えば、変に融通が利かないところがあるし、嫌がらせをされても分かってるのか分かってないのか、ほんと何を考えてるのかサッパリなんだから。	처음엔 그저 무뚝뚝하고 얌전하기만 했어. 그를 괴롭히기 좋아하는 녀석들을 만나도 그저 고분고분 당하기만 하고, 도대체 무슨 생각인지 모르겠다니까.	At first, he was super dull and honest. When people tried to take advantage of him, he was too gentle. I don't even know what he was hesitant about.						0	
19	害得我整天担心他，变着花样儿哄着他……明明照单全收就好了，偏偏却还要退缩，若即若离的……	害得我整天擔心他，變花樣來哄著他……明明照單全收就好了，偏偏卻還要退縮，若即若離的……	あたしがどれだけ心配して、構ってあげてたと思ってるのよ……その好意だってありがたく受け取っていればいいのに、どっちつかずでモタモタしてさ……	그래서 내가 온종일 그를 걱정하고, 온갖 방법으로 그를 달래줬지… 내가 해주는 걸 넙죽 받아먹으면 되는데, 또 하필 뒤로 한 발짝 물러나곤 해…	I couldn't stop worrying about him, and I tried a bunch of ways to make him open up... He could have just gone along with it, but he pulled away and was really distant...						0	
20	真是一想起来就让本小姐火大！	真是一想起來就讓本小姐火大！	思い出すだけで腹が立つわ！	정말 생각만 해도 이 몸을 화나게 하네!	Just thinking about it pisses me off!						0	
21	后来可倒好，相处的日子久了，本性暴露了，原来从始至终他什么都清楚明白！该对人下手的时候一点都不含糊。	後來可倒好，相處的日子久了，本性暴露了，原來從頭到尾他什麼都清楚明白！該對人下手的時候一點都不含糊。	そのくせ最初から最後までお見通しなのよ。それがあいつの本性なの！手を下す時はまったく躊躇しないんだから！	그런데 나중에는 말이지, 오래 지내다 보니 본성이 다 드러나는 거야. 알고 보니 그는 처음부터 끝까지 다 꿰뚫고 있었던 거야! 손을 써야 할 땐 전혀 주저하지 않더라고.	But after we spent a lot of time together, his real personality came out. It turned out he knew exactly what was going on the whole time! He was completely certain when it was time to take action against someone.						0	
22	好勇斗狠，睚眦必报，一个大男人每天藏着一万个心眼儿……活的又累又拧巴。	好勇鬥狠，睚眥必報，一個大男人每天藏著一萬個心眼……活的又累又彆扭。	負けず嫌いで、やられたらやり返すし、大の男のくせして一日中あれこれ考えてばかりで……辛気臭いったらないわ。	용감하게 맞서 싸우고, 작은 원한이라도 반드시 갚고, 사내대장부가 맨날 얼마나 많은 꾀를 숨기고 있는지… 참 고달프고도 불편하게 살아간다니까.	He's fierce and vengeful. A man conceals countless thoughts in a single day... Living like that is exhausting and twisted.						0	
23	实在看不下去了想替他出头，他倒好，宁可自己再多受些委屈，也要先跑过来拦住我。	實在看不下去了想替他出頭，他倒好，寧可自己再多受些委屈，也要先跑過來攔住我。	見かねてこっちが代わりに文句を言ってやろうとしたら、今度は自分の不利益を承知であたしを止めようとして来るのよ。	내가 보다 못해 대신 나서려고 하면, 그는 자신이 더 억울한 일을 당할지언정 먼저 달려와서 나를 말리곤 해.	I couldn't take it anymore. I wanted to stand up for him, but he'd rather continue suffering, and he came over to stop me.						0	
