字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
richmanlove_qaevent_q_01	请问管理新恒提罗的超级计算机的名称是？	請問管理新恆提羅的超級電腦的名稱是？	ニューガントラを管理するスーパーコンピュータの名称は？	뉴헨틸로를 관리하는 슈퍼컴퓨터 이름은?	What's the name of the supercomputer that manages New Hentiro?						0	
richmanlove_qaevent_q_02	请问在新恒提罗前来接待分析员一行人的莱瓦汀成员是？	請問在新恆提羅前來接待分析員一行人的萊瓦汀成員是？	ニューガントラで分析員一行を迎えに来た「レーヴァテイン」のメンバーは？	뉴헨틸로에 분석가와 일행을 맞이하러 온 레바틴 멤버는?	Who's the Laevatain member who greeted the Adjutant and the operatives in New Hentiro?						0	
richmanlove_qaevent_q_03	请问里芙在新恒提罗去的疗养基地名称是？	請問里芙在新恆提羅去的療養基地名稱是？	ニューガントラでリフが行った療養基地の名称は？	리브가 뉴헨틸로에서 갔던 요양기지 이름은?	What's the name of the treatment center that Lyfe went to in New Hentiro?						0	
richmanlove_qaevent_q_04	请问新恒提罗最高的建筑是？	請問新恆提羅最高的建築是？	ニューガントラで一番高い建物は？	뉴헨틸로에서 가장 높은 건물은?	What is the tallest building in New Hentiro?						0	
richmanlove_qaevent_q_05	在新恒提罗，上传意识并以虚拟形象出现的人被统一称为？	在新恆提羅，上傳意識並以虛擬形像出現的人被統一稱為？	ニューガントラで、意識をアップロードしてアバターとして現れる人を何と呼ぶ？	뉴헨틸로에서 자신의 의식을 업로드하고 가상 형상으로 나타나는 사람들을 통칭해서 부르는 표현은?	What is the term for a person who uploads their consciousness and lives as a virtual avatar in New Hentiro?						0	
richmanlove_qaevent_q_06	请问瑟瑞斯在汉诺塔中身穿的战术套装名称是什么？	請問瑟瑞斯在漢諾塔中身穿的戰術套裝名稱是什麼？	シーリスがハノイの塔で着ていた戦術装備の名称は？	세리스가 하노이 타워에서 입은 전술 슈트 이름은?	What is the name of the exosuit that Siris wore in the Tower of Hanoi?						0	
richmanlove_qaevent_q_07	没有与分析员搭乘同一班空艇来到新恒提罗的人是？	沒有與分析員搭乘同一班空艇來到新恆提羅的人是？	分析員とは別行動でニューガントラに来たのは誰ですか？	분석가와 같은 비행선을 타고 뉴헨틸로에 오지 않은 인물은?	Who did not ride on the same Skyskiff to New Hentiro together with the Adjutant?						0	
richmanlove_qaevent_q_08	请问龙舌兰在哪里初次见到分析员？	請問龍舌蘭在哪裡第一次見到分析員？	アガベと分析員が初めて出会った場所はどこ？	아가베가 분석가를 처음 만난 곳은?	Where did Agave first meet the Adjutant?						0	
richmanlove_qaevent_q_09	请问分析员担任了安卡希雅所开发游戏的哪个职位？	請問分析員擔任了安卡希雅所開發遊戲的哪個職位？	アカシアが開発したゲームで、分析員が担当したのはどの部分？	아카시아가 개발한 게임에서 분석가가 맡은 역할은?	What is the Adjutant's role on the development team for Acacia's game "Star Master"?						0	
richmanlove_qaevent_q_10	请问哪一种是凯茜娅最喜欢听的音乐类型？	請問哪一種是凱茜婭最喜歡聽的音樂類型？	カーシアが一番好きな音楽のジャンルは？	캐시아가 가장 좋아하는 음악은?	Which music genre does Katya love most?						0	
richmanlove_qaevent_q_11	请问伊切尔是分析员从哪个地区带回来的？	請問伊切爾是分析員從哪個地區帶回來的？	分析員がイチェルを連れ帰ったのはどの地域？	분석가가 이첼을 데려왔던 지역은?	Where did the Adjutant bring back Eatchel from?						0	
richmanlove_qaevent_q_12	请问恩雅喜欢的别人对她的称呼是？	請問恩雅喜歡的別人對她的稱呼是？	エンヤが喜ぶ呼び方は？	다른 대원들이 엔야를 부르는 호칭은?	What does Enya prefer to be called?						0	
richmanlove_qaevent_q_13	请问云篆的原型来自辰星哪位家属的设计稿？	請問雲篆的原型來自辰星哪位家屬的設計稿？	雲篆のプロトタイプは辰星の家族の誰がデザインした？	미스트의 프로토타입을 디자인한 사람은 수성의 가족 중 누구일까요?	The design for Chenxing's exosuit Ethereal Cloud comes from a design draft made by which of her family members?						0	
