字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	很久以前，在遥远的银河系……	很久以前，在遙遠的銀河系……	むかしむかし、遠い銀河系の……	아주 오래전, 머나먼 은하계…	A very long time ago in a galaxy super far away...						0	2.5版本异星守护开场剧情
2	的某一颗星球上	的某一颗星球上	とある惑星で	어느 행성에서	on an unassuming planet...						0	2.5版本异星守护开场剧情
3	正在上演着这样一出传奇的冒险故事——	正在上演著這樣一齣傳奇的冒險故事——	伝説的な冒険物語が繰り広げられていました――	이런 전설적인 모험 이야기가 펼쳐지고 있었다…	a legendary adventure transpires...						0	2.5版本异星守护开场剧情
4	星球系列第二弹	星球系列第二彈	惑星シリーズ第2弾	행성 시리즈 제2탄	The second installment in the Celestial Saga:						0	2.5版本异星守护开场剧情
5	异星守护	異星守護	異星防衛	은하 수호전	Starward Defense						0	2.5版本异星守护开场剧情
6	年轻的宇宙探险家playername接收到来自银河系的求救讯号，而讯号正是从自己深爱的女领主安卡希雅所统领的星球发来的。	年輕的宇宙探險家playername接收來自銀河系的求救訊號，而訊號正是從自己深愛的女領主安卡希雅所統領的星球發來的。	若き宇宙探検家playernameのところに、銀河系から救援要請が届いた。それは、最愛なる女領主アカシアの惑星からのものだった。	젊은 우주 탐험가 playername은(는) 은하계로부터 온 구조 신호를 받는다. 그 신호는 다름 아닌 자신이 사랑하는 여영주 아카시아가 통치하는 행성에서 온 것이었다.	playername, a young cosmic explorer, receives a distress signal from the Milky Way Galaxy, originating from a planet ruled by his beloved Lady Acacia.						0	2.5版本异星守护开场剧情
7	探险家登陆星球，面前却是一幅骇人景象。星球随处潜伏着变异生物，时刻准备袭击外来闯入者。	探險家登陸星球，眼前卻是一幅駭人景象。星球隨處潛伏變種生物，隨時準備襲擊外來闖入者。	探検家がその惑星に到着すると、そこには恐ろしい光景が待っていた。惑星のありとあらゆる場所に変異生物が潜んでいて、外来の侵入者を襲おうと様子を伺っている。	탐험가는 행성에 착륙했지만, 그의 눈앞에 펼쳐진 광경은 끔찍했다. 행성 곳곳에는 변이 생명체가 숨어 있었고, 외부 침입자를 공격할 준비를 하고 있었다.	The explorer is met with a terrifying scene upon landing on the planet. Alien creatures skulk across the land, ready to attack any intruders.						0	2.5版本异星守护开场剧情
8	他寻遍星球的每个角落，终于与正挥舞着光剑与变异生物激斗的女领主安卡希雅再次重逢。	他尋遍星球的每個角落，終於與正揮舞著光劍與變種生物激鬥的女領主安卡希雅再次重逢。	彼は惑星中を探し続けて、アカシアと再会した。彼女はビームソードを使って変異生物と激闘を繰り広げていた。	그는 행성 구석구석을 탐험한 끝에, 빛의 검을 휘두르며 변이 생명체들과 싸우고 있는 여영주 아카시아를 다시 만나게 된다.	He searches every inch of the planet, finally reuniting with Lady Acacia as she is locked in a fierce lightsword battle with the aliens.						0	2.5版本异星守护开场剧情
9	宇宙探险家不再四处流浪，他在这里停下了脚步。	宇宙探險家不再四處流浪，他在這裡停下了腳步。	宇宙探検家は冒険をやめて、ここで足を止めた。	우주 탐험가는 더는 떠돌지 않는다. 그는 그곳에 발을 붙이고,	The explorer gives up wandering around the cosmos, deciding to stay on the planet.						0	2.5版本异星守护开场剧情
10	为了深爱的安卡希雅，为了这个星球上最后一片乐土——	為了深愛的安卡希雅，為了這個星球上最後一片樂土—	愛するアカシアのために。この惑星最後の楽園のために――	자신이 사랑하는 아카시아를 위해, 그리고 이 행성의 마지막 남은 낙원을 위해…	For his beloved Lady Acacia, for the last line of defense on this planet...						0	2.5版本异星守护开场剧情
11	探险家最终化身守护星球的战士，指挥着探险团的伙伴们，抗击不断来犯的异星生物……	探險家最終化身守護星球的戰士，指揮著探險團的夥伴們，對抗不斷來犯的異星生物……	探検家は惑星を守る戦士となり、探検団の仲間たちとともに、襲い掛かる異星生物を迎撃する……	마침내 행성을 지키는 전사가 되어, 탐험대의 동료들을 이끌고 끊임없이 몰려오는 외계 생명체들에게 맞선다…	The explorer slowly grows into a warrior, guarding the planet and leading his exploration party in resisting the constant onslaught of alien creatures...						0	2.5版本异星守护开场剧情
12	以上就是我的新作《异星守护》的背景故事，你觉得怎么样？	以上就是我的新作《異星守護》的背景故事，你覺得怎麼樣？	というのが、私の新作『異星防衛』の背景設定だ。どう思う？	여기까지가 내 신작 <은하 수호전>의 배경 스토리야, 어때?	That's the backstory for my new game, Starward Defense. What do you think?						0	2.5版本异星守护开场剧情
13	女领主……看起来像是某人行使特权写出来的设定。	女領主……看起來像是某人行使特權寫出來的設定。	女領主……誰かさんが特権を使って書いた設定だな。	여영주… 이거 누군가 특권을 남용해서 설정한 캐릭터 같은데?	"Lady Acacia"... Looks like someone took advantage of their position to write this.						0	2.5版本异星守护开场剧情
14	咳，这不是重点，先说说你的意见吧。	咳，這不是重點，先說說你的意見。	こほん！そこはどうだっていいじゃん。どうって聞いてんの。	크흠, 그건 중요한 게 아니잖아. 일단 네 의견부터 말해봐.	Ahem... That's not the point. I want to hear your thoughts.						0	2.5版本异星守护开场剧情
15	单看背景还是挺宏大的。	單看背景還蠻宏大的。	背景だけを見ると、結構壮大な話だな。	세계관 배경만 보면 꽤나 웅장하네.	The backstory alone is pretty grand.						0	2.5版本异星守护开场剧情
16	当然了，这可是以前的大热题材。我还加入了一些我喜欢的经典系列作品元素。	當然了，這可是以前的熱門題材。我還加入了一些我喜歡的經典系列作品元素。	もちろんだよ。昔流行りに流行った題材に、私が好きな名作の要素を入れてみたんだ。	그야 당연하지, 이건 예전에 엄청 인기 있던 소재였다고! 거기다가 내가 좋아하는 명작 시리즈 요소도 좀 넣었지.	Of course. This kind of genre was super popular back in the day. I even added some elements from my favorite classic series.						0	2.5版本异星守护开场剧情
17	怪不得故事看起来又新又老。	怪不得故事看起來又新又老。	だから新作なのにレトロゲームな感じがするのか。	어쩐지, 이야기 자체가 새롭기도 하고 어딘가 익숙하기도 하더라.	No wonder the story has a new and old feel.						0	2.5版本异星守护开场剧情
18	创新的同时也要保留个人风格。毕竟，我打算把星球系列做成IP，打出自己的品牌。	創新的同時也要保留個人風格。畢竟，我打算把星球系列做成IP，打出自己的品牌。	新しいものを作るだけじゃなくて、自分の作風も残さないとね。それに、私は惑星シリーズをブランドとして推そうとしているし。	새로운 걸 시도하면서도 내 스타일을 유지해야지! 어차피 이 <은하 수호전>을 IP로 만들어서 내 브랜드를 구축하려는 게 목표니까.	You have to innovate while maintaining a personal flair. I'm planning on making the Celestial Saga into a property under my own brand, after all.						0	2.5版本异星守护开场剧情
19	梦想倒是很长远。	夢想倒是很長遠。	ずいぶんと大きい目標だな。	꿈은 꽤 원대하네.	That dream is a long way off.						0	2.5版本异星守护开场剧情
20	我都想好迭代外传的内容了。既然是星球故事，那必然要把遥远的星辰宇宙当成目标。	我都想好迭代外傳的內容了。既然是星球故事，必然要把遙遠的星辰宇宙當成目標。	次の外伝についても考えてるよ。惑星冒険の話だから、遥か向こうにある宇宙を目指さなきゃ面白くない。	벌써 외전 내용도 구상해 뒀어. 어차피 행성 이야기를 쓸 거면 은하계의 저 먼 별들을 목표로 삼아야지!	I already have the side stories planned out. Since it's set in a vast universe, I'll set my sights on the distant reaches of the cosmos.						0	2.5版本异星守护开场剧情
21	就写英勇的星球战士playername带着女领主向宇宙拓展自己的势力，最终成为了银河系霸主的故事。	就寫英勇的星球戰士playername帶著女領主向宇宙拓展自己的勢力，最後成為了銀河系霸主的故事。	勇猛なる惑星戦士playernameは女領主とともに勢力を宇宙へと広げて、最終的には銀河系覇者になった話なんてどう？	용감한 행성 전사 playername이(가) 여영주와 함께 우주를 개척하며 세력을 확장하고 결국 은하계를 제패하는 스토리로 말이야!	We'll follow the brave warrior, playername. He'll bring Lady Acacia along as he expands his power over the universe, eventually becoming a galactic overlord.						0	2.5版本异星守护开场剧情
22	怎么感觉剧情朝着奇怪的方向发展了……	怎麼感覺劇情朝著奇怪的方向發展了……	なんか変な方向へ向かってるな……	이거 내용이 뭔가 이상한 방향으로 흘러가는 것 같은데…	Why does it sound like the story is headed in a weird direction...?						0	2.5版本异星守护开场剧情
23	可恶，用力过猛了。下次有机会再打磨一下，这次就先这样吧。	可惡，用力過猛了。下次有機會再打磨一下，這次就先這樣吧。	あちゃ～、違ったか。今度また練り直してみるよ。	젠장, 내가 또 너무 힘을 줬네. 다음에 기회가 있으면 한 번 더 다듬어야겠다. 이번엔 그냥 이렇게 진행하자.	Darn, it's too heavy-handed... I'll polish it when I get the chance, but this one should be fine for now.						0	2.5版本异星守护开场剧情
24	不过，怎么感觉这才没过多久，你就又开新作了。	不過，怎麼感覺這才沒多久，你就又開新作了。	それにしても、前作からそんなに経っていないのに、もう新作を作ってるのか。	근데, 전작 낸 지 얼마 안 된 것 같은데 벌써 신작을 시작한 거야?	Anyway, not much time has passed. Why are you making something new already?						0	2.5版本异星守护开场剧情
25	毕竟我已经在前作里积累了不少经验，是时候趁热打铁，拿出点新东西给分析员了。让你见识一下世界树知名游戏制作人的成长。	畢竟我已經在前作裡積累了不少經驗，是時候趁熱打鐵，拿出點新東西給分析員了。讓你見識一下世界樹知名遊戲製作人的成長。	だって、前作で結構経験値を貯めたからね。その勢いで新作を作って、分析員にユグドラシルの著名ゲームプロデューサーの成長を見せてやらなきゃ。	그야 전작에서 이미 꽤 많은 경험을 쌓았으니, 지금이야말로 물 들어올 때 노 젓는 타이밍이지! 분석가, 너한테 제대로 보여주려고 하는 거야. 위그드라실의 이름난 게임 제작자가 얼마나 성장했는지 말이야!	I already learned a lot from my last game, so I need to strike while the iron's hot and create something new for you. I want you to witness the growth of Yggdrasil's famous game producer.						0	2.5版本异星守护开场剧情
26	你的觉悟还挺高的。	你的覺悟還挺高的。	いい心意気だ。	각오가 꽤 대단한데.	You do pick things up quickly.						0	2.5版本异星守护开场剧情
27	而且，我好不容易才赢了分析员一次，获得你的承诺，怎么能轻易辜负？	而且，我好不容易才贏了分析員一次，獲得你的承諾，怎麼能輕易辜負？	それに、せっかく分析員に勝ったんだから、あなたとの約束を簡単に破るわけにはいかないよ。	게다가 겨우 한 번 분석가를 이겨서 약속을 받아냈는데, 그걸 어떻게 쉽게 저버리겠어?	Besides, I fought tooth and nail to win you over, Adjutant. Now that you're committed, how could I let you down?						0	2.5版本异星守护开场剧情
28	一周前	一週前	一週間前	일주일 전	One week ago						0	2.5版本异星守护开场剧情
30	睡了吗？	睡了嗎？	もう寝たのか？	자고 있어?	Are you sleeping?						0	2.5版本异星守护开场剧情
31	你明明知道我是不会在这个时间就睡着的。	你明明知道我是不會在這個時間就睡著的。	こんなに早く寝るわけないって知ってるでしょ。	너도 알잖아. 내가 이 시간에 잘 리가 없다는 걸.	You already know I don't sleep this early.						0	2.5版本异星守护开场剧情
