字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	这里是……	這裡是……	ここは……？	여기는…	Where... am I?						0	2.3芙提雅好感度重置
2	今天第一堂课，老师不打算教你们什么。	今天第一堂課，老師不打算教你們什麼。	本日初めの授業は、少し特別な話をしましょうか。	오늘은 첫 수업이라 너희들한테 뭘 가르칠 생각은 없어.	For today's first lesson, we're not diving into textbooks.						0	2.3芙提雅好感度重置
3	老师想问你们一个问题，你们都有什么梦想啊？□□□，你先回答。	老師想問你們一個問題，你們都有什麼夢想呢？□□□，你先回答。	それでは、みんなに質問です。将来の夢はなんですか？まずは□□さんから。	너희들에게 묻고 싶은 것이 있는데, 너희들은 어떤 꿈을 가지고 있어? □□□이(가) 먼저 대답해 볼래?	Instead, I want to ask you all a question: What are your dreams? Let's start with you, Margaret.						0	2.3芙提雅好感度重置
4	我的梦想是成为科学家。	我的夢想是成為科學家。	科学者になりたいです。	제 꿈은 과학자예요.	I want to be a scientist.						0	2.3芙提雅好感度重置
5	很好。芙提雅，你呢？	很好。芙提雅，你呢？	素敵ですね。フリティアさんは？	그렇구나, 프티야는?	Excellent. Fritia, what about you?						0	2.3芙提雅好感度重置
6	我想要成为……像是爵士那样的人。	我想要成為……像爵士那樣的人。	私は……科学のパイオニアたちみたいな人になりたいです。	저는… 재즈 같은 사람이 되고 싶어요!	I want to be a scientist too... but like those pioneering scientists from a long time ago.						0	2.3芙提雅好感度重置
7	我想要和爵士一样，证明力运动定律那样的真理，用美妙的数学语言去描绘宇宙的光景。	我想要和爵士一樣，證明力運動定律那樣的真理，用美妙的數學語言去描繪宇宙的光景。	彼らみたいに、物理の真理を見つけて、美しい数学の言葉で宇宙のことを説明したいです。	재즈처럼 힘의 운동 법칙를 증명하고 우주의 광경을 아름다운 수학적 언어로 그리고 싶어요.	I want to discover universal truths like the laws of motion and use the elegant language of mathematics to describe the beauty of the cosmos.						0	2.3芙提雅好感度重置
8	我想要发展很多厉害的科学技术，帮助所有人都能获得更好的生活。	我想要發展很多厲害的科學技術，幫助所有人都能獲得更好的生活。	みんながもっといい生活を送れるように、すごい技術をたっくさーん開発して……	과학 기술을 발전시켜 모두가 더 나은 삶을 살 수 있도록 돕고 싶고요.	I want to create amazing technologies to help everyone live better lives.						0	2.3芙提雅好感度重置
9	我还想要去探索宇宙的深处，想要更近些去见证每一颗星球的奥秘……	我還想要去探索宇宙的深處，想要更近的去見證每一顆星球的奧秘……	そしたら、宇宙探索に行って、惑星一つ一つの秘密を自分の目で確かめます。	그리고 우주의 깊은 곳을 탐험하고, 각 별들의 신비로움을 조금 더 가까이에서 목격하고 싶어요…	And to explore the far reaches of space, to get closer to each planet and uncover their secrets...						0	2.3芙提雅好感度重置
