字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
choiceG.1	占卜	占卜	占い	점괘	Fortune-Telling						0	
Gopic1.1	诶……原来塔罗牌不是用来烧的，而是用来占卜的啊。	欸……原來塔羅牌不是用來燒的，而是用來占卜的啊。	へえ…タロットカードって占いに使うんだ！	어라… 타로카드는 태우는 용도가 아니라, 점치는 도구였구나.	Huh... so tarot cards aren't for burning? They're actually for fortune-telling?						0	
Gopic1.2	我还以为它的用法和符咒差不多呢……	我還以為它的用法和符咒差不多呢……	てっきりお札みたいに燃やして使うものだと思ってた……	부적이랑 비슷한 건 줄 알았어…	I totally thought you burn them like talismans...						0	
Gopic1.3	看了这么久的书，感觉自己也有些心得了，分析员，让我来为你占卜一下吧~	看了這麼久的書，感覺自己也有些心得了，分析員，讓我來為你占卜一下吧~	こんなに勉強して、なんだかわかってきた気がするよ！ねえ分析員、占なわせて！	책을 꽤 오래 봤더니 나도 뭔가 깨달은 것 같아. 분석가, 내가 점을 한번 봐줄게~	After all these books, I think I'm getting the hang of it. Adjutant, let me do a quick reading for you~						0	
Gopic1.4	从这些牌里，选一张与你有缘的……	從這些牌裡，選一張與你有緣的……	このカードの中から、心のままに一枚選んで……	이 카드 중에서, 마음이 끌리는 걸 하나 골라 봐…	Okay then... pick the card that calls to you...						0	
choiceG1A	日之牌	日之牌	太陽	해 카드	Sun Card						0	A-牌1
choiceG1A.1	如果是这张牌的话……	如果是這張牌的話……	このカードは……	이 카드라면…	If you pick this card...						0	
choiceG1A.2	说明分析员会在你擅长的领域，迎来一些“收获”。	說明分析員會在你擅長的領域，迎來一些「收穫」。	分析員の得意分野で、「実り」があるって出てるよ。	분석가가 잘하는 분야에서 어떤 '수확'을 얻게 될 거야.	you'll soon see results where you shine.						0	
choiceG1A.3	不过，这张塔罗牌也有“持续努力”的牌意，所以分析员可要再接再厉啊~	不過，這張塔羅牌也有「持續努力」的牌意，所以分析員可要再接再厲啊~	でも「努力の継続」って意味もあるから、これからも頑張ってね。	하지만 이 카드는 '지속적인 노력'이라는 의미도 있어서, 분석가가 계속 노력해 줘야 해~	But it also says: "Stay the course — steady effort is the key." Keep it up, Adjutant~						0	
