字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0				清澈的天空，透亮的海水，以及脚下那反射着太阳光芒的细腻沙滩……	0	1.3重置
2		0				尚未被泰坦物质污染的小岛，似乎有着净化一切的力量。	0	1.3重置
3		0	分析员无帽			难得的假期啊……	0	1.3重置
4		6	恩雅泳装			是啊，这里果然和卡罗琳说的一样，是个度假天堂呢。	0	1.3重置
5		0	分析员无帽			恩雅已经把泳装换上了吗？	0	1.3重置
6		6	恩雅泳装			其实我一直都穿着哦。	0	1.3重置
7		6	恩雅泳装			喏，在船上时就像这样。	0	1.3重置
8		0	恩雅泳装			将平常穿的衣服套在泳装外面……	0	1.3重置
9		6	恩雅泳装			怎么样，是不是完全看不出姐姐我穿着泳装呢~	0	1.3重置
10		5	芬妮泳装			咳嗯，两位，现在可不是闲聊的时候。	0	1.3重置
11		5	芬妮泳装			别忘了，我们千里迢迢来到这里可不光光是为了度假。	0	1.3重置
12		5	芬妮泳装			还有场比赛在等着我们呢，就是那个叫什么什么……	0	1.3重置
13		6	恩雅泳装			“海姆达尔海岛运动会”吧。	0	1.3重置
14		5	芬妮泳装			那么长的名字恩雅姐居然记得住？	0	1.3重置
15		6	恩雅泳装			嗯，因为这场比赛非常重要……	0	1.3重置
15_1		0				一周前……	0	1.3重置
21		6	卡罗琳			最后，代号为“海姆达尔海岛运动会”的团建比赛并非强制活动，想要参加的人需要自己填写申请表。	0	1.3重置
22		6	卡罗琳			你们还有什么疑问？	0	1.3重置
23		6	肴			率先完成三项挑战的获胜者都有什么奖励啊？可以折现吗？	0	1.3重置
24		6	卡罗琳			咳咳，手册里都已经写明了哦……	0	1.3重置
25		6	卡罗琳			获胜组全员，在岛上的消费将终身免费。	0	1.3重置
26		6	卡罗琳			而组长更是会成为雅卢岛名誉岛主，获赠岛屿南面的度假木屋与私人沙滩的永久使用权。	0	1.3重置
28		6	卡罗琳			就是这样，明白了吗？	0	1.3重置
29		6	恩雅			度假木屋啊……	0	1.3重置
53		0				卡罗琳简短的休假说明会议结束后，我回到了房间。	0	1.3重置
54		9	恩雅			分析员，在房间吗？	0	1.3重置
b-1	b-1	0					0	
56	b-1-1	0				在的，恩雅姐进来吧。	0	1.3重置
57		9	恩雅			嘿嘿，那姐姐就打扰啦。	0	1.3重置
58		6	恩雅			嗯……没有其他女孩儿在分析员的房间呢。	0	1.3重置
59		0	恩雅			太好了，看上去我是第一个~	0	1.3重置
60		0	分析员无帽			第一个？恩雅姐是指……	0	1.3重置
61		6	恩雅			是“海姆达尔海岛运动会”哦，那个比赛不是要三人一组吗？分析员现在应该还没有加入其他人的小组吧。	0	1.3重置
62		0	分析员无帽			原来是指这个啊。的确，恩雅姐是第一个来找我的人。	0	1.3重置
63		0	分析员无帽			不过……我看大家好像都还在犹豫要不要参加的样子，恩雅姐已经开始拉人了吗？	0	1.3重置
64		6	恩雅			嗯，在听说荣誉岛主可以获得那个小木屋的使用权后，我就立马报名参加了。	0	1.3重置
65		6	恩雅			分析员还记得上个月，我们去孤儿院慰问的时候遇到的那个女孩吗？	0	1.3重置
66		6	恩雅			好啦~下个月过生日的小朋友们，请把你们的愿望写在纸条上，然后交给分析员哥哥哦。	0	1.3重置
67		0	孩子们			知道啦~	0	1.3重置
68		0				孩子们兴奋地低头书写，教室里响起沙沙的写字声。	0	1.3重置
69		0				但是，我注意到角落里的短发女孩始终没有动笔，她紧紧攥着铅笔，眼眶微微发红。	0	1.3重置
70		0	角落的女孩			……	0	1.3重置
71		0	分析员无帽			小朋友，怎么了？	0	1.3重置
72		0				颤抖的小手递来纸条，上面歪歪扭扭写着“和爸爸妈妈一起看海”。	0	1.3重置
73		0				望着纸条上的内容，正在思考如何措辞时——	0	1.3重置
74		6	恩雅			好漂亮的海螺啊，是爸爸妈妈送给你的吗？	0	1.3重置
