字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	战斗结束，这处据点已经没有敌人了。	戰鬥結束，這處據點已經沒有敵人了。	戦闘終了、この拠点にもう敵はいない。	전투 종료, 이 거점에는 더 이상 타깃이 없다.	Fight's over. No more hostiles found in the hideout.						0	猫汐尔莲驱个人故事
2	嗯，大部队已经被打散，剩下的敌人就交给安全部的同事去处理吧。	嗯，大部隊已經被打散，剩下的敵人就交給安全部的同事去處理吧。	主力はすでに壊滅したし、残った敵は安全部の同僚たちに任せよう。	응, 대부대는 이미 흩어졌으니, 남은 타깃은 안전부 동료들에게 맡기자.	Mm, the main force scattered. Let the Security Department handle the rest.						0	猫汐尔莲驱个人故事
3	好的喵~	好的喵~	了解ニャン。	알겠다냥~	Alright, nya~						0	猫汐尔莲驱个人故事
4	猫汐尔从据点的端墙上跃下，就在这时，一本蓝色封皮笔记本从她的储物包中滑落。	貓汐爾從據點的牆上躍下，就在這時，一本藍色封皮筆記本從她的包包中滑落。	マーシルが拠点端の壁から飛び降りたその時、青い表紙のノートが彼女のバッグから滑り落ちた。	캣 시에라가 거점 끝 벽에서 뛰어내렸다. 바로 그때, 파란색 표지의 노트 한 권이 그녀의 파우치에서 미끄러져 떨어졌다.	Mauxir leaped down from the far wall of the hideout. A blue notebook slipped out of her storage pouch.						0	猫汐尔莲驱个人故事
5	那是她正在撰写的绘本原稿。	那是她正在撰寫的繪本原稿。	それは、彼女が今書いている絵本の原稿だった。	그녀가 집필 중인 그림책 원고였다.	It was the draft of the picture book she'd been working on.						0	猫汐尔莲驱个人故事
6	我顺势弯腰捡起，轻轻拍去封面的灰尘，递还给她。	我順勢彎腰撿起，輕輕拍去封面的灰塵，遞還給她。	私はかがんで拾い上げ、表紙のほこりを払って彼女へ手渡した。	나는 자연스럽게 몸을 숙여 그것을 주워, 표지의 먼지를 가볍게 털어낸 후 그녀에게 돌려주었다.	I picked it up, brushed the dust off the cover, and handed it back to her.						0	猫汐尔莲驱个人故事
7	多谢分析员喵~	多謝分析員喵~	ありがとうニャン、分析員。	분석가, 고맙다냥~	Thank you, Adjutant, nya~						0	猫汐尔莲驱个人故事
8	太好了……内页没有损坏喵……	太好了……內頁沒有損壞喵……	よかった……中のページは無事ニャン……	다행이다… 안쪽이 망가지진 않았다냥…	Phew... The pages inside didn't get dirty, nya...						0	猫汐尔莲驱个人故事
9	既然这么宝贵，不如好好放在前哨站里哦。	既然這麼寶貴，不如好好放在前哨站裡喔。	そんなに大事なものなら、ちゃんと前哨基地に置いてくればよかったじゃないか。	그렇게 소중하면, 전초기지에 잘 보관해 두는 게 어때?	You should keep something that precious in the outpost.						0	猫汐尔莲驱个人故事
10	话是这么说，但好的灵感总是一闪而过喵。不及时记下来的话，可是会后悔的。	話是這麼說，但好的靈感總是一閃而過喵。不及時記下來的話，可是會後悔的。	アイデアは一瞬で消えちゃうのニャン。すぐ書き留めておかないと、きっと後で後悔するのニャン。	하지만 영감은 항상 순식간에 사라져 버린다냥. 바로 적어두지 않으면, 나중에 후회하게 될 거다.	That's true, but good ideas come and go in a flash, nya. If I don't write them down right away, I'll regret it.						0	猫汐尔莲驱个人故事
11	猫汐尔小心翼翼地将笔记本收好，一脸认真地说道。	貓汐爾小心翼翼地將筆記本收好，一臉認真地說道。	マーシルはノートを慎重にしまいながら、真剣な表情で言った。	캣 시에라는 노트를 조심스럽게 챙기며, 진지한 표정으로 말했다.	Mauxir carefully tucked the notebook away, her expression unusually earnest.						0	猫汐尔莲驱个人故事
12	那神情不像终日战斗的天启者，倒更像一位沉稳老练的大作家。	那神情不像終日戰鬥的天啟者，倒更像一位沉穩老練的大作家。	その表情は、戦い続ける覚醒者というより、まるで落ち着き払った熟練の大作家のようだった。	그 모습은 하루 종일 전투하는 계시자라기보다는, 침착하고 노련한 대작가에 가까워 보였다.	At that moment, she didn't look like a battle-hardened Manifestation at all, more like a seasoned, steady novelist.						0	猫汐尔莲驱个人故事
