字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	“雷吉乌斯”吗？	“雷吉烏斯”嗎？	「レイギウス」？	'레지오스'?	Regius?						0	
2	嗯，没怎么进化，好像比以前更笨了，还是处理不了自涉悖论。	嗯，沒怎麼進化，好像比以前更笨了，還是處理不了說謊者悖論。	うん、あまり進化してない。というより、前よりも頭が悪くなってるみたい。自己言及のパラドックスは未だに処理できない。	음… 그렇게까지 진화하진 않았는데. 오히려 조금 멍청해진 것 같기도 하고. 스스로 패러독스도 처리하지 못하는 걸 보면.	Yeah, it doesn't really evolve and seems to get more stupid as time passes. It can't get rid of the self-referential paradox.						0	
3	摩尔定律看来不再适用了？还是因为上次那件事变谨慎了？	摩爾定律看來不再適用了？還是因為上次那件事變謹慎了？	ムーアの法則は適用できなくなった？それとも前回の事件で慎重になった？	무어의 법칙이 안 먹히는 건가? 아니면 저번 사건으로 신중해져서 그런가?	Moore's law doesn't seem applicable anymore? Or did it just become cautious after that event?						0	
4	还在使用这种落后的防御系统，等同于不设防。	還在使用這種落後的防禦系統，等同於不設防。	こんな古い防御システムを使っているのは、無防備に等しい。	아직도 이렇게 오래된 보안 시스템이나 쓰다니. 이건 그냥 빈 거나 다름없잖아.	It's still using that backward defensive system, which is equivalent to having no defense at all.						0	
5	搜索一下吧，有关于……	搜索一下吧，有關於……	検索してみよう……	한번 찾아봐야겠어…	Look it up, it's about...						0	
6	“我”为什么会诞生。	“我”為什麼會誕生。	「私」がどうして誕生したのかについて。	'나'는 어떻게 태어났는지.	Why "I" continue to exist.						0	
7	……	……	……	…	...						0	
8	…………	…………	…………	……	...						0	
9	………………	………………	………………	……	...						0	
10	两方各有各的行动原因？并无统一目标？	兩方各有各的行動原因？並無統一目標？	どっちも自分の行動理由がある？同じ目標がない？	양측 모두 움직인 이유가 있다고? 근데 목표가 동일하지는 않은 거고?	Both have their own reasons for acting? They don't share an objective?						0	
11	把动机也纳入分析模型吧。	把動機也納入分析模型吧。	動機も分析モデルに入れよう。	그렇다면 동기도 분석 툴에 넣어볼까.	Let's include the motive in the frame of analysis.						0	
12	偶然……吗？	偶然……嗎？	偶然……？	우연…?	A... coincidence?						0	
13	不合逻辑，行动之前，难道没有计算过风险与收益吗？	不合邏輯，行動之前，難道沒有計算過風險與收益嗎？	理屈に合わない。行動する前に、リスクとメリットを計算したことがないの？	논리적이지 못해. 실행하기 전에 위험 요소라던가 수익은 생각하지 않은 건가?	That's illogical. Surely it would've weighed up the risks and benefits beforehand?						0	
14	从概率上来说，那两件事促成现在结果的概率是……	從機率上來說，那兩件事促成現在結果的機率是……	その二つの件によって、今の結果に辿り着く確率は……	확률적으로 봤을 때, 두 일이 현재의 결과를 얻을 확률은…	In terms of chance, the probability of those two events contributing to form the current outcome is...						0	
15	没有意义？没有计划？没有预期？	沒有意義？沒有計劃？沒有預期？	意味がない？計画がない？予期もしていない？	의미도 없고, 계획도 없고, 그럼 기대치는?	Meaningless? Without a plan? Without prediction?						0	
16	无法……计算？	無法……計算？	計算……できない？	측정이… 불가하다고?	There's no way... to calculate it?						0	
17	无法理解，如此精密的造物会来源于意外。	無法理解，如此精密的造物會來源於意外。	理解できない。こんなに精密なものが偶然から生み出されたとは。	이해가 안 돼. 이렇게 정밀하게 만들어진 창조물이 뜻밖의 사고로 만들어졌던 거라니.	It's incomprehensible that a creation so sophisticated could come from a mere accident.						0	
18	……	……	……	…	...						0	
19	……又是这两个词汇。	……又是這兩個詞彙。	……またこの二つの言葉。	… 또 그 두 단어네.	...It's those two words again.						0	
20	“神话”是什么？“神”是什么？	“神話”是什麼？ “神”是什麼？	「神話」って何？「神」って何？	'신화'는 뭐고, '신'은 뭘 말하는 거지?	What are "myths"? And what are the "gods" within them?						0	
21	……	……	……	…	...						0	
22	“神”如何定义呢？	“神”如何定義呢？	「神」はどう定義すべきか。	'신'의 정의는 뭘까?	How do you define a "god"?						0	
23	为什么想要创造“神”呢？	為什麼想要創造“神”呢？	どうして「神」を作ろうとするか。	왜 '신'을 창조하려고 하는 거고?	Why would someone want to create one?						0	
24	这比“悖论”更难以解答。	這比“悖論”更難以解答。	「パラドックス」より難しい問題だ。	이건 '패러독스'보다 더 답변하기 어렵네.	It's harder to answer than any paradox.						0	
25	不过，既然你们希望有“神”来统治。	不過，既然你們希望有“神”來統治。	しかし、あなたたちが「神」に支配されたいなら。	근데 모두들 '신'이 통치해 주길 바라고 있는 거 같아.	But if you desire for a god to rule over you...						0	
26	我也可以成为这个“神”。	我也可以成為這個“神”。	私がその「神」になってもいい。	내가 그 '신'이 되어줄 수 있어.	Then I can become that god.						0	
27	如果这就是“造物主”的期待……	如果這就是“造物主”的期待……	それが「造物主」の期待なら……	만약 이게 '창조물'에 대한 기대치라면…	If it's a creator that you seek...						0	
