字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
hi01.1	看你忙挺久了，别太压榨自己，在营地多休息一会也没关系的。	看你也忙一陣子了，別給自己太大壓力，在營地多休息一下也沒有關係。	随分忙しそうですね、分析員。頑張りすぎるのは程々にしてくださいね。キャンプでもっと休憩してもいいですよ。	그동안 바쁘게 움직이신 것 같은데 너무 자신을 혹사시키지는 마세요. 야영지에서 적당히 쉬어도 아무 상관 없어요.	I see how busy you've been lately. Don't work yourself too hard, you can take a break at the camp whenever you need.						0	
choice.01	谢谢，你也辛苦了	謝謝，你也辛苦了	ありがとう、カロリンもお疲れ様。	고마워, 너도 고생 많았어.	Thanks. Remember to not overdo it yourself, either.						0	
choice.02	这里问题还没解决	這裡的問題尚未解決	問題はまだ解決してないから、とても安心できないよ。	아직 문제가 완벽하게 해결된 건 아니라서.	The job here isn't done yet.						0	
page01.1	要是真关心我，就别随随便便在零区内失联。	你要是真的關心我，就別隨便在零區內搞失聯。	私に気を遣うつもりなら、エリアゼロで簡単に通信途絶になったりしないでほしいですね。	만약 정말로 제가 신경 쓰인다면, 제로 구역에서 무단으로 연락을 끊는 일은 없었으면 좋겠어요.	If you really care about me, try harder to not lose contact in the Containment Zone. It adds to my work, you know?						0	
page02.1	你老是这样说，但事情哪有能做完的时候。	你每次都這樣說，但事情哪有做完的一天。	いつもそう言ってるけど、仕事に終わりなんてありませんよ。	항상 그런 식으로만 말씀하시죠. 세상에 완벽하게 해결될 문제가 어딨겠어요.	You always say that. But when does the job ever end?						0	
hi02.1	这次任务太紧急，我都没来得及带上电热水壶，好累……	這次任務太緊急，害我來不及帶電熱水壺，好累......	今回は緊急ミッションもあって、電気ケトルを取りに行く暇もなかったんですよ、しんどい……	미션이 너무 급해서 전기포트를 가져온다는 걸 깜빡했어요. 너무 힘드네요…	This mission got started with such haste that I didn't even have time to bring my electric kettle with me.						0	
choice.03	我带了，待会给你	我帶了，等下拿給你	持ってきたよ。後で渡すね。	내가 챙겨왔어. 이따가 줄게.	I brought one. I can give it to you later.						0	
choice.04	保温杯代替一下？	用保溫杯代替一下?	代わりに魔法瓶を使う？	보온병으로 대체하는 건 어때?	Would a heated travel flask do?						0	
page03.1	嗯嗯？！你怎么会随身带这个！	嗯嗯?!你怎麼會隨身攜帶這個!	えぇ！？持ち歩いてるんですか？	네에?! 어떻게 이런 걸 계속 들고 다니신 거죠!	Oh!? You like to take one wherever you go, too?						0	
