字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
role_chapter_10111	安卡希雅	安卡希雅	アカシア	아카시아	Acacia						0	
role_chapter_10211	里芙	里芙	リフ	리브	Lyfe						0	
role_chapter_10311	妮塔	妮塔	ニタ	니타	Nita						0	
role_chapter_10411	芙提雅	芙提雅	フリティア	프티야	Fritia						0	
role_chapter_10511	茉莉安	茉莉安	マリアン	마리안	Marian						0	
role_chapter_10521	茉莉安-雨燕	茉莉安-雨燕	マリアン-アマツバメ	마리안-스위프트	Marian - Swift						0	
role_chapter_10611	晴	晴	晴	하루	Haru						0	
role_chapter_10711	琴诺	琴諾	チェルノ	체르노	Cherno						0	
role_chapter_10811	芬妮	芬妮	ファニー	페니	Fenny						0	
role_chapter_17111											0	
role_chapter_10221	里芙-狂猎	里芙-狂獵	リフ-ワイルドハント	리브-와일드 헌터	Lyfe - Wild Hunt						0	
role_chapter_11011	肴	肴	肴	야오	Yao						0	
role_chapter_11111	恩雅	恩雅	エンヤ	엔야	Enya						0	
role_chapter_10421	芙提雅-缄默	芙提雅-緘默	フリティア-ベラドンナ	프티야-사일런트	Fritia - Hush						0	
role_chapter_10121	安卡希雅-辉夜	安卡希雅-輝夜	アカシア-輝夜	아카시아-카구야	Acacia - Kaguya						0	
role_chapter_11021	肴-冬至	肴-冬至	肴-冬至	야오-동지	Yao - Winter Solstice						0	
role_chapter_11211	猫汐尔	貓汐爾	マーシル	캣 시에라	Mauxir						0	
role_chapter_10821	芬妮-咎冠	芬妮-咎冠	ファニー-ユーフォルビアミリー	페니-크라운	Fenny - Coronet						0	
role_chapter_11411	姬辰星	姬辰星	姫辰星	희수성	Chenxing						0	
role_chapter_1621	藏锋	藏鋒	蔵鋒	히든 블레이드	Absconditus						0	
level_40111	履历-1	履歷-1	シナリオ-1	이력-1	Story-1						0	
level_40112	履历-2	履歷-2	シナリオ-2	이력-2	Story-2						0	
level_40113	履历-3	履歷-3	シナリオ-3	이력-3	Story-3						0	
level_40114	行为-1	行為-1	バトル-1	전투-1	Action-1						0	
level_40115	履历-4	履歷-4	シナリオ-4	이력-4	Story-4						0	
level_40116	行为-2	行為-2	バトル-2	전투-2	Action-2						0	
level_40211	履历-1	履歷-1	シナリオ-1	이력-1	Story-1						0	
level_40212	行为-1	行為-1	バトル-1	전투-1	Action-1						0	
level_40213	履历-2	履歷-2	シナリオ-2	이력-2	Story-2						0	
level_40214	履历-3	履歷-3	シナリオ-3	이력-3	Story-3						0	
level_40215	行为-2	行為-2	バトル-2	전투-2	Action-2						0	
level_40311	履历-1	履歷-1	シナリオ-1	이력-1	Story-1						0	
level_40312	履历-2	履歷-2	シナリオ-2	이력-2	Story-2						0	
level_40313	行为-1	行為-1	バトル-1	전투-1	Action-1						0	
level_40314	履历-3	履歷-3	シナリオ-3	이력-3	Story-3						0	
level_40315	行为-2	行為-2	バトル-2	전투-2	Action-2						0	
level_40411	履历-1	履歷-1	シナリオ-1	이력-1	Story-1						0	
level_40412	履历-2	履歷-2	シナリオ-2	이력-2	Story-2						0	
level_40413	行为-1	行為-1	バトル-1	전투-1	Action-1						0	
level_40414	履历-3	履歷-3	シナリオ-3	이력-3	Story-3						0	
level_40415	行为-2	行為-2	バトル-2	전투-2	Action-2						0	
level_40511	履历-1	履歷-1	シナリオ-1	이력-1	Story-1						0	
level_40512	履历-2	履歷-2	シナリオ-2	이력-2	Story-2						0	
level_40513	行为-1	行為-1	バトル-1	전투-1	Action-1						0	
level_40514	履历-3	履歷-3	シナリオ-3	이력-3	Story-3						0	
level_40515	行为-2	行為-2	バトル-2	전투-2	Action-2						0	
level_40521	履历-1	履歷-1	シナリオ-1	이력-1	Story-1						0	
level_40522	履历-2	履歷-2	シナリオ-2	이력-2	Story-2						0	
level_40523	行为-1	行為-1	バトル-1	전투-1	Action-1						0	
level_40524	履历-3	履歷-3	シナリオ-3	이력-3	Story-3						0	
level_40525	行为-2	行為-2	バトル-2	전투-2	Action-2						0	
level_40611	履历-1	履歷-1	シナリオ-1	이력-1	Story-1						0	
level_40612	履历-2	履歷-2	シナリオ-2	이력-2	Story-2						0	
level_40613	行为-1	行為-1	バトル-1	전투-1	Action-1						0	
level_40614	履历-3	履歷-3	シナリオ-3	이력-3	Story-3						0	
level_40615	行为-2	行為-2	バトル-2	전투-2	Action-2						0	
level_40711	履历-1	履歷-1	シナリオ-1	이력-1	Story-1						0	
level_40712	履历-2	履歷-2	シナリオ-2	이력-2	Story-2						0	
level_40713	行为-1	行為-1	バトル-1	전투-1	Action-1						0	
level_40714	履历-3	履歷-3	シナリオ-3	이력-3	Story-3						0	
level_40715	行为-2	行為-2	バトル-2	전투-2	Action-2						0	
level_40811	履历-1	履歷-1	シナリオ-1	이력-1	Story-1						0	
level_40812	履历-2	履歷-2	シナリオ-2	이력-2	Story-2						0	
level_40813	行为-1	行為-1	バトル-1	전투-1	Action-1						0	
level_40814	履历-3	履歷-3	シナリオ-3	이력-3	Story-3						0	
level_40815	行为-2	行為-2	バトル-2	전투-2	Action-2						0	
level_47111	履历-1	履歷-1	シナリオ-1	이력-1	Story-1						0	
level_47112	行为-1	行為-1	バトル-1	전투-1	Action-1						0	
level_47113	履历-2	履歷-2	シナリオ-2	이력-2	Story-2						0	
level_47114	履历-3	履歷-3	シナリオ-3	이력-3	Story-3						0	
level_47115	行为-2	行為-2	バトル-2	전투-2	Action-2						0	
level_40221	履历-1	履歷-1	シナリオ-1	이력-1	Story-1						0	
level_40222	履历-2	履歷-2	シナリオ-2	이력-2	Story-2						0	
level_40223	行为-1	行為-1	バトル-1	전투-1	Action-1						0	
level_40224	履历-3	履歷-3	シナリオ-3	이력-3	Story-3						0	
level_40225	行为-2	行為-2	バトル-2	전투-2	Action-2						0	
level_41011	履历-1	履歷-1	シナリオ-1	이력-1	Story-1						0	
level_41012	履历-2	履歷-2	シナリオ-2	이력-2	Story-2						0	
level_41013	履历-3	履歷-3	シナリオ-3	이력-3	Story-3						0	
level_41014	行为-1	行為-1	バトル-1	전투-1	Action-1						0	
level_41015	履历-4	履歷-4	シナリオ-4	이력-4	Story-4						0	
