字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
task_type01	劝降伙伴	勸降夥伴	仲間を説得	파트너 투항	Capture Target						0	
task_type02	寻找伙伴	尋找夥伴	仲間を探す	파트너 탐색	Find Target						0	
task_type03	主线任务	主線任務	メインミッション	메인 미션	Main Story Mission						0	
TxtDefenseAction12	未部署连弩会员：%s	未部署連弩會員：%s	連弩メンバー未配置：%s	미배치 신자(석궁): %s	Undeployed Repeat Crossbow Adventists: %s						0	
TxtDefenseAction13	未部署长刀会员：%s	未部署長刀會員：%s	大刀メンバー未配置：%s	미배치 신자(대검): %s	Undeployed Adventist Swordsmen: %s						0	
RevealTitle	情报汇总	情報匯總	情報まとめ	정보 브리핑	Report						0	新星开拓完成情报任务提示抬头
RevealDesc	已标示未劝降目标的位置	已標示未勸降目標的位置	未説得対象の位置はマークされた	미투항 타깃 위치가 표시되었습니다.	Locations of uncaptured targets marked						0	新星开拓完成情报任务提示内容
persuade	劝降	勸降	説得	투항	Capture						0	劝降交互按钮
LeaveTaskRegion	正在离开任务区域	正在離開任務區域	ミッションエリアを離れています	미션 구역을 벗어나는 중입니다	Leaving mission area						0	离开任务区域时弹出
ExitPalLevel	是否离开当前星球	是否離開當前星球	現在の惑星を離れますか？	행성을 떠나시겠습니까?	Leave the current planet?						0	
Portal	空间曲点	空間曲點	空間曲点	공간 왜곡	Temporal Inflection Point						0	
