字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	最心动的体验~最极致的浪漫~最棒的约会场地——就在心动派对！	最心動的體驗~最極致的浪漫~最棒的約會場地－就在心動派對！	胸がドキドキ♪世界はキラキラ★最高のデートスポット、トキメキ大合戦へようこそ～！	가장 설레는 체험~ 최고의 로맨스~ 최고의 데이트 장소인 바운스 파티에서!	The thrill of a lifetime~ The ultimate romantic experience~ The best place for a date — all at Loverush Party!						0	
2	来预约吧！现在情侣共同申请注册将获得免费体验资格！	來預約吧！現在情侶共同申請註冊將獲得免費體驗資格！	予約受付中♡今なら、カップルでご登録いただいた方に無料入場券をプレゼント！	지금 바로 예약하세요! 현재 커플 공동 가입 시 무료 체험 자격이 획득할 수 있습니다!	Sign up now! Couples who register together get a free trial!						0	
3	虚拟社区的心动派对，为您和您的伴侣创造心动瞬间——	虛擬社區的心動派對，為您和您的伴侶創造心動瞬間——	トキメキ大合戦のバーチャル世界で、あなたと恋人に素敵な瞬間を——	가상 커뮤니티의 바운스 파티, 당신과 당신의 파트너에게 바운스 타임을 만들어 드립니다.	Come to Loverush Party in our virtual community with your loved one and hear each other's hearts skip a beat!						0	
4	一排接一排升格体偶像雀跃着经过，人挤人的街上充满了愉悦甜蜜的空气。	一排接一排升格體偶像雀躍著經過，人擠人的街上充滿了愉悅甜蜜的空氣。	昇格者のアイドル達がずらりと並んで、楽しそうにセリフを読み上げていた。街に溢れかえる人々は、誰もが笑顔を浮かべている。	승격체 아이돌이 줄지어 달리고, 사람들로 붐비는 거리는 유쾌하고 달콤한 공기로 가득하다.	A stream of transcendent idols breezed past, the bustling streets bubbling with sweet, joyous vibes.						0	
5	四个全息投影大字——“心动派对”——巨物一般浮在人群头顶，几乎要被升空的气球和礼花淹没。	四個全像投影大字——「心動派對」——巨物一般浮在人群頭頂，幾乎要被升空的氣球和禮花淹沒。	人混みの真上に投影された「トキメキ大合戦」という大きな文字も、たくさんの風船や花火に隠れて時々見えなくなるほどの盛況ぶりだった。	홀로그램 투영의 큰 글자로 '바운스 파티' 5개가 마치 거대한 물체처럼 사람들 머리 위에 떠 있고 하늘로 날아오르는 풍선과 불꽃에 거의 파묻힐 뻔했다.	The holographic words "Loverush Party" loomed large above the crowd, almost obscured by rising balloons and floating streamers.						0	
6	这可要怎么找人啊……	這可怎麼找人啊……	これは……どうやって探せっていうんだ……	이거 어떻게 사람을 찾아?…	How on earth am I supposed to find anyone in this crowd...?						0	
7	五天前——	五天前——	5日前	5일 전…	Five days ago...						0	
8	分析员，可以占用你五天之后的一点时间吗？	分析員，可以佔用你五天之後的一點時間嗎？	分析員さん……今から5日後に、お時間をいただいてもよろしいですか？	분석가님, 5일 후에 잠시 시간을 내줄 수 있을까요?	Adjutant, may I borrow you for a little while in five days?						0	
9	我想想……最近手头还有份资料需要整理……	我想想……最近手邊還有份資料要整理……	そうだな……整理しないといけない資料が残ってる気がするけど……	생각해 볼게… 요즘 정리해야 할 자료가 있어서…	Let me see... I've got some documents to get through...						0	
