字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	陶和卡罗琳离开后，指挥室中只剩下我和露娜。	τ和卡羅琳離開後，指揮室中只剩下我和露娜。	τとカロリンが帰ったあと、指揮室には私とルナだけが残った。	τ와 캐롤린이 떠난 후, 지휘실엔 나와 루나만이 남았다.	Once τ and Caroline left, it was just me and Luna in the command room.						0	3.0主线剧情
2	我仍然在兴致勃勃地摆弄着刚拿到的黑卡，而露娜已经在房间中转了一圈又一圈，眼见我没有搭理她的打算，她才在我面前停了下来。	我仍然在興致勃勃地玩弄著剛拿到的黑卡，而露娜已經在房間中轉了一圈又一圈，眼見我沒有搭理她的打算，她才在我面前停了下來。	ブラックカードを興味深く眺めている私をよそに、ルナは部屋の中を歩き回っていた。私が相手にしていないことに気づくと、ルナは自分から私の目の前で足を止めた。	나는 여전히 방금 손에 넣은 검은 카드를 흥미롭게 살펴보고 있었고, 방 안에서 계속 맴돌던 루나는 내가 그녀를 상대할 생각이 없다는 걸 깨닫고는 결국 내 앞에 멈춰 섰다.	I toyed with the matte-black clearance card, spinning it between my fingers, while Luna paced in mild frustration. When it became obvious I wasn't going to engage, she finally halted in front of me.						0	3.0主线剧情
3	主管——	主管——	部長……	관리자…	Chief...						0	3.0主线剧情
4	她垮起了脸，摆出了一副楚楚可怜的样子。	她垮了個臉，擺出了一副楚楚可憐的樣子。	彼女は眉を垂れて、可哀そうな顔をしてみせた。	그녀는 울상을 지으며 불쌍한 표정을 지었다.	She pouted in exaggerated frustration, putting on her best impression of a poor, overworked assistant.						0	3.0主线剧情
5	只有三天时间哎！你就这么答应下来了，难不成有什么好办法吗？	只有三天時間欸！你就這樣答應下來了，難道是有什麼好辦法嗎？	3日は短すぎますよ！なのにあっさり了承するだなんて、いい案があるんですか？	고작 3일이야! 무슨 생각으로 그렇게 쉽게 수락한 거야? 무슨 비장의 수라도 있어?	Only three days!? How could you just say yes to that...? Unless you already have a plan?						0	3.0主线剧情
6	这么短的时间，能有什么好办法。现在也只能先去把相关的信息收集到手吧。	這麼短的時間，能有什麼好辦法。現在也只能先去把相關的資料收集到手吧。	あるわけがないだろう。ひとまずは関係する情報を集めるとしよう。	이 짧은 시간에 비장의 수 같은 게 있을 리 없잖아. 일단 관련 정보부터 모으는 수밖에.	Not much of one in such a short time. First step is gathering every lead we can find.						0	3.0主线剧情
7	唉——我就知道。	唉——我就知道。	はぁ……だと思いました。	에휴~ 그럴 줄 알았어.	Ugh... I knew it.						0	3.0主线剧情
8	到头来，还是需要你的全能助理来搜集线索，对吧？	到頭來，還是需要你的全能助理來蒐集線索，對吧？	結局、このオールマイティな助手に頼るんでしょ？	결국엔 이 만능 조수께서 단서를 모아 줘야 하는 거지?	So once again it falls to your all-purpose assistant to sniff out the trail, huh?						0	3.0主线剧情
9	这是你的特长，当然是你来咯。	這是你的特長，當然是你來囉。	君の得意分野だからな。	그게 네 특기잖아. 당연히 네가 나서야지.	Who else am I counting on? You're the best at this.						0	3.0主线剧情
10	那主管你这段时间去做什么？	那主管你這段時間去做什麼？	じゃあ、部長はその間になにをするんですか？	그럼 관리자는 그동안 뭐 할 건데?	Then what's your part in this?						0	3.0主线剧情
11	我的话，就去找些帮手好了。	我的話，就去找點幫手好了。	私は、人手でも集めようかな。	나는 헬퍼를 좀 구해보려고.	I'll be looking for backup.						0	3.0主线剧情
12	虽然老板说知道的人越少越好，但只有我们两个人的话，如果遇到暴力冲突会很麻烦。	雖然老闆說知道的人越少越好，但只有我們兩個的話，如果遇到暴力衝突會很麻煩。	事情を知る人は少ないほどいいとは言われたが、暴力沙汰になると、ふたりだけで片づけられるはずもない。	사장님은 아는 사람이 적을수록 좋다고 했지만, 우리 둘뿐이라면 무력 사태가 발생했을 때 대응이 어려워.	τ wants to keep this to as few people as possible, but if things get messy, just the two of us won't cut it.						0	3.0主线剧情
13	帮手？那直接在安全部里挑信得过的人不就好了嘛？	幫手？那直接在安全部挑信得過的人不就好了嘛？	人手？安全部で頼りになりそうな人を呼べばよくないですか？	헬퍼? 그럼 그냥 안전부에서 믿을 만한 사람을 고르면 되지 않아?	Then why not pull someone you trust from Security?						0	3.0主线剧情
14	不，这件事情和公司高层牵扯太深，反而找个公司以外的人更方便一些。	不，這件事情和公司高層牽扯太深，反而找公司以外的人更方便一點。	いや、会社の高層部と深く関わっていることだから、逆に社外で探したほうがいい。	아니, 이번 일은 회사 고위층까지 깊게 얽혀 있어서 오히려 외부 인력을 쓰는 게 편해.	This whole thing might go all the way to the top. Bringing in someone outside might actually be safer.						0	3.0主线剧情
15	正好有一个熟人推荐的独立佣兵，借这个机会认识一下也好。	剛好有一個熟人推薦的獨立傭兵，藉這個機會認識一下也好。	ちょうど知り合いから所属なしの傭兵を紹介されたんだ。これを機に会ってくるよ。	마침 지인이 프리랜서 용병을 추천해 줬거든. 이 기회에 서로 알아가 봐도 좋겠지.	There's an independent merc — recommended by someone I trust. Might be time we finally met.						0	3.0主线剧情
