字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	新恒提罗的街道上，龙舌兰与里芙仍在对峙着。	新恆提羅的街道上，龍舌蘭與里芙仍在對峙。	ニューガントラの街では、アガベとリフがまだ睨み合っていた。	뉴헨틸로에서는 아가베와 리브의 대치가 계속되고 있었다.	On the streets of New Hentiro, Agave and Lyfe were still locked in a stand-off.						0	
2	你的能力，可以让别人看到未来发生的事情？	你的能力，可以讓別人看到未來發生的事？	お前の能力は、人に未来を見せられるのか？	네 능력은 다른 사람에게 미래에 일어날 일을 보여주는 건가?	Your ability... lets you show people the future?						0	
3	里芙抓着自己的右臂，在先前看到的画面中，她的右臂被子弹击穿，此刻仍残留着些许幻痛。	里芙抓著自己的右臂，在先前看到的畫面中，她的右臂被子彈擊穿，此刻仍殘留著些許幻痛。	リフは自分の右腕に手を添えながら聞いた。さっき見た幻覚の中で、自分の右腕は弾丸に貫かれていた。あまりにもリアルな感覚で、今もその痛みを鮮明に思い出すことができた。	리브는 자신의 오른팔을 붙잡고 있었다. 앞서 본 화면에서 그녀의 오른팔은 총에 맞았고, 상상만으로도 약간의 통증이 남아있었다.	Lyfe grabbed her right arm, the arm that was pierced by a bullet in the image she had just seen. She could still feel residual phantom pain.						0	
4	无论你做了什么，都不重要。为了找到playername，我不会让任何人阻止我。	無論你做了什麼，都不重要。為了找到playername，我不會讓任何人阻止我。	だが、そんなことはどうでもいい話だ。何と言われようが、私はplayernameを探しにいく。	네가 무엇을 했던 그건 나한테 중요하지 않아. 난 playername을(를) 찾아낼 거야, 그리고 그 누구도 나를 막을 수 없어.	Whatever you did, it doesn't matter. I won't let anyone stop me from finding playername.						0	
5	（明明身负重伤，还看到了那么恐怖的画面，她的眼神也丝毫没有动摇吗？）	（明明身負重傷，還看到了那麼恐怖的畫面，她的眼神也絲毫沒有動搖嗎？）	（重傷を負った状態で、あんなに怖い映像を見たのに、まったく動揺していないなんて……）	(중상을 입고 그렇게 무서운 장면을 봤는데도 눈빛이 한 치도 흔들리지 않다니…)	(She was clearly seriously hurt. Even after seeing such a scary image, her gaze isn't wavering at all...)						0	
6	龙舌兰感觉到自己的双腿正在发抖，她不知道这是刚才使用能力的副作用，还是出于一种没由来的恐惧。	龍舌蘭感覺到自己的雙腿正在發抖，她不知道這是剛才使用能力的副作用，還是出於一種沒由來的恐懼。	アガベの両足がかすかに震え出した。さっき能力を使った副作用なのか、得体の知れない恐怖を感じたせいかは、彼女にも分からなかった。	아가베는 다리가 후들거렸다. 방금 사용한 능력의 부작용일 수도 있고, 알 수 없는 두려움 때문일 수도 있다.	Agave felt her legs begin to shake. She didn't know if it was due to using her ability or simply an unknown fear.						0	
7	（她这么在意playername，playername大概也一样吧，我是不是从一开始就没有机会了呢……）	（她這麼在意playername，playername大概也一樣吧，我是不是從一開始就沒有機會了呢…）	（そこまでplayernameさんを心配しているなら、playernameさんからもきっと同じくらい慕われているはず。最初から、私が割り込む隙なんて……）	(playername 님을 이토록 신경 쓰다니… playername 님도 마찬가지겠지? 역시 애초에 나에게는 기회조차 없었던 걸까…)	(If she cares that much about playername, and he's probably the same... did I ever even stand a chance...?)						0	
8	龙舌兰的双目黯淡下去，从心底涌出的挫败感促使着她动了动嘴唇。	龍舌蘭的雙眼黯淡下去，從心底湧出的挫敗感促使著她動了動嘴唇。	アガベの目の前が暗くなった。心の底から湧きだした絶望感に、彼女は唇を震わせた。	아가베의 눈은 침침해졌고 가슴에서 차오르는 답답함에 입술을 움직였다.	As Agave's eyes dimmed, the frustration overflowing in her heart caused her to speak up.						0	
9	不，我果然还是不能……	不，我果然還是不能……	いえ、それでもあなたを……	안 돼. 역시 난 안 되는 거였어…	No, looks like I still can't...						0	
