字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	下一个检查项目是……	下一個檢查項目是……	さて、次の検査は……	다음 점검 항목은…	The next project I need to check on is...						0	
2	脑功能成像。	腦功能成像。	脳機能の検査だ。	뇌 기능 항목이야.	Functional neuroimaging.						0	
3	我点了点头，将手边的监测贴片拿起，轻轻贴在里芙的额头上。	我點了點頭，將手邊的監測貼片拿起，輕輕貼在里芙的額頭上。	私は頷くと、手元のパッチをそっとリフの額に貼り付けた。	나는 고개를 끄덕이며 손에 있는 검측 패치를 들어 리브의 이마에 가볍게 붙였다.	I nodded, picked up the nearby monitoring patch, and softly stuck it to Lyfe's forehead.						0	
4	一旁的仪器上立刻出现了大量图像和数据，并不断发送到医疗部的终端上。	一旁的儀器上立刻出現了大量影像和數據，並不斷發送到醫療部的終端上。	瞬く間にスクリーン上に大量のグラフやデータが現れ、医療部の端末へ送信が始まった。	주변에 있던 장치에서 수많은 이미지와 데이터가 나타났고 이는 그대로 의료부의 단말기로 전송되었다.	Huge amounts of images and data immediately flooded the equipment as it was simultaneously sent to the Medical Department computer.						0	
5	针对里芙体内的泰坦物质检查自她从耶洛沙返回后就没有停过，以至于我和她都已经对这一系列流程轻车熟路了。	針對里芙體內的泰坦物質檢查自她從耶洛沙返回後就沒有停過，以至於我和她都已經對這一系列流程輕車熟路了。	リフの体内に残留しているタイタン物質の検査は、彼女がイェロシャから戻って来てからずっと続いていた。そのせいか、私も彼女も検査の手順にすっかり詳しくなっていた。	리브의 몸에 남아있는 타이탄 물질에 대한 조사는 그녀가 옐로샤에서 돌아온 이후로 계속해서 진행되어 왔기에 우리는 이미 해당 절차에 익숙해져 있었다.	They had been examining the Titagen in Lyfe's body since we returned from Yehrus, so both she and I were very familiar with the process.						0	
6	而让我担心的是，检查的频率在一天天提高，治疗却迟迟没有开始。	而讓我擔心的是，檢查的頻率在一天天提高，治療卻遲遲沒有開始。	けれど、検査の頻度こそ上がっているものの、彼女の治療プランが始まる気配はなかった。	하지만 내가 걱정했던 것은 검사의 빈도가 높아지는 반면에 치료는 정작 아직까지 시작을 안 했다는 것이다.	The fact that her examinations were increasing every day, yet treatment still hadn't begun, was what worried me.						0	
7	如果公司都对泰坦污染束手无策，我想不到还有哪里可以解决问题。	如果公司都對泰坦汙染束手無策，我想不到還有哪裡可以解決問題。	もし会社すら匙を投げたのなら、このタイタン汚染の解決をどこに頼めばいいのか、とうとう分からなくなってしまう。	만약 회사에서 타이탄 오염에 대한 대응책을 내놓지 못한다면 어디서부터 문제를 해결해야 할지 알 수 없는 상황이다.	If Yggdrasil was unable to do anything about the Titagen contamination, then who could?						0	
8	走近点，playername。	走近點，playername。	playernameですか。入ってください。	가까이 와바, playername.	Come closer, playername.						0	
9	离开医疗部之后，我敲开了陶办公室的门。	離開醫療部之後，我敲開了τ辦公室的門。	医療部から出たあと、私はτのオフィスに向かった。	의료부를 떠나고 나는 τ의 사무실 문을 두드렸다.	After leaving the Medical Department, I knocked on the door to τ's office.						0	
10	她正伏案看着投影屏上密密麻麻的文件，像是凭着直觉般将它们简单划分成通过和否决。	她正伏案看著投影螢幕上密密麻麻的文件，像是憑著直覺般將它們簡單劃分成通過和否決。	彼女はスクリーンに映し出された大量の書類に目を通しながら、流れるような手つきで承認と否決の振り分け作業を進めていた。	그녀는 투영 화면에 있는 빽빽히 나열되어 있는 문서들을 보고 있었다. 그리고 그녀의 직관에 따라 해당 문서들을 거르고 있는 것 같았다.	Leaning over her desk, she was poring over tons of documents densely packed on the screen. She organized them into "approved" and "rejected" with ease like it was second nature.						0	
11	这些事会花掉她每天至少4个小时，一般是其他人在睡觉的时间。	這些事會花掉她每天至少4小時，一般是其他人在睡覺的時間。	彼女はこういった書類仕事に毎日４時間ほどを費やしている。主に他人が眠っている時間帯に行っているようだ。	이런 일을 그녀는 매일 4시간씩 할애해서 작업한다. 그것도 모두가 자고 있는 시간에 말이다.	This work would typically take up around four hours of her day, and she would do it while everyone else was asleep.						0	
12	我将路过资源部时买的新地咖啡递给陶，她头也不抬地接过抿了一口。这种默契同样是在从耶洛沙返回后形成，陶在那之后难得坦率了一些。	我將路過資源部時買的新地咖啡遞給τ，她頭也不抬地接過抿了一口。這種默契同樣是從耶洛沙返回後形成，τ在那之後難得坦率了一些。	資源部を通りかかった時に買っておいたコーヒーを差し出すと、τは顔も上げずにそれを受け取り、口をつけた。イェロシャから戻ってから、τは多少素直になったような気がする。	나는 자원부를 지나가다가 사 온 커피를 τ에게 건네주었다. 하지만 그녀는 고개도 들지 않은 채 그대로 커피를 한 모금 마신다. 이러한 암묵적인 싸인은 옐로샤에서 돌아온 이후로부터 형성되었다. τ는 옐로샤 이후 굉장히 솔직해진 편이다.	I handed τ the cup of coffee I'd bought when I stopped at the Resource Department. She accepted it without looking up and took a drink. We seemed to have a closer rapport since I'd returned from Yehrus, and she had become more straightforward with me.						0	
13	你应该已经知道了，里芙·贝斯特拉的情况十分复杂。	你應該已經知道了，里芙·貝斯特拉的情況十分複雜。	ご存じかと思いますが、リフ・ベストラの置かれている状況は複雑です。	너도 이미 알고 있겠지만 리브의 상황이 조금 복잡해.	I'm sure you're aware that Lyfe Bestla's situation is extremely complex.						0	
14	一份文件伴随着她的话投影到了我的眼前，上面满是这些天以来里芙的体检数据，而在文件最下方却只有简短的一句话。	一份文件伴隨著她的話投影到了我的眼前，上面滿是這些天以來里芙的體檢數據，而在文件最下方卻只有簡短的一句話。	その言葉とともに、私の前に1枚の書類が投影された。どうやら最近行われたリフの身体検査に関するデータのようだ。その文末には、短くこう書かれていた。	그녀의 말과 함께 한 문서가 내 앞에 투영됐는데 그 안에는 지난 며칠간의 리브의 신체검사 데이터가 들어있었다. 그리고 문서의 하단에는 짧은 의사의 소견이 적혀 있었다.	A document was projected before me as she spoke. It was full of data taken from Lyfe's physical examinations over the past few days, but a sentence at the bottom of the document stuck out to me.						0	
15	“综上，建议进行神格神经摘除手术”。	「綜上，建議進行神格神經摘除手術」。	「以上を踏まえ、神格神経摘出手術をおすすめします。」	'종합적으로 만트라 신경 절제 수술을 진행해야 할 것으로 판단됨'	"In conclusion, we recommend surgery to remove the Theotropic Nerves."						0	
16	公司应该从来没有给出过需要摘除神格神经的治疗方案，这么做的理由是什么？	公司應該從來沒有給過需要摘除神格神經的治療方案，這麼做的理由是什麼？	今までになかった治療プランだな。神格神経を摘出するなんて……一体なんのために？	회사에서는 만트라 신경 절제 수술을 해본 적이 없지 않나요? 이렇게까지 해야 하는 이유가 뭐죠?	The company has never actively pursued removing Theotropic Nerves as a treatment plan, right? Why now?						0	
17	与你不同，她现在能保持正常，是利用了神格的力量，强行吸收了体内的泰坦物质。	與你不同，她現在能保持正常，是利用了神格的力量，強行吸收了體內的泰坦物質。	あなたとは違い、彼女が正常な状態を保っていられるのは、神格の力を利用して体内のタイタン物質を強制的に吸収しているからです。	분석가랑 달리 리브가 지금 버틸 수 있는 건 만트라의 힘을 사용해서 몸에 있는 타이탄 물질을 흡수하고 있기 때문이야.	As opposed to you, her body maintains a normal state by using the power of her Deiwos to forcibly absorb the Titagen inside her.						0	
18	陶顿了顿，微微蹙起眉，似乎在强迫自己接受一件不可能的事情。	τ頓了頓，微微蹙起眉，似乎在強迫自己接受不可能的事。	τはそこで言葉を区切った。眉が僅かに歪んでいる。あり得ない何かを無理やり受け入れようとしているかのようだった。	τ는 불가능한 일을 억지로 받아들이려는 듯 잠시 말을 멈추고 살짝 눈살을 찌푸렸다.	τ paused and furrowed her brow slightly, as if she was convincing herself to accept something impossible.						0	
19	只能认为，在现阶段，天启者的力量、泰坦物质，以及她的神格，形成了一种不稳定的平衡。	只能認為，在現階段，天啟者的力量、泰坦物質，以及她的神格，形成了一種不穩定的平衡。	現状、覚醒者としての力とタイタン物質、そして彼女の神格のバランスは、非常に不安定です。	현재의 상황은 계시자의 힘과 타이탄 물질, 그리고 그녀의 만트라가 불안정한 균형을 이루고 있다고 생각할 수밖에 없어.	We think that the combination of her power as a Manifestation, the Titagen, and her Deiwos is creating an unstable balance.						0	
20	医疗部当然可以清除她体内的泰坦物质，在此之前也确实这样做了。	醫療部當然可以清除她體內的泰坦物質，在此之前也確實這麼做了。	もちろん、医療部が彼女の体内のタイタン物質を取り除くことはできます。今までもそうして来ました。しかし……	물론 의료부에서 그녀의 몸에 있는 타이탄 물질을 제거할 수는 있어. 예전에도 그렇게 했었고.	Of course, the Medical Department could simply remove the Titagen from her body. In fact, they've done it before.						0	
21	但后来发现，为了抵御泰坦物质，里芙的神格神经已经长期保持在了极度活跃的状态。如果现在将泰坦物质清除，此消彼长，她很可能会出现严重的神格侵蚀。	但後來發現，為了抵禦泰坦物質，里芙的神格神經已經長期保持在了極度活躍的狀態。如果現在將泰坦物質清除，此消彼長，她很可能會出現嚴重的神格侵蝕。	リフの神格神経はタイタン物質に対抗するために、長期間に渡り極度の活性化状態に置かれています。不用意にタイタン物質を除去してしまえば、反動で神格侵蝕を招く危険性があるのです。	하지만 이후에 리브의 만트라 신경이 오랫동안 타이탄 물질에 저항하기 극도로 활동적인 상태를 유지했다는 사실이 밝혀졌어. 만약 지금 타이탄 물질을 제거하면 그녀는 더 심각한 만트라 침식을 겪게 될 거야.	But they later discovered that Lyfe's Theotropic Nerves were in a highly activated state for an extended period to fight off the Titagen. If we remove the Titagen now, it's likely she will experience severe Flooding.						0	
22	相对的，如果放任不管，她就是一颗随时可能爆炸的定时炸弹。一旦接触到更多泰坦物质，很可能连抢救都来不及。	相對的，如果放任不管，她就是一顆隨時可能爆炸的計時炸彈。一旦接觸到更多泰坦物質，很可能連搶救都來不及。	しかしそれを放っておくと、彼女は時限爆弾を抱えているようなもの、とも言えます。今以上のタイタン物質に触れれば、応急処置では間に合わない事態になることも考えられます。	반대로 그녀를 가만히 놔두면 언제든지 터질 수 있는 시한폭탄이 될 거야. 더 많은 타이탄 물질에 노출되면 구조조차 할 수 없게 될 거고.	On the other hand, if we leave it be, she's practically a ticking time bomb. If she comes into contact with more Titagen, it could be too late to save her.						0	
23	所以只能将泰坦物质和神格神经一并清除……	所以只能將泰坦物質和神格神經一併清除……	だから、タイタン物質と一緒に神格神経を摘出するしかない、ってことか……	그러면 타이탄 물질과 만트라 신경을 같이 제거할 수밖에 없는 거겠네요…	So the Titagen and her Theotropic Nerves need to be removed at the same time...						0	
24	如陶所说，里芙现在的情况，即使我能够吸收泰坦物质，也无法解决神格侵蚀的问题。	如τ所說，里芙現在的情況，即使我能夠吸收泰坦物質，也無法解決神格侵蝕的問題。	τの言う通りだ。タイタン物質の吸収なら私で間に合うかもしれないけれど、リフの神格侵蝕まではどうしようもないのだ。	τ가 말했듯이, 현재 리브의 상황을 보면 그녀의 몸이 타이탄 물질을 흡수할 수 있다고 해도 만트라 침식 문제를 쉽게 해결할 수는 없을 것이다.	Based on what τ said, in the current situation, even if I could absorb the Titagen in Lyfe's body, I wouldn't be able to prevent her from Flooding.						0	
25	我想听听备用方案。	我想聽聽備用方案。	プランBも聞かせてくれないか。	다른 대안은 없나요?	I want to hear our other options.						0	
26	你就这么笃定会有备用方案？	你就這麼篤定會有備用方案？	どうしてプランBがあると？	다른 대안이 있을 거라고 확신하는 이유는 뭐지?	You're sure there are other options?						0	
