字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	我……见过她。	我……見過她。	あの顔……見覚えがあるわ。	저 여자… 본 적이 있어.	I... I've seen her before.						0	3.0主线剧情
2	凯茜娅的话语让我陷入了恍惚之中。	凱茜婭的話語讓我陷入了恍惚之中。	カーシアの言葉に、私は一瞬唖然とした。	캐시아의 말에 나는 멍해졌다.	Katya's words threw me for a moment.						0	3.0主线剧情
3	就在我准备打倒最后一个作战人偶时，它的面部突然出现了一张投影出的脸。	就在我準備打倒最後一個作戰人偶時，它的臉部突然出現了一張投影出的臉。	最後のバトルドールを倒そうとしたとき、相手の顔に別の顔が投影された。	마지막 전투 인형을 쓰러뜨리려는 순간, 그것의 얼굴에 갑자기 어떤 얼굴이 투영되어 나타났다.	Just as I was about to finish off the last combat android, its faceplate flickered — and a human face appeared.						0	3.0主线剧情
4	不，不止凯茜娅认识，我分明也认识这张脸。	不，不只凱茜婭認識，我分明也認識這張臉。	いや。カーシアだけじゃなく、私もその顔に見覚えがあった。	아니, 캐시아뿐만 아니라 나도 분명 아는 얼굴이었다.	Not just Katya — I recognized it too.						0	3.0主线剧情
5	但不知为何，脑中纷乱的思绪却无论如何也无法连接成线，我只能感受到心中奔涌的情感，却不知它来自何处。	但不知為何，腦中紛亂的思緒卻無論如何也無法連結成線，我只能感受到心中奔湧的情感，卻不知它來自何處。	しかし、混乱して答えが思いつかぬまま、どこからともなく胸に湧きあがる感情だけがはっきりしていた。	하지만 왠지 모르게 머릿속의 혼란스러운 생각들이 아무리 해도 연결되지 않았고, 가슴속에서 솟구치는 감정만 느낄 뿐 그것의 출처는 알 수 없었다.	But the memories wouldn't align. My thoughts scattered, desperately trying to connect fragments that refused to form a whole. All I felt was a surge of emotion, but I couldn't place it.						0	3.0主线剧情
6	分析员，那个人间体逃到书库里面去了！	分析員，那個人間體逃到書庫裡面去了！	分析員！あの人間体、書庫に逃げ込んだみたい！	분석가, 그 휴머노이드가 서고 안으로 도망갔어!	Adjutant! She ran into the heart of the Archives!						0	3.0主线剧情
7	萨菲尔的呼唤让我骤然清醒过来，的确，无论这个作战人偶到底和我有什么关系，当务之急也应该是阻止完美人间体才对。	薩菲爾的呼喚讓我瞬間清醒過來，的確，無論這個作戰人偶到底和我有什麼關係，當務之急也應該是阻止完美人間體才對。	サフィールの声で、私は我に返った。とにかく、このバトルドールが私とどんな繋がりを持っていようと、今は先に完璧人間体を阻止しなければ。	사파이어의 외침에 나는 순간 정신이 번뜩 들었다. 그렇다, 이 전투 인형은 나와 상관없는 존재다. 지금 가장 시급한 건 퍼펙트 휴머노이드를 막는 것이다.	Sapphire's voice snapped me back. Whatever that face meant... it didn't matter. Not now. Stopping Edda's perfect human form came first.						0	3.0主线剧情
8	即使她已经得到了想要的书籍，但埃达目前应该还在封闭血清的影响下，无法第一时间进行通信。	即使她已經得到了想要的書籍，但埃達目前應該還在封閉血清的影響下，無法第一時間進行通訊。	人間体が欲しい本を手に入れたとしても、エッダは未だにブロックセラムの影響を受けたままで、彼女との通信もすぐには復旧しないだろう。	그녀가 원하는 책을 얻었다 해도, 에다는 아직 폐쇄 혈청의 영향 아래 있기에 바로 통신할 수는 없다.	Even if she'd already found the book, Edda should still be under the Confinement Serum's effect, unable to transmit.						0	3.0主线剧情
9	只要在此之前阻止人间体发出通信，我们就还能翻盘！	只要在此之前阻止人間體發出通訊，我們就還能翻盤！	その前に、人間体が情報を発信するのを止めることができたら、私たちの勝ちだ！	그 전에 휴머노이드의 통신을 막으면 우리가 상황을 뒤바꿀 수 있다!	If we could take out her avatar before she recovered... we might still win this.						0	3.0主线剧情
10	萨菲尔，照顾好它！	薩菲爾，照顧好它！	サフィール、これを頼んだ！	사파이어, 그 녀석을 잘 봐줘!	Sapphire — keep your eyes on the android!						0	3.0主线剧情
11	我示意萨菲尔帮我查看作战人偶的状态，随即扭过头，带着凯茜娅和苔丝朝着书库深处奔去。	我示意薩菲爾幫我查看作戰人偶的狀態，隨後便轉過頭，帶著凱茜婭和黛斯朝著書庫深處奔去。	バトルドールをサフィールに託すと、私はカーシアとテスを連れて書庫の奥へ向かった。	나는 사파이어에게 전투 인형의 상태를 봐달라며 지시했고, 바로 고개를 돌려 캐시아와 테스를 데리고 서고 깊숙한 곳으로 달려갔다.	I shot her a quick signal, then turned and charged into the depths of the Archives, with Katya and Tess right behind me.						0	3.0主线剧情
12	人间体仍不知道，刚才到底发生了什么。	人間體仍不知道，剛才到底發生了什麼。	人間体はなにが起きたのか、まだ理解できないままだ。	휴머노이드는 여전히 무슨 일이 일어났는지 알지 못했다.	Edda's perfect human form still hadn't figured out what had happened.						0	3.0主线剧情
13	她所控制的作战人偶的确没有战胜分析员，但她明明还有逃走的机会。	她所控制的作戰人偶的確沒有戰勝分析員，但她明明還有逃走的機會。	彼女がコントロールしたバトルドールは分析員にこそ勝てなかったが、自分にはまだ逃げるチャンスはあったはずだ。	그녀가 조종하던 전투 인형은 분석가를 이기지 못했지만, 분명 도망칠 기회는 있었다.	The androids controlled by her failed to take down the Adjutant, but she should've had time to escape.						0	3.0主线剧情
14	谁知道，就在她最虚弱的时候，另一名身份不明的入侵者忽然夺取了安保系统的控制权。	誰知道，就在她最虛弱的時候，另一名身分不明的入侵者突然奪取了保全系統的控制權。	なのに、謎の侵入者は彼女が最も弱っているときに、彼女からセキュリティシステムの管理権限を奪った。	하지만 뜻밖에도 그녀가 가장 약한 그 순간에 또 다른 정체불명의 침입자가 갑자기 보안 시스템의 제어권을 탈취했다.	Yet, at her weakest moment, another unknown intruder hijacked the security system.						0	3.0主线剧情
15	人间体就这样被踢出了系统，重新出现在书库中。	人間體就這樣被踢出了系統，重新出現在書庫中。	人間体はそうやってシステムから追いやられ、書庫の中に投げ出された。	휴머노이드는 그렇게 시스템에서 강제 퇴출당해 서고에 다시 나타났다.	She was forcefully ejected, her mind yanked back into her body — back in the Archives.						0	3.0主线剧情
16	至此，她很清楚，计划已经完全失败了。	至此，她很清楚，計畫已經完全失敗了。	これでようやく、計画が完全に失敗したことを、彼女は理解した。	이제 분명히 깨달았다. 그녀의 계획은 완전히 실패했다.	In that instant, she knew: her plan had failed, hopelessly.						0	3.0主线剧情
17	此时此刻，她的心中只有一个疑问尚未得到解答：本体想要得到的书里，到底记载了什么？	此時此刻，她的心中只有一個疑問尚未得到解答：本體想要得到的書裡，到底記載了什麼？	だが、もうひとつだけ知りたいことがある。本体が欲しがるあの本のなかに、一体なにが書かれているのか？	지금 이 순간, 그녀의 마음속에는 단 하나의 의문만이 해결되지 않은 채 남아있었다. 본체가 얻고자 했던 그 책에는 도대체 무엇이 적혀 있을까?	But one question lingered in her mind: What was written in the book the host had so desperately sought?						0	3.0主线剧情
18	即使已经失败，即使已经无法向外传递任何信息，但与本体一样，人间体也怀着巨大的好奇心。	即使已經失敗，即使已經無法向外傳遞任何訊息，但與本體一樣，人間體也懷著巨大的好奇心。	敗北が確定していたとしても、外界に情報を送信できなくなったとしても、人間体は本体同様、好奇心を抱いていた。	이미 실패한 데다가 어떠한 정보도 외부로 전달할 수 없게 됐지만, 휴머노이드의 마음속에도 본체와 마찬가지로 큰 호기심이 자리 잡고 있었다.	Even in defeat — even cut off, with no chance of reaching the host — the question gnawed at her. She was just as desperate to find the answer as the host was.						0	3.0主线剧情
19	在作战人偶扑向分析员的时候，人间体也朝着反方向竭力奔去。	在作戰人偶撲向分析員的時候，人間體也朝著反方向竭力奔去。	バトルドールで分析員を襲った瞬間、人間体は力を振り絞って、真逆の方向へ走り出した。	전투 인형이 분석가에게 달려들 때, 휴머노이드는 반대 방향을 향해 필사적으로 달렸다.	As her androids lunged at the Adjutant, she turned and ran the other way — toward the book.						0	3.0主线剧情
20	她的脑中满是那本书的样子，别无它物。	她的腦海中滿是那本書的樣子，別無它物。	彼女の脳内には本のことだけが残っていた。	그녀의 머릿속은 오직 그 책으로 가득했다.	It consumed her thoughts, the only thing that mattered now.						0	3.0主线剧情
21	当我们进入书库深处时，埃达的完美人间体化身正跌坐在地上。	當我們進入書庫深處時，埃達的完美人間體化身正跌坐在地上。	私たちが書庫の奥に辿り着いたとき、完璧人間体は地面に座り込んでいた。	우리가 서고의 깊은 곳으로 들어가자, 에다의 퍼펙트 휴머노이드의 화신이 바닥에 주저앉아 있었다.	By the time we reached the heart of the Archives, Edda's perfect human form was already slumped on the floor.						0	3.0主线剧情
22	几本厚重的书籍如同一文不值的垃圾一般，被随意地扔在一旁。而在人间体的手中，正捧着一本黑色封皮的书。	幾本厚重的書籍如同一文不值的垃圾一般，被隨意地丟在一旁。而在人間體的手中，正捧著一本黑色封皮的書。	数冊の分厚い本が価値のないゴミのように地面に捨てられている。人間体はその横で、一冊の黒い本を開いていた。	두꺼운 책 몇 권이 가치 없는 쓰레기처럼 한쪽에 아무렇게나 널브러져 있었다. 그리고 휴머노이드의 손에는 검은 표지의 책이 들려 있었다.	Thick tomes were scattered carelessly like trash. And in her hands — a black-covered book.						0	3.0主线剧情
23	她果然已经找到了……	她果然已經找到了……	どうやら、目的の本を見つけたようね……	역시 이미 찾아냈어…	So she did find it...						0	3.0主线剧情
24	我举着枪慢慢走近，而人间体如同完全没有意识到我们靠近了一样，依然聚精会神地盯着手中的书。	我舉著槍慢慢走近，而人間體好像完全沒有意識到我們靠近了一樣，依然聚精會神地看著手中的書。	銃を持ってゆっくりと近づく私に気にも留めず、人間体は本に集中していた。	내가 총을 들고 천천히 다가갔지만, 휴머노이드는 우리의 접근을 전혀 눈치채지 못한 듯 여전히 손에 든 책에 정신이 팔려 있었다.	I advanced cautiously, gun raised. She didn't move. There she sat, entranced, eyes glued to the open pages as if she hadn't noticed us at all.						0	3.0主线剧情
25	哈……哈哈哈……	哈……哈哈哈……	くふふ……ふははは……	하… 하하하…	Ha... heh... heh heh...						0	3.0主线剧情
26	随着不断靠近，我渐渐听清了，人间体正在发出瘆人的笑声。	隨著不斷靠近，我漸漸聽清了，人間體正在發出瘆人的笑聲。	近づくにつれて、私は人間体があげる恐ろしい笑い声に気づいた。	점점 더 가까이 다가가자, 휴머노이드의 소름 끼치는 웃음소리가 들려왔다.	Her chilling laughter grew clearer as I stepped closer.						0	3.0主线剧情
27	随后，她放下了书，站了起来。	隨後，她放下了書，站起來。	そして、彼女は本を下ろし、立ち上がった。	그러더니 그녀는 책을 내려놓고 일어섰다.	Then, she lowered the book, rising to her feet.						0	3.0主线剧情
28	你赢了，分析员。	你贏了，分析員。	あなたの完全勝利だよ、分析員。	네가 이겼어, 분석가.	You win, Adjutant.						0	3.0主线剧情
29	她看着我，露出一个绝望的笑容。	她看著我，露出一個絕望的笑容。	彼女は私に向かって、絶望したような笑みを浮かべた。	그녀는 나를 바라보며 절망적인 미소를 지었다.	She looked at me, her smile empty, drained of hope.						0	3.0主线剧情
30	因为这个骗局，竟然让本体如此狼狈。	因為這個騙局，竟然讓本體如此狼狽。	こんな小細工で、本体をここまで欺けるなんて。	이런 속임수 때문에 본체가 이토록 처참해지다니.	What a disgrace, for the host to fall for a ruse like this.						0	3.0主线剧情
31	虚假的人类，终究还是无法战胜真正的人类。	虛假的人類，終究還是無法戰勝真正的人類。	結局、偽りの人間は、本物に勝てないみたい。	가짜 인간은 결국 진정한 인간을 이길 수 없었어.	I guess imitation really can't surpass the real thing after all.						0	3.0主线剧情
32	我为本体，感到悲哀。	我為本體，感到悲哀。	本体のことが可哀想にすら思えてきたよ。	본체가 안타까워.	I pity her.						0	3.0主线剧情
33	她再一次抬起了手，泰坦物质随即布满了她的手臂，形成一把锋利的刀刃。	她再一次抬起了手，泰坦物質隨即佈滿了她的手臂，形成一把鋒利的刀刃。	もう一度腕を上げると、タイタン物質が彼女の腕を纏い、鋭い刃の形を取った。	그녀가 다시 손을 들자, 타이탄 물질이 순식간에 그녀의 팔을 뒤덮어 날카로운 칼날을 만들어냈다.	She raised her hand, and Titagen surged across her arm, forming a sharp, deadly blade.						0	3.0主线剧情
34	苔丝和凯茜娅警惕地挡在了我的身前，但我已经预料到了人间体想要做什么。	黛斯和凱茜婭警戒地擋在我的身前，但我已經預料到了人間體想要做什麼。	テスとカーシアはとっさに体で私を庇ったが、私は人間体の意図に気づいてた。	테스와 캐시아가 경계하며 내 앞을 막아섰지만, 나는 휴머노이드가 무엇을 하려는지 이미 예상했다.	Tess and Katya immediately moved to shield me — but I already knew what was coming.						0	3.0主线剧情
35	毫不犹豫地，她将刀刃刺进了自己的胸口。	毫不猶豫地，她將刀刃刺進自己的胸口。	彼女は躊躇なく、刃で自分の胸を貫いた。	그녀는 망설임 없이 자기 가슴에 칼날을 꽂았다.	Without hesitation, she plunged the blade into her own chest.						0	3.0主线剧情
36	没有发出任何声音，她如断了线的木偶般，缓缓倒在了地上。	沒有發出任何聲音，她如斷了線的木偶般，緩緩倒在地上。	人間体は糸が切れたように、静かに、ゆっくりと地面に倒れた。	아무런 소리도 없이, 그녀는 실이 끊어진 목각인형처럼 천천히 바닥에 쓰러졌다.	Not a sound escaped her lips. She simply crumpled to the floor, as lifeless as a puppet with its strings cut.						0	3.0主线剧情
37	书库中一时寂静无声，直到凯茜娅走上前去，捡起了人间体手边的那本书。	書庫中一時寂靜無聲，直到凱茜婭走上前去，撿起了人間體手邊的那本書。	書庫の中は一瞬静寂に満たされた。しばらくすると、カーシアは人間体に近寄り、彼女が読んでいた本を手に取った。	서고는 한동안 고요했다. 그러다가 캐시아가 나아가 휴머노이드 옆에 있던 책을 주워들었다.	Silence settled over the chamber — until Katya stepped forward and picked up the book lying beside her.						0	3.0主线剧情
38	她皱着眉头看了看封面，又摇了摇头，将书递给了我。	她皺著眉頭看了封面，又搖搖頭，將書遞給了我。	眉をひそめたまま表紙を見たカーシアは、首を横に振って本を私に渡してきた。	그녀는 눈살을 찌푸리며 표지를 바라보더니, 고개를 저으며 내게 책을 건넸다.	She frowned at the cover, then shook her head and passed it to me.						0	3.0主线剧情
39	……很奇怪，是本诗集。	……很奇怪，是本詩集。	……変ね。これ、詩集よ。	… 이상하네, 시집이야.	...Strange. It's just a poetry collection.						0	3.0主线剧情
40	的确，人间体找到的，只不过是一本上个世纪的，名不见经传的诗集。	的確，人間體找到的，只不過是一本上個世紀的，名不見經傳的詩集。	人間体が読んでいたのは、前世紀の、あまり有名ではない詩集だった。	그렇다. 휴머노이드가 찾은 책은 지난 세기의 무명 시집에 불과했다.	She was right. The book Edda had risked everything to obtain... was a dusty, forgotten anthology from the last century.						0	3.0主线剧情
41	我甚至怀疑，这本书没有电子化，是因为几乎没什么价值。	我甚至懷疑，這本書沒有電子化，是因為幾乎沒什麼價值。	電子化されなかったのも、そこまでの価値がないからだったと疑ってしまうような作品だ。	심지어 거의 가치가 없는 책이라 전자화되지 않은 것 같다는 의심도 들었다.	I suspected it hadn't been digitized — not due to any secrecy, but because no one had thought it worth preserving.						0	3.0主线剧情
42	在打开的那一页上，作者模仿着人工智能的口吻，向作为造物主的人类发出了疑问。	在打開的那一頁上，作者模仿著人工智慧的口吻，向身為造物主的人類發出了疑問。	開いていたそのページには、作者が人工知能として創造主である人類へ投げかけた質問が書かれている。	펼쳐진 페이지에는 작가가 인공지능의 어조를 흉내 내며, 창조주인 인류에게 의문을 던지고 있었다.	On the open page, the author — writing in the imagined voice of an AI — posed a question to humanity:						0	3.0主线剧情
43	“若我是你们的镜子，那你们，又是谁的幻象？”	「若我是你們的鏡子，那你們，又是誰的幻象？」	「私があなたたちの鏡なら、あなたたちは誰の幻影だと言うの？」	'제가 여러분의 거울이라면, 여러분은 누구의 환상입니까?'	"If I am your mirror... then who is the phantom that stares back?"						0	3.0主线剧情
44	人间体的血晕染了大半的书页，除此之外，这本书并没有任何特殊的地方。	人間體的血暈染了大半的書頁，除此之外，這本書並沒有任何特殊的地方。	人間体の血で大半のページが汚れていること以外、本には特筆すべき特徴は一切なかった。	책장 대부분이 휴머노이드의 피로 물들어 있다는 것 외에는, 딱히 특별한 점 없었다.	Blood from Edda's wound had soaked most of the paper. Beyond that, there was nothing remarkable about the book.						0	3.0主线剧情
45	我沉默地注视着倒在地上的人间体，只觉得自己仿佛出演了一幕荒唐的悲剧。	我沉默地注視著倒在地上的人間體，只覺得自己彷彿出演了一幕荒唐的悲劇。	私は地面に横たわる人間体を静かに見下ろし、自分が滑稽な悲劇の演者を務めた気分になった。	바닥에 쓰러진 휴머노이드를 말없이 바라보며, 나 자신이 그저 황당한 비극의 한 장면을 연기한 듯한 느낌이 들었다.	I stared at her still form in silence. All of this... for a tragedy that teetered on the edge of absurd.						0	3.0主线剧情
